,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta4_datasz,sta9_datasz,sta8_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta1,consumption_sta0,consumption_sta2,consumption_sta6,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc
0,747088320.0,748350720.0,684321792.0,1128383616.0,1047438528.0,1135301568.0,995528640.0,436285440.0,1102428672.0,352361088.0,1026684672.0,351774429,4.773658990859985,364764508,5.003046274185181,620123595,8.991164445877075,710956370,10.540238857269287,723947671,10.794772863388062,781167495,11.887950897216797,794547282,12.193388223648071,812148311,12.72545075416565,864200241,14.458120822906494,863091784,14.486377239227295,983238877,21.06618332862854,1013.0932145534862,1047.227372545788,941.5080702711938,998.7043394368684,636.1913619662854,702.4973667329249,986.4586651485262,838.7245172317855,795.7618478053062,803.7875200846279,711.062640241783,0.9144343787973578
1,,,,,,,,,,,,332942568,4.4280054569244385,353196544,4.748007774353027,607809235,8.711031675338745,684326313,10.03435492515564,705061122,10.419256448745728,759337839,11.46930742263794,773245091,11.813412189483643,789914604,12.361548662185669,839848985,13.954549312591553,841361982,14.106545448303223,821111362,13.1915864944458,1540.2595439841416,1581.23506305578,1652.4469439670859,1670.864212440927,955.6430692719636,1167.6819900018456,1525.6378372359222,1278.426549090541,1195.3109695848002,1204.711382833969,1063.9199702196208,0.8293712626804005
2,,,,,,,,,,,,334577879,4.4437079429626465,347536464,4.658556938171387,606354710,8.697932720184326,681332606,9.991525650024414,700131570,10.342007160186768,758119580,11.486335515975952,773450535,11.876121044158936,790218985,12.434303045272827,838850270,13.984901428222656,838558156,14.092843770980835,819899146,13.218519449234009,2077.486849093095,2121.3914713273793,2229.9551939596204,2212.7104053242715,1387.6233596123207,1535.589573702352,2184.832940286771,1718.3903416165895,1600.3248149429473,1612.9651435813369,1425.84411307383,0.9117432074113325
3,,,,,,,,,,,,338958788,4.498213768005371,381825744,5.167469501495361,610438623,8.722501754760742,687121655,10.037188053131104,707782063,10.424979209899902,763694884,11.526319026947021,777305993,11.868601322174072,794083294,12.39798641204834,845854768,14.0240478515625,843321510,14.04934811592102,823586515,13.159851551055908,2593.8186780606798,2657.4557127155017,2798.653975085919,2764.311173466146,1740.4102826223734,1932.9594688062218,2586.873054087611,2150.225264217998,1990.5436390981179,2030.3332631204332,1799.5686716966497,0.9334583011540499
4,,,,,,,,,,,,331365729,4.394553184509277,351672867,4.7080934047698975,606502964,8.65770149230957,686480664,10.023218393325806,709439895,10.451452493667603,760920538,11.450972318649292,778414328,11.911009788513184,791249745,12.36198616027832,845217746,14.044279336929321,843599281,14.097968816757202,823746000,13.209100484848022,3271.2538121233974,3205.09251467207,3365.881302383135,3320.0398683018097,2104.6917573726887,2336.5667722975413,3242.500956031273,2584.1570500910575,2467.6464097236267,2540.874003145836,2180.372600607773,0.9473775029182434
5,,,,,,,,,,,,332814699,4.417140007019043,356832705,4.785253047943115,609579006,8.720468282699585,684456561,9.997217893600464,707150412,10.413562774658203,765053034,11.533069610595703,779694415,11.896052837371826,795829506,12.44320559501648,844947605,13.998136520385742,960020735,20.643022537231445,823176908,13.118471384048462,3925.0853546076833,4005.045668403925,4196.726145318538,4159.356286976455,2631.898296871536,2901.0610031557762,4005.3618322348916,3215.7281584278253,3050.2531573158376,3046.9040400476247,2729.6015260397103,0.9585842490196228
6,,,,,,,,,,,,333299928,4.443367004394531,353348888,4.753659009933472,607186312,8.689526796340942,683727437,9.981452226638794,710823132,10.505970001220703,759405892,11.440230131149292,775677275,11.853846311569214,791611743,12.385253429412842,841668744,13.97972059249878,842225749,14.10326862335205,823123076,13.207490921020508,4556.926187742446,4494.486832005716,4714.031554675807,4701.547119883438,2970.210433944364,3251.602456493641,4516.783196142166,3643.5453902464924,3465.4665852859007,3538.241065074925,3078.9177469173133,0.9659770998087797
7,,,,,,,,,,,,336077752,4.448757171630859,355513434,4.755522966384888,610281946,8.695148944854736,688620795,10.042889595031738,708393267,10.427113056182861,766630483,11.554887056350708,779916521,11.896212339401245,796455602,12.433101654052734,845630891,14.015120267868042,959955245,20.658889293670654,823773465,13.142704248428345,5199.425087146863,5329.317370104579,5539.256965399901,5527.47175245886,3509.8814007022106,3838.5012591892037,5289.461045954631,4293.476880137474,4060.0564089110394,4046.525868436504,3615.9629909096548,0.9702818393707275
8,,,,,,,,,,,,334044128,4.440533638000488,354856025,4.762347936630249,606905734,8.70075535774231,684473773,10.074098825454712,700931738,10.390135049819946,758687389,11.508936166763306,772200477,11.85981559753418,789473199,12.42499852180481,836424739,13.948528051376343,837842887,14.108794927597046,815735461,13.08904504776001,5812.863675817515,5825.642624599024,6070.889843029513,6048.836741290948,3839.919186091364,4211.35285521679,5801.6779152702375,4816.363399586931,4446.361593783972,4522.433374292942,4078.996969846275,0.9740608605471525
9,,,,,,,,,,,,333637452,4.427518129348755,351543778,4.708580732345581,609503506,8.724175214767456,684286762,10.014477968215942,703480071,10.37759017944336,762871521,11.519966840744019,778956257,11.928056716918945,793667951,12.46169137954712,843248635,14.027894973754883,841003401,14.02746033668518,820432837,13.130473375320435,6356.776472836609,6351.1817225484165,6657.189826204953,6597.59808673299,4184.915685385306,4598.485082327597,6324.820913555258,5269.053900194257,4860.868694718089,4933.242346562935,4445.353517573525,0.9753145792267539
