,sta0_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta3,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta0,consumption_sta6,mean_acc,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
0,747088320.0,684321792.0,1047438528.0,436285440.0,1128383616.0,1135301568.0,995528640.0,1026684672.0,352361088.0,748350720.0,1102428672.0,4.4238784663424124e-08,91128612.0,0.8912801742553711,99437246.0,0.9295790195465088,133212244.0,1.2802865505218506,166165102.0,1.5642445087432861,171855395.0,1.6061649322509766,178437776.0,1.6955974102020264,137561050.0,1.2928898334503174,177196996.0,1.6640429496765137,182721883.0,1.7515933513641357,843.1140759537932,862.318636060631,752.9175977332706,880.2536938282486,868.4962255309656,708.9193940691987,1133.3419722459719,754.9376796596589,824.9007402046029,1166.6443363338626,1074.5143829921326,0.6415740265087648,,,,
1,,,,,,,,,,,,6.21374432992029e-08,56682594.0,0.6857364177703857,56356057.0,0.6383898258209229,129275304.0,1.5855529308319092,151524515.0,2.0764074325561523,115397959.0,1.323822259902954,139275217.0,1.760605812072754,127652811.0,1.550689458847046,149155258.0,2.0152547359466553,148509690.0,1.9944205284118652,1522.9244982130017,1452.7452481980988,1118.0249494102222,1451.5587584410255,1250.4960237312287,1232.8478337514744,1459.2199585048875,1342.5345004554101,1409.3321053908803,1503.9730618149188,1446.3900798480497,0.11250001056627794,123015920.0,1.4147660732269287,,
2,,,,,,,,,,,,3.5260313437449044e-08,61306789.0,0.6168668270111084,80009317.0,0.7508232593536377,144999751.0,1.4874041080474854,139006236.0,1.3687589168548584,136796158.0,1.3207483291625977,152200294.0,1.6325602531433105,144823238.0,1.4767744541168213,164666631.0,2.0688822269439697,163457284.0,1.9984607696533203,1907.51555670006,1723.9304754854147,1524.9736673725145,1855.942166510892,1652.9736209259145,1493.6009754083564,1680.6146567047294,1612.5586016137456,1697.5480701208737,1771.5305178837052,1807.2727160087684,0.2065193233164874,137569472.0,1.3327178955078125,,
3,,,,,,,,,,,,6.837275513931313e-08,70411319.0,0.6587264537811279,76528734.0,0.6703920364379883,147402881.0,1.4318311214447021,141024602.0,1.3051629066467285,137813307.0,1.2475898265838623,,,94763429.0,0.8935041427612305,140241402.0,1.2726950645446777,161314223.0,1.9358665943145752,2302.6498090716714,2093.981896289032,1942.1146758208035,2253.234743298368,2047.406509929771,1861.8503153223455,1918.7396311962748,1897.3217198899818,1966.2529225831343,2038.1546421060411,2094.3934152731326,0.3874230113896457,127919289.0,1.125246524810791,,
4,,,,,,,,,,,,4.26632796898701e-08,67722300.0,0.6420495510101318,78132673.0,0.6858253479003906,166666444.0,1.5368926525115967,160038470.0,1.431321382522583,152911169.0,1.3380517959594727,175875222.0,1.6888742446899414,163682809.0,1.4933412075042725,161658216.0,1.4167616367340088,168437740.0,1.5171926021575928,2663.9625071931214,2556.9789126777664,2402.1795936760814,2568.484461047238,2564.114623236141,2185.9336558094033,2226.293172254958,2180.772102891544,2244.961812153463,2324.451894530489,2392.713748944157,0.5233465297655626,147069692.0,1.2512459754943848,,
5,,,,,,,,,,,,3.525592610011977e-08,61265712.0,0.5720748901367188,79095561.0,0.6972427368164062,136793168.0,1.3964715003967285,127545999.0,1.2411346435546875,142631227.0,1.594611406326294,,,89217789.0,0.8511092662811279,127920632.0,1.2241737842559814,151118143.0,1.890629768371582,3103.5831275358646,2857.1856877227888,2976.4594715559183,3096.8946015758097,2968.076910813521,2642.3857433091757,2537.272174419116,2564.110035037888,2595.5291098234375,2637.4118150854197,2785.1269587904903,0.6755904501134699,125994307.0,1.2211081981658936,,
6,,,,,,,,,,,,5.371710640843751e-08,75634511.0,0.7206459045410156,75814991.0,0.6853892803192139,161780714.0,1.500054121017456,161858228.0,1.471268653869629,145568842.0,1.2967126369476318,168905940.0,1.564267635345459,109060573.0,1.0298173427581787,156817896.0,1.3870701789855957,165618533.0,1.4985923767089844,3479.755627385562,3193.5038263356,3408.023978592412,3358.1472366702915,3360.1923516471484,2830.8910794364306,2787.730656183703,2847.404391266882,2946.880155378687,2876.01970541162,3120.1461080205618,0.7806219025091692,,,182787801.0,2.104349136352539
7,,,,,,,,,,,,5.7410006576874606e-08,66491773.0,0.6099927425384521,95517944.0,0.809776782989502,105101721.0,0.9700767993927002,146856558.0,1.344310998916626,137005813.0,1.2123382091522217,157553613.0,1.5881502628326416,149454451.0,1.3923768997192383,142125125.0,1.262925624847412,167554381.0,1.9551842212677002,3872.5844179847604,3578.761831904146,3774.6328109095853,3807.1192504498845,3761.23742858086,3188.0518553959078,3032.1482746210413,3226.352836344787,3256.4796885607016,3028.6907219776845,3509.2720651574996,0.8229719454591925,,,,
8,,,,,,,,,,,,5.107063894493286e-08,61592006.0,0.5622272491455078,72227598.0,0.6144649982452393,142991638.0,1.4422330856323242,161096268.0,1.8830125331878662,,,151165079.0,1.611715316772461,97431208.0,0.90523362159729,129553319.0,1.211686372756958,137207534.0,1.3186039924621582,4379.541320857117,3826.260295475716,4058.786631798172,4250.35921624575,4022.6101905232604,3582.2529326823546,3336.2529621186127,3523.1601906311025,3605.6074817976823,3267.7421714625925,3902.9790223618993,0.8510589762167498,,,153438694.0,1.7693452835083008
9,,,,,,,,,,,,6.80619071454615e-08,81453954.0,0.7553832530975342,79311809.0,0.7073214054107666,113681716.0,1.077406883239746,156270901.0,1.451432704925537,146163322.0,1.328488826751709,157321741.0,1.4712257385253906,106106601.0,0.9996159076690674,174219037.0,2.008561611175537,160436052.0,1.5114469528198242,4847.960935784408,4165.478025045303,4475.696313304443,4619.666760434164,4399.664499109865,3838.0267687374967,3657.5890145272842,3946.9412767127938,3784.5129767072085,3554.226435776424,4091.7438777059556,0.8710166649384932,136697892.0,1.22127366065979,,
