,sta0_datasz,sta1_datasz,sta3_datasz,sta2_datasz,sta5_datasz,sta7_datasz,sta4_datasz,sta8_datasz,sta6_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta10,consumption_sta8,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta9,training_time_sta9,host_consumption_sta6,training_time_sta6
10,,,,,,,,,,,,8.446071663161823e-08,76780199.0,0.6985132694244385,167211425.0,1.512162208557129,164486700.0,1.4490470886230469,146477164.0,1.2240586280822754,159439838.0,1.3645195960998535,166932007.0,1.4886810779571533,180980067.0,1.9639437198638916,166796204.0,1.4977214336395264,4877.657215292862,4754.470111684975,4270.755318588169,4907.2168931948945,4728.014249245533,4290.475428004242,4148.6615448307975,4060.4220788414314,4054.611144967886,3720.144636307369,3861.726787653149,0.8831868334250017,76834154.0,0.6581764221191406,,,152838903.0,1.3149750232696533
11,,,,,,,,,,,,7.669681593616031e-08,68423469.0,0.620140552520752,99689747.0,0.9397563934326172,132185392.0,1.2675697803497314,,,131851225.0,1.2451224327087402,,,158462363.0,1.8928124904632568,142248110.0,1.4438998699188232,5282.826219257196,5196.664631461621,4502.1664082489415,5365.042177383918,4969.041250742414,4538.61741923382,4426.062973098951,4345.431942708983,4412.936508001568,4025.0703216192337,4057.192364626154,0.8914154009385542,76418445.0,0.6573605537414551,149328414.0,1.7145278453826904,147635364.0,1.609837293624878
12,,,,,,,,,,,,8.226434347333959e-08,68924811.0,0.6510002613067627,109694421.0,1.0492603778839111,165400211.0,1.9388630390167236,137351516.0,1.3524329662322998,139099742.0,1.3646340370178223,156154813.0,1.6746041774749756,167101928.0,2.0167176723480225,103408609.0,0.9800431728363037,5556.582760394692,5643.480169178741,4937.624945045432,5647.817109065569,5404.401359983117,4898.181277284957,4772.516987767941,4529.901346782494,4611.053377771332,4290.1259047993935,4480.091797244221,0.8975494612346996,84444975.0,0.7479443550109863,,,156587367.0,1.696735143661499
13,,,,,,,,,,,,7.29273916199295e-08,63208639.0,0.6943655014038086,138603405.0,1.4989945888519287,159815082.0,1.9638524055480957,136660233.0,1.387502908706665,160433427.0,2.030073881149292,142127749.0,1.5120460987091064,142242190.0,1.4849810600280762,143440978.0,1.5394017696380615,6053.128199824291,6037.400838912306,5294.434017108179,6150.832429713764,5752.01839265184,5267.350579957165,5008.048917337512,4884.378780559509,4920.124455978826,4547.1515200774165,4871.01105530938,0.9022855000062422,71107423.0,0.7361581325531006,,,151075724.0,1.7059905529022217
14,,,,,,,,,,,,7.548383491976351e-08,66295729.0,0.6609072685241699,165717959.0,1.8081512451171875,179653043.0,2.260556221008301,136868546.0,1.2493510246276855,138750621.0,1.291506052017212,,,146393058.0,1.4008653163909912,160009295.0,1.687300443649292,6463.38097225948,6463.79603639472,5624.639792044318,6447.0112373091015,6074.054447205811,5579.941655510528,5243.069909831434,5269.47072443876,5203.01276177886,4802.15957281132,5126.5239930268235,0.9069160764867609,67645334.0,0.6260409355163574,157657067.0,1.623673439025879,137336318.0,1.2862067222595215
15,,,,,,,,,,,,9.446507483438265e-08,67658579.0,0.6189568042755127,113549514.0,1.040907621383667,157112879.0,1.4074203968048096,145921562.0,1.2452468872070312,178872956.0,2.0574920177459717,160487992.0,1.4650750160217285,,,156563564.0,1.4241650104522705,6861.073999482588,6739.206603363392,5880.4085400683625,6764.8214790965,6295.860797720316,6021.603027025105,5397.976502474073,5642.32770333435,5462.761592335128,4956.021827792284,5529.307469140819,0.9104655655947599,83386017.0,0.7085082530975342,168296139.0,1.7829258441925049,150229962.0,1.3150479793548584
16,,,,,,,,,,,,8.306810208608618e-08,,,150967997.0,1.4410104751586914,171754993.0,1.8522179126739502,,,144503109.0,1.3064563274383545,156782252.0,1.5014848709106445,175844459.0,1.987325668334961,93344365.0,0.8941142559051514,7209.631130225396,7172.951578237467,6330.391135627654,7086.2027382082315,6740.584468119928,6255.438370111219,5747.127491719464,5861.164182385653,5736.906573206809,5241.567658831291,5739.306330651413,0.9126749688928778,71069521.0,0.6338584423065186,166200930.0,1.7737929821014404,143348205.0,1.303767442703247
17,,,,,,,,,,,,9.158794484336412e-08,49463069.0,0.5412652492523193,129619908.0,1.527893304824829,,,,,112741350.0,1.186722755432129,135927143.0,1.640587329864502,144207578.0,1.897679090499878,129158544.0,1.5023369789123535,7624.37866246041,7398.604409069501,6688.393853151882,7498.018565525045,7106.797500691476,6652.394322548375,5907.584218594326,6188.032750855289,6019.581003001647,5387.120651238928,6099.72728121173,0.9185882210731506,69752324.0,0.7134580612182617,139352731.0,1.8195881843566895,112224932.0,1.1885104179382324
18,,,,,,,,,,,,8.933233521704252e-08,78501203.0,0.6995391845703125,113512893.0,1.0322151184082031,171816027.0,1.8757102489471436,132796840.0,1.183457612991333,174279583.0,2.0322515964508057,158220909.0,1.5256528854370117,175851540.0,1.9975330829620361,111689106.0,1.0061323642730713,8059.927922292633,7787.492987034331,6905.407797841752,7883.604351687604,7363.512554378845,6887.173972976593,6154.126880796792,6508.287674622592,6287.140791595928,5633.706891424544,6300.988425415151,0.923032982782884,84289396.0,0.7151365280151367,,,144865718.0,1.3163836002349854
19,,,,,,,,,,,,8.472693710025251e-08,79802592.0,0.716972827911377,160180987.0,1.4675066471099854,180770472.0,1.9537158012390137,142753602.0,1.214242935180664,152781225.0,1.3259048461914062,166675599.0,1.5267095565795898,161279067.0,1.430640697479248,109177455.0,0.9950001239776611,8318.195593840901,8219.819678676788,7286.661315298488,8331.643399022238,7743.7622896150015,7371.161543984373,6524.241412290995,6738.214998195575,6573.09150225541,5947.715913905483,6652.2817993867775,0.9253089157017794,78805280.0,0.6636955738067627,,,170947866.0,1.6705384254455566
20,,,,,,,,,,,,1.0168455988982364e-07,74946708.0,0.7232625484466553,110037072.0,1.0642268657684326,158764609.0,1.5116913318634033,,,178723236.0,2.018948793411255,166334291.0,1.6503875255584717,160942459.0,1.5282008647918701,105901218.0,1.0178122520446777,8734.269733318384,8642.826507334708,7633.927444962342,8720.209914330673,8064.021081220868,7728.331189612048,6757.150791619746,7121.114933410727,6888.895346120439,6165.697607331606,7003.522357260048,0.9287326064976779,83798553.0,0.7585504055023193,170694692.0,1.8501057624816895,149252365.0,1.3867113590240479
21,,,,,,,,,,,,8.76109993201477e-08,66527540.0,0.666508674621582,100559679.0,1.0327026844024658,159032063.0,1.9548025131225586,121473810.0,1.2064664363861084,163875129.0,2.1370139122009277,138609020.0,1.4753334522247314,163754037.0,2.1031744480133057,135895465.0,1.4429588317871094,9118.288866516103,9027.874983241927,8056.6145694135275,9180.425421763972,8508.475223499334,8035.371275321828,7146.9975363830345,7394.553501503875,7224.9755389205875,6503.490279182345,7313.731189195343,0.932146505876021,75450185.0,0.7095565795898438,,,152402320.0,1.8047585487365723
22,,,,,,,,,,,,7.511988303798759e-08,77546493.0,0.7282888889312744,150978617.0,1.4805357456207275,168648250.0,1.9445772171020508,132097623.0,1.1801319122314453,170034660.0,2.036442518234253,150864604.0,1.4631414413452148,170185844.0,1.9991629123687744,100761461.0,0.9655625820159912,9572.97202429707,9407.896969404874,8406.613746953488,9591.816762226556,8903.057665758697,8377.173127809932,7533.642190466691,7717.079918525067,7555.128197809442,6721.0733782680645,7592.657321154347,0.9348955479535189,80069008.0,0.705035924911499,,,141562931.0,1.3057057857513428
23,,,,,,,,,,,,6.612229531980434e-08,48945798.0,0.49449706077575684,72454832.0,0.778566837310791,91684030.0,1.0306849479675293,87946003.0,0.9904124736785889,,,,,,,,,9965.734344253906,9671.918992200372,8717.775680957659,9883.059259338574,9240.43053849566,8732.102057463402,7709.616582389141,8046.192898554154,7764.348744918208,6865.034511098062,7837.184226958383,0.9363298903812062,52700243.0,0.5118234157562256,101276413.0,1.3149254322052002,,
24,,,,,,,,,,,,6.059318834676238e-08,48585081.0,0.5326957702636719,,,144186032.0,2.112293243408203,103208537.0,1.0559942722320557,,,,,114674878.0,1.2456750869750977,130205843.0,1.5858135223388672,10424.779453965804,10066.86103453997,8969.17534396256,10284.084085935783,9500.938815092013,9016.329148632525,8105.762785130243,8320.778473822738,8182.557838684804,7161.281181129261,8116.175856036742,0.938888430595398,56639870.0,0.5720274448394775,124968980.0,1.4549918174743652,108430935.0,1.1478636264801025
