,sta0_datasz,sta1_datasz,sta5_datasz,sta2_datasz,sta3_datasz,sta6_datasz,sta4_datasz,sta8_datasz,sta7_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta2,training_time_sta2,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta6,consumption_sta9,consumption_sta0,consumption_sta7,consumption_sta5,consumption_sta1,consumption_sta3,mean_acc,host_consumption_sta9,training_time_sta9
0,747088320.0,684321792.0,1135301568.0,1128383616.0,1047438528.0,995528640.0,436285440.0,352361088.0,1026684672.0,748350720.0,1102428672.0,3.644131629401861e-08,103920815.0,0.9957640171051025,107658660.0,0.9914183616638184,148328600.0,1.414602279663086,170806691.0,1.5447044372558594,144172849.0,1.3508274555206299,182862081.0,1.7093791961669922,180947107.0,1.6746957302093506,181642174.0,1.6720244884490967,188049690.0,1.7598161697387695,190312501.0,1.8016295433044434,759.908271480321,737.6819585340131,815.7698221753479,733.704655816759,861.9281561616988,754.3511578374216,1034.819097543651,764.8264234041292,776.6604745289936,1003.7155115419733,750.6369053044355,0.6985946981744333,,
1,,,,,,,,,,,,7.777268135583842e-08,61505885.0,0.736980676651001,56655617.0,0.6456141471862793,133678125.0,1.604175090789795,,,131029327.0,1.5617411136627197,156777186.0,2.0240089893341064,143642698.0,1.7248153686523438,158077048.0,2.101942777633667,125804549.0,1.446932315826416,147572254.0,1.818310022354126,1228.6205091364675,1258.2283961228957,1297.2692671356554,1231.9492651716396,1386.9330329178727,1155.8458946502114,1367.8371002049585,1238.9308579641652,1258.0602317413734,1330.7982254456188,1242.9195282037815,0.1216448498043147,149671553.0,1.8451037406921387
2,,,,,,,,,,,,4.501628613569063e-08,61814661.0,0.5886993408203125,75903920.0,0.6733808517456055,105003394.0,0.9946320056915283,,,100668505.0,0.9476208686828613,161168167.0,1.8366749286651611,133602197.0,1.252148151397705,137540602.0,1.2955608367919922,,,144529721.0,1.4146702289581299,1474.9398698197729,1672.9480041178454,1557.526391440456,1611.0102585455497,1716.3290082350297,1415.0384811607048,1527.4225310694574,1404.1148015466085,1634.2224351017985,1510.4179234177004,1523.0918082625856,0.20805822583762082,154688385.0,1.7528088092803955
3,,,,,,,,,,,,8.439029915882348e-08,79149639.0,0.723207950592041,74993888.0,0.6491596698760986,108835414.0,1.0300946235656738,136327105.0,1.2363450527191162,151976540.0,1.4838593006134033,168818965.0,1.902190923690796,140929021.0,1.3078911304473877,172313524.0,2.0801544189453125,150413799.0,1.4337005615234375,161938733.0,1.6852798461914062,1851.2956213787927,2134.113407901836,2009.1706619212973,2119.8081067515154,1919.9377392371302,1890.46710324027,1912.7913323472897,1647.51980797938,1991.2158121184016,1845.7460058292095,1816.7953210804628,0.35371367226947437,,
4,,,,,,,,,,,,4.153288208087518e-08,60787930.0,0.6634254455566406,62121850.0,0.6399927139282227,127579813.0,1.493861436843872,115632944.0,1.273575782775879,127528055.0,1.4837346076965332,148817490.0,1.9721143245697021,142182131.0,1.7939579486846924,151989113.0,2.1155011653900146,153507907.0,2.139134168624878,127741312.0,1.4799010753631592,2259.3638016251716,2423.1325271972946,2429.7665184711846,2519.023221998618,2361.1380670016597,2275.622640541967,2265.4427040062164,1974.5591841978667,2241.4222126200175,2072.2176390198097,2114.81618759452,0.4779383025386117,,
5,,,,,,,,,,,,4.2543780406955176e-08,78628033.0,0.7345800399780273,84392973.0,0.7481131553649902,114314649.0,1.075301170349121,138213635.0,1.2242074012756348,111226033.0,1.021493673324585,150330120.0,1.3827006816864014,149995770.0,1.354813575744629,155971158.0,1.4382789134979248,175917335.0,1.990354061126709,159021260.0,1.480602502822876,2610.712595201429,2870.608142707289,2821.205565090423,2769.0949877999656,2669.993990432999,2610.78608012274,2493.0293806978375,2224.6462734161287,2528.107286360327,2280.1992156170822,2328.500870623195,0.6591809500347484,,
6,,,,,,,,,,,,4.767112550883095e-08,50751762.0,0.6404831409454346,47956298.0,0.5730373859405518,121873101.0,1.6982274055480957,,,118934083.0,1.6350059509277344,137696425.0,2.148730754852295,95262574.0,1.1891961097717285,131603545.0,1.9508655071258545,131922575.0,1.9513702392578125,,,2937.7311949450473,3359.031484559892,3112.9293949766334,3163.892004642232,3104.5420315009933,2984.2408959648615,2727.8480779804217,2590.442503106313,2891.631165851086,2431.795711128008,2735.436450283869,0.7510777495124124,114457410.0,1.5109117031097412
7,,,,,,,,,,,,5.0578711235428456e-08,77597030.0,0.697181224822998,71800598.0,0.615123987197876,104770850.0,0.9789209365844727,127963662.0,1.1937706470489502,97171199.0,0.8987321853637695,156220425.0,1.851729154586792,,,133869774.0,1.2644827365875244,157130030.0,1.9116628170013428,138149305.0,1.3467161655426025,3225.6265869400027,3731.0623778903573,3563.7634062796933,3494.9597212779745,3468.4373138016176,3362.9163163708804,2886.692417058694,2837.7082385234744,3152.1690765519825,2657.921419685745,2991.282930664691,0.807677919214422,,
8,,,,,,,,,,,,7.370799354853933e-08,74348992.0,0.7164344787597656,78986065.0,0.7110028266906738,147725086.0,1.4722027778625488,126926494.0,1.164684772491455,96806149.0,0.9397993087768555,166386415.0,1.937769889831543,157927818.0,1.7051949501037598,141836368.0,1.3432540893554688,168242306.0,2.0068178176879883,148098803.0,1.4573578834533691,3463.7119320353145,4168.459845886081,3967.996072190022,3986.848995050225,3683.9093828265186,3625.807974175934,3271.489350355046,3120.366698423234,3474.2449779026297,3037.8939726511812,3303.0397971962084,0.8427254828539762,,
9,,,,,,,,,,,,5.589213634528485e-08,57138281.0,0.7188551425933838,60023100.0,0.727482795715332,70072575.0,0.9105985164642334,,,99221120.0,1.4326894283294678,118448305.0,1.8721280097961426,114203992.0,1.7713096141815186,123548329.0,2.1085269451141357,,,105813328.0,1.563842535018921,3918.3921006007686,4567.483888715423,4526.14651219344,4547.831152569431,4090.511325981289,4163.084816558185,3647.5484397538435,3369.6750808474644,3757.501773215097,3403.1301057368028,3691.6998180748806,0.8634401288899508,114606396.0,1.826181173324585
