,time_sta0,time_sta3,time_sta5,round_time,consumption_sta0,consumption_sta5,consumption_sta1,consumption_sta4,consumption_sta2,consumption_sta3,mean_acc,time_sta1,time_sta2,time_sta4
0,13.12245798110962,20.833203554153442,10.844810724258423,20.833203554153442,0.21621203239264453,0.15950954065536083,0.03688432226184446,0.0,0.0341637963679835,0.490290506287939,0.5444565918296576,,,
1,,,,22.69326376914978,0.21621203239264453,0.15950954065536083,0.4540597734055165,0.30833979778524956,0.666474388811428,0.490290506287939,0.7182688415050507,16.664508819580078,22.69326376914978,19.05236315727234
2,10.658166885375977,,11.248648166656494,15.997152328491211,0.4617530314134227,0.2759089981647995,0.4540597734055165,0.5476638309635771,0.7006328204106613,0.490290506287939,0.7668946733077368,,,15.997152328491211
3,11.374403238296509,,11.351511716842651,14.757545948028564,0.7011464409864451,0.42444111721268785,0.8236233056414619,0.5815138018709547,0.7006328204106613,0.490290506287939,0.8338997811079025,14.757545948028564,,
4,,19.062963485717773,14.325553178787231,19.062963485717773,0.7011464409864451,0.541496178075477,0.8568901651299612,0.8187632527458995,0.7378366524036442,0.8884506784525157,0.8376464446385702,,,17.207873821258545
5,12.256298303604126,,11.177305936813354,22.295076370239258,0.9121023384145451,0.7006102724862999,0.8957481707141,0.8187632527458995,1.3351160917423415,0.9280457635238775,0.8675369669993719,,22.295076370239258,
6,10.396831512451172,19.451260805130005,10.368255376815796,19.451260805130005,1.0754375822966118,0.8547905059104886,1.3077593349133512,1.1036216691240295,1.3351160917423415,1.3508327850339046,0.978277454773585,14.029175043106079,,17.078640937805176
7,11.745653867721558,,12.548491477966309,17.91610312461853,1.2909998927120157,0.970483653067133,1.3476695774975287,1.3793292762542944,1.3689150377380543,1.383399907004804,0.9338631530602773,,,17.91610312461853
8,,,9.819540977478027,9.819540977478027,1.3258583241064308,1.124015571275669,1.3476695774975287,1.4138099198385543,1.3689150377380543,1.4194358344043745,0.8451316754023234,,,
9,11.423797369003296,,12.619221448898315,12.619221448898315,1.5747913861349971,1.2858973745228135,1.3877299636660165,1.4138099198385543,1.3689150377380543,1.4194358344043745,0.659094234307607,,,
10,,,12.505964279174805,22.261858463287354,1.6084998908721708,1.408632261506066,1.8048170224954259,1.4138099198385543,1.968534873736934,1.4194358344043745,0.9025815526644388,16.175052642822266,22.261858463287354,
11,,20.64878010749817,11.102701663970947,20.64878010749817,1.6084998908721708,1.521377349812282,1.839824756596327,1.724006669936342,2.0044996333064398,1.8341421646395157,0.9199435214201609,,,17.7784321308136
12,10.160102605819702,,14.409390449523926,18.18005347251892,1.8039131169800235,1.6409955382277084,1.8787213153956532,1.9996763151681538,2.0044996333064398,1.8742024172848697,0.916610985994339,,,18.18005347251892
13,11.145825862884521,,14.078377723693848,14.078377723693848,2.0440187802748326,1.7990934309888815,1.9181086956957483,2.034352290379994,2.036694977597746,1.8742024172848697,0.888644297917684,,,
14,,20.338255882263184,10.155947208404541,20.338255882263184,2.0440187802748326,1.9563499324940374,2.33321328092992,2.068594927389528,2.036694977597746,2.3341742771221727,0.8946969509124756,14.976495742797852,,
15,12.004785299301147,,12.05129361152649,22.578788995742798,2.2502168367659365,2.1150189720475994,2.33321328092992,2.336821401852605,2.587104408192149,2.371868164447466,0.973442922035853,,22.578788995742798,18.642358779907227
16,11.381058931350708,,11.158099889755249,11.381058931350708,2.456235012163468,2.236812085401111,2.33321328092992,2.336821401852605,2.621223487026955,2.371868164447466,0.9032902618249258,,,
17,,22.396573066711426,10.079516887664795,22.396573066711426,2.456235012163468,2.3530429779025313,2.7492271650603204,2.5757103499009677,2.655117916369053,2.7950904173270916,0.94525674978892,14.831729650497437,,17.590458393096924
18,10.632354497909546,,13.23666000366211,19.14015507698059,2.670728860928577,2.470066978741214,2.7492271650603204,2.846859683902169,2.655117916369053,2.7950904173270916,0.9690658549467722,,,19.14015507698059
19,10.530764818191528,,13.24053955078125,25.57939100265503,2.8332429200554685,2.588060282818516,2.7492271650603204,2.846859683902169,3.2383276098625253,2.8297614935115862,0.9239189525445303,,25.57939100265503,
20,11.254847288131714,19.85001301765442,12.774720668792725,20.474347591400146,3.038634428470118,2.7064625380515595,3.1169178859325175,3.0842149153003664,3.2383276098625253,3.2620125520551144,0.9895890255769094,15.543843984603882,,20.474347591400146
21,12.00218939781189,,12.156691789627075,12.156691789627075,3.28897990933001,2.8278110448040494,3.1169178859325175,3.0842149153003664,3.2733046336427614,3.2620125520551144,0.9598847528298696,,,
22,,,12.553994178771973,16.455180883407593,3.3290403638496286,2.9430167911954386,3.534479325432118,3.3671596685941854,3.2733046336427614,3.302073097179711,0.9291483561197916,14.902209281921387,,16.455180883407593
23,,,12.622609853744507,23.023014307022095,3.3290403638496286,3.1025762631444196,3.534479325432118,3.3671596685941854,3.818047027725394,3.3365776191509826,0.9125429689884186,,23.023014307022095,
24,11.557393074035645,21.944873571395874,11.902188777923584,21.944873571395874,3.529083588852558,3.217298870383891,3.534479325432118,3.643914170209607,3.818047027725394,3.754041597890175,0.9330713550249735,,,17.490342617034912
25,10.718359231948853,,12.616966724395752,16.134381532669067,3.6962669710268514,3.3811089098116,3.949873053421955,3.643914170209607,3.8571826263141724,3.754041597890175,0.9804101785024008,16.134381532669067,,
26,11.947640657424927,,12.855636358261108,17.123726844787598,3.9022405957951207,3.4966514635381345,3.984475058407485,3.8806623466299133,3.8571826263141724,3.754041597890175,0.9428783059120178,,,17.123726844787598
27,,20.94855546951294,14.634194612503052,20.94855546951294,3.9022405957951207,3.7280325695239527,4.020760073212289,3.8806623466299133,3.8571826263141724,4.1652894135152785,0.9457098444302877,,,
28,11.420546531677246,,12.545551776885986,26.1266508102417,4.066568509464155,3.882401556971834,4.020760073212289,4.12357053650763,4.449865760684668,4.1652894135152785,0.940159410238266,,26.1266508102417,19.803314685821533
29,11.005528926849365,,9.763111114501953,19.852572441101074,4.276472715111673,4.046110315923789,4.475183525483539,4.12357053650763,4.483426243901613,4.1652894135152785,0.9802972873051962,19.852572441101074,,
30,,21.03403067588806,14.629360914230347,21.484898567199707,4.276472715111673,4.19544626966732,4.475183525483539,4.396862835731229,4.483426243901613,4.5702520504619635,0.9698624312877655,,,21.484898567199707
31,10.79462718963623,,9.910201072692871,19.059828519821167,4.5205538008046915,4.31229982663673,4.510686762342681,4.635661658843711,4.483426243901613,4.5702520504619635,0.9507501522699991,,,19.059828519821167
32,,,12.49797511100769,23.73036241531372,4.5205538008046915,4.4304846346784625,4.510686762342681,4.6705861476292245,5.026469980525414,4.5702520504619635,0.9349230726559957,,23.73036241531372,
33,10.470683097839355,19.060434579849243,10.664028882980347,19.060434579849243,4.691363374032399,4.593102989678526,4.87605550003059,4.6705861476292245,5.026469980525414,4.99250728589185,0.9682570596536001,18.27704095840454,,
34,10.920543670654297,,11.391591787338257,16.04468011856079,4.906173747332879,4.709450854802993,4.909092416787873,4.946699634883162,5.026469980525414,5.026645420385254,0.9776712357997894,,,16.04468011856079
35,12.234423398971558,,12.647148609161377,15.919158935546875,5.112879530307161,4.908981656169656,5.3330634864739626,4.946699634883162,5.026469980525414,5.026645420385254,0.9722486734390259,15.919158935546875,,
36,,21.716469049453735,12.203520774841309,25.01816987991333,5.145508279562343,5.020778272435605,5.3330634864739626,5.18687377170197,5.615223646709433,5.443757541824699,0.9833347400029501,,25.01816987991333,17.175218105316162
37,11.819083452224731,,13.986331701278687,18.4391667842865,5.3610082585178915,5.1384463030331755,5.3330634864739626,5.460878847612962,5.615223646709433,5.443757541824699,0.9442500372727712,,,18.4391667842865
38,10.753214836120605,,12.110394954681396,13.273697853088379,5.559222586961887,5.303144509731721,5.7008629984981685,5.460878847612962,5.615223646709433,5.443757541824699,0.9725715716679891,13.273697853088379,,
39,,20.47724175453186,13.624717712402344,20.47724175453186,5.559222586961887,5.416958878312213,5.7008629984981685,5.701158025809109,5.652154578082184,5.931040770162998,0.9757940173149109,,,16.506242036819458
40,13.700227975845337,,11.145612955093384,24.378629446029663,5.774784706629966,5.5388026986651635,5.7008629984981685,5.701158025809109,6.20216905042731,5.931040770162998,0.9541537861029307,,24.378629446029663,
41,13.834850788116455,,11.564629316329956,17.79568886756897,6.026083908260922,5.658986189056774,6.118683781251294,5.943852850488414,6.20216905042731,5.963215044821769,0.9906782408555349,14.747226476669312,,17.79568886756897
42,,19.88453507423401,12.112123727798462,19.88453507423401,6.026083908260922,5.809444899089497,6.118683781251294,6.181111996096577,6.20216905042731,6.381573657166403,0.9816785752773285,,,19.764283418655396
43,10.088720798492432,,12.92096757888794,14.753068685531616,6.275632537367123,5.9702532272105895,6.482741537950192,6.181111996096577,6.241193498955392,6.381573657166403,0.9869312544663748,14.753068685531616,,
44,,,11.038685083389282,21.798412561416626,6.275632537367123,6.125038275921069,6.522801634818565,6.457542190685404,6.784241619588736,6.381573657166403,0.9674035410086314,,21.798412561416626,17.689440727233887
45,11.195447444915771,19.915488719940186,12.178288221359253,19.915488719940186,6.491148973048858,6.2812538040562185,6.522801634818565,6.457542190685404,6.784241619588736,6.798940728312449,0.9457239409287771,,,
46,10.624601364135742,,12.64566159248352,19.2118239402771,6.654600213563448,6.434747698373426,6.928486569923722,6.705220268783778,6.784241619588736,6.798940728312449,0.9878495236237844,16.759760856628418,,19.2118239402771
47,11.233813285827637,,11.129241704940796,16.23723816871643,6.863977894578106,6.586760080406476,6.928486569923722,6.986283121603423,6.784241619588736,6.798940728312449,0.977858712275823,,,16.23723816871643
48,,19.214289665222168,12.53404188156128,22.106045722961426,6.863977894578106,6.70222963194942,6.928486569923722,7.020711908935555,7.32834813518185,7.256268830109736,0.9623968104521433,,22.106045722961426,
49,11.029321432113647,,13.872494459152222,17.876126527786255,7.071331371249649,6.863979352205588,7.294280725030918,7.020711908935555,7.368409818432207,7.256268830109736,0.9709119300047556,17.876126527786255,,
50,11.743816375732422,,11.168148279190063,18.191650867462158,7.282749164934991,6.97955564913539,7.294280725030918,7.2585354472909405,7.368409818432207,7.256268830109736,0.9661055107911428,,,18.191650867462158
51,,,8.62557601928711,8.62557601928711,7.282749164934991,7.13273958221505,7.329771804926681,7.291524589789036,7.368409818432207,7.256268830109736,0.9501571456591288,,,
52,,19.01731538772583,10.806413650512695,19.01731538772583,7.322809918292101,7.254917417044295,7.329771804926681,7.327769471354914,7.368409818432207,7.7116163324043505,0.8900695939858755,,,
53,12.63341474533081,,11.139700174331665,23.612520456314087,7.490752037723759,7.368740416941618,7.789597938569985,7.608830448492457,7.978622569153581,7.7116163324043505,0.9937703013420105,15.25615119934082,23.612520456314087,17.885779857635498
54,10.733816146850586,,11.203205823898315,17.682685375213623,7.701053606626509,7.528988807855297,7.789597938569985,7.845456495753483,8.055706006529883,7.7116163324043505,0.9773922562599182,,,17.682685375213623
55,11.790451288223267,25.219537019729614,13.27730393409729,25.219537019729614,7.910678243444927,7.6452547549478975,7.789597938569985,7.911467834083426,8.055706006529883,8.280493139337597,0.9613131781419119,,,
56,10.745609283447266,,13.992478847503662,17.732521772384644,8.074433737083105,7.8355672288689515,8.244994954103648,8.21466000034559,8.055706006529883,8.280493139337597,0.9869937698046366,14.539655447006226,,17.732521772384644
57,11.247792720794678,,12.592704772949219,23.576590299606323,8.277113490802101,7.987520277354404,8.284819121953662,8.21466000034559,8.643879619610582,8.280493139337597,0.9807908435662588,,23.576590299606323,
