,time_sta0,time_sta1,time_sta2,time_sta3,time_sta4,time_sta5,round_time,consumption_sta1,consumption_sta3,consumption_sta0,consumption_sta4,consumption_sta2,consumption_sta5,mean_acc
0,13.540898323059082,15.496289730072021,22.832260608673096,20.365874528884888,17.99717903137207,10.664835453033447,22.832260608673096,0.45997824351471683,0.4551015177126616,0.2473892914043836,0.2738522968343555,0.5902588422644224,0.1952591515389166,0.9610712230205536
1,10.45517873764038,14.57823371887207,22.498856782913208,18.758652448654175,16.114262342453003,11.214552402496338,22.498856782913208,0.8812565283274503,0.8762628092380571,0.45530227928099554,0.5131174320048326,1.1976940527140123,0.3533052055331334,0.9462001125017802
2,11.040813446044922,14.535723686218262,23.297553062438965,20.865335702896118,17.854954957962036,9.843366146087646,23.297553062438965,1.3036053571155386,1.2993764346904588,0.6661436059128889,0.7895415687762752,1.802230520446645,0.46912792735331177,0.9625149071216583
3,12.850767135620117,16.680254459381104,24.661514043807983,21.57025408744812,18.595571041107178,10.82370662689209,24.661514043807983,1.707509276421542,1.803371942951943,0.8817063105394507,1.0337282347078474,2.3616360816867514,0.587961136446995,0.967225601275762
4,12.18339204788208,13.582890748977661,23.205036640167236,20.111709117889404,18.410032272338867,14.292138814926147,23.205036640167236,2.1127402773810666,2.22844612354143,1.1292204524317448,1.3147565590810433,2.9678347010177513,0.7058933966089489,0.9716982046763102
5,11.381400108337402,14.884830474853516,22.661425828933716,21.11425232887268,20.2160222530365,12.920244455337524,22.661425828933716,2.5116347965773174,2.649135056318363,1.3780167025250372,1.55032771318541,3.517544751745807,0.8234749169326134,0.9744797249635061
6,11.072381258010864,14.917303085327148,21.40062141418457,21.097231149673462,17.608386278152466,13.487653732299805,21.40062141418457,2.878259262110037,3.109090178077159,1.5935808918016747,1.7976397678154075,4.1013686389361235,0.9392758490490811,0.9760035971800486
7,10.75750470161438,14.320802927017212,23.052407026290894,22.48258638381958,18.358353853225708,13.143044471740723,23.052407026290894,3.2968384975890843,3.5266621118592156,1.8025195662390907,2.076116787791505,4.651983393139251,1.0577340043777168,0.977370540301005
8,11.175919771194458,14.634958982467651,23.371379137039185,22.90698766708374,18.93030285835266,11.849603652954102,23.371379137039185,3.7169654855428953,3.9786478370538796,2.0087542557555613,2.3165164340555573,5.26114482880604,1.203480438242674,0.979600210984548
9,11.500932216644287,16.160156726837158,22.76785159111023,21.210787534713745,19.547121047973633,13.379540920257568,22.76785159111023,4.111795382529637,4.398541448824476,2.2194134886248156,2.5834928315635888,5.818819098897692,1.320142445150391,0.9821555415789286
10,10.768521547317505,14.873969793319702,25.992822408676147,20.80914068222046,19.23747158050537,13.132130146026611,25.992822408676147,4.5704079482574915,4.850599505407944,2.4306628969225335,2.8237925611953254,6.508120329179271,1.469098112293703,0.9831994374593099
11,14.005495548248291,17.160547018051147,21.395808458328247,20.81141424179077,18.16948127746582,11.95422101020813,21.395808458328247,4.9369834648453566,5.301800178161047,2.595932453877295,3.094889948339428,7.061634514379322,1.5873872241564184,0.9836011429627737
12,13.858573913574219,18.457391262054443,26.68775749206543,22.190643548965454,17.999393224716187,12.596204280853271,26.68775749206543,5.305999847893007,5.756738972502761,2.8017807194980966,3.370931836992241,7.638819505804983,1.7006511356719356,0.9847002327442169
13,10.842986106872559,15.977712869644165,22.811831951141357,19.22028875350952,15.793946743011475,13.14111590385437,22.811831951141357,5.761267903923278,6.180834517540335,3.013482734657905,3.6129947221144785,8.239204087602218,1.8178809624206407,0.9855943024158478
14,11.448227643966675,13.958080291748047,24.466773986816406,20.861331701278687,16.83054208755493,12.245287418365479,24.466773986816406,6.125295307952756,6.602538863544611,3.184958065355331,3.848015608311648,8.835596496206279,1.9288636296135975,0.9872792065143585
15,11.576445579528809,16.931273221969604,24.019241333007812,21.670217037200928,18.847087383270264,13.219506025314331,24.019241333007812,6.580983626455636,7.024013200056098,3.352871938286042,4.08551746082675,9.473303941101186,2.044918823156716,0.9879330396652222
16,11.21100401878357,14.145595073699951,22.730315685272217,20.051997900009155,18.10630774497986,10.093164920806885,22.730315685272217,6.985997638017446,7.476778908581943,3.5684346349648015,4.36228704101886,10.077274326383133,2.1619074801040865,0.9876142342885336
17,11.853522062301636,16.196434259414673,24.86000108718872,19.693729400634766,17.431126594543457,12.603930473327637,24.86000108718872,7.393058697505063,7.8987465844589995,3.7657172151409943,4.641095977250558,10.670211119736607,2.3178744533369793,0.9887792269388834
18,10.436642169952393,15.398152351379395,21.4959454536438,21.25398015975952,17.818952322006226,13.263226985931396,21.4959454536438,7.755912043750081,8.316109319282342,4.010702460679197,4.880399484426249,11.267876186600859,2.4318614275898467,0.9892263412475586
19,13.062011241912842,17.59718346595764,24.9666428565979,21.86671280860901,17.77204442024231,12.444323301315308,24.9666428565979,8.115011832178519,8.73146231317916,4.253869474023943,5.120443981409522,11.849145784198328,2.5518177569821843,0.9895003139972687
20,10.77224349975586,15.130454301834106,23.58793020248413,20.694238901138306,15.96017575263977,11.873753070831299,23.58793020248413,8.513286848543823,9.154419718155149,4.461856303372399,5.357998147970349,12.439087219720975,2.709422184802473,0.988866368929545
21,10.907579898834229,14.475161075592041,24.031776428222656,22.768160581588745,19.402687072753906,10.551260948181152,24.031776428222656,8.879627764986418,9.578392693725002,4.668280152250644,5.637475243498642,13.039200150293013,2.8267901142100653,0.9897113939126333
22,11.432865858078003,16.48640751838684,23.08024549484253,19.26768708229065,19.487714290618896,14.449524402618408,23.08024549484253,9.328669440203791,10.07233517056846,4.882350994960674,5.879030855162611,13.592152786470649,2.985817394740816,0.9897725085417429
23,11.11527156829834,13.017393112182617,24.004371166229248,19.62157964706421,15.76954984664917,10.964608907699585,24.004371166229248,9.730380203895331,10.537853560700109,5.097914294083082,6.117230823842974,14.193953905652066,3.142350734955836,0.9898999631404877
24,11.631894826889038,13.879157543182373,23.929160833358765,21.056113481521606,19.690646648406982,11.019541025161743,23.929160833358765,10.131805803502667,10.998504980166254,5.30602480559203,6.387697930931779,14.790625569941682,3.2566659424512165,0.9901995460192362
25,10.597735404968262,14.239674091339111,22.8986873626709,19.59352445602417,19.879746913909912,12.09361219406128,22.8986873626709,10.535536465416238,11.418400826859775,5.471415232773679,6.628394661398843,15.392205317305397,3.375800074537959,0.9909218152364095
26,10.945884704589844,14.327430725097656,23.180155992507935,22.192935466766357,19.031770706176758,12.570626974105835,23.180155992507935,10.946988161328557,11.836510959011528,5.684877271988568,6.867961786157906,16.035439383241766,3.5319361532296467,0.9910127917925516
27,12.325754404067993,18.10019850730896,23.291013717651367,19.440743446350098,15.911007642745972,12.3296799659729,23.291013717651367,11.307046421726222,12.254153006744625,5.849504355364757,7.113141409587001,16.635471262092736,3.6912448655551016,0.9912499090035757
28,10.73141622543335,14.93176007270813,26.32285213470459,23.32664132118225,16.34697937965393,11.927510499954224,26.32285213470459,11.714998778330505,12.671785014809737,6.013985464575426,7.386012320928728,17.233457795437843,3.8068307745609316,0.9918481508890787
29,11.799439191818237,16.280113697052002,23.830395460128784,20.205316305160522,21.84338116645813,12.084372282028198,23.830395460128784,12.0705765380556,13.095361755712753,6.227641328513967,7.666998316879088,17.794558857268427,3.924920801842286,0.9916103482246399
30,10.509942293167114,16.555559396743774,22.44039225578308,18.77235460281372,19.11195468902588,12.583455324172974,22.44039225578308,12.43164858397004,13.512164608963312,6.432362108901287,7.90476117532863,18.340646447643024,4.040815967910102,0.9924107293287913
31,10.343939065933228,14.798943042755127,76.84664726257324,18.334458351135254,15.969889640808105,13.202877044677734,76.84664726257324,12.79775177519023,13.966512428327315,6.643817333571675,8.184464085497893,18.937137668134454,4.157024004112297,0.9925569295883179
32,11.20168399810791,16.366931200027466,25.240070104599,21.11786985397339,16.656545400619507,10.661722421646118,25.240070104599,13.220504670412746,14.334209944573255,6.8109339319254465,8.462829594582928,19.542801522547776,4.273708182218381,0.9916807611783346
33,10.74602198600769,15.877037525177002,25.441885471343994,20.331433296203613,15.511290550231934,12.488105773925781,25.441885471343994,13.586342983527624,14.754801195640775,6.976075206529855,8.742513504728237,20.137584487810315,4.386891496627309,0.9922752579053243
34,10.825816631317139,14.265752792358398,22.22395348548889,21.381266832351685,16.30620574951172,11.07580280303955,22.22395348548889,13.999048925813819,15.17925756151322,7.186541647890194,9.062821631084645,20.740208198508498,4.501673384958873,0.9923135538895925
35,10.9300696849823,16.090113639831543,22.457995891571045,23.451038360595703,15.583098888397217,11.884225368499756,23.451038360595703,14.44826804214845,15.596123974954361,7.402104266680438,9.303465391017241,21.34394574487888,4.661086149954651,0.9922461012999216
36,12.828084945678711,17.35858702659607,25.59203553199768,23.143179416656494,16.228496551513672,11.081361293792725,25.59203553199768,14.853996760124838,16.01643731351546,7.611410345914847,9.617155688062397,21.936045748755788,4.780397588045953,0.9914966622988383
37,11.080954790115356,15.99370002746582,23.723026752471924,19.54759454727173,15.248000144958496,11.13896918296814,23.723026752471924,15.276331343266245,16.437098522757076,7.853774146082357,9.863876360787074,22.57131237169864,4.936341751076891,0.9931028683980306
38,11.774241209030151,15.049525737762451,22.74015760421753,21.142909288406372,17.18418836593628,11.073086977005005,22.74015760421753,15.678737945281975,16.893172756496107,8.10115130754589,10.101939810011388,23.172815427507402,5.054537663792554,0.9927219649155935
39,12.004363775253296,13.34291410446167,24.287200689315796,19.916574239730835,17.761826038360596,15.429619312286377,24.287200689315796,16.09925317558936,17.320553358466547,8.311295184038627,10.379393705799217,23.776370980257525,5.172867423912005,0.9922542174657186
40,11.124489068984985,13.812330961227417,22.2816641330719,21.143243074417114,16.682700395584106,11.16974949836731,22.2816641330719,16.521625668173705,17.780436303023997,8.516806518338498,10.61577801419601,24.377047243339575,5.285947183183249,0.9930619696776072
41,11.530121088027954,13.575246334075928,22.513468503952026,20.650374174118042,20.36310362815857,10.828763484954834,22.513468503952026,16.92290216853832,18.240793283316854,8.724746709963952,10.887560541918006,25.016304918835004,5.400631753814902,0.9935592909653982
42,10.968014001846313,14.309560298919678,22.60548424720764,21.21470332145691,15.501858949661255,11.085952520370483,22.60548424720764,17.28743759470934,18.670159064315577,8.888383348938717,11.125356604709552,25.624425438356013,5.557560847059757,0.9935112992922465
43,10.816207885742188,14.43604063987732,22.91944909095764,18.86617398262024,14.930477857589722,13.780807733535767,22.91944909095764,17.740678119445114,19.0987508641659,9.102188415441404,11.401567272961145,26.257706798023804,5.713911300321139,0.9933343927065531
44,10.512956142425537,14.160512447357178,22.90567374229431,20.0026912689209,16.39801549911499,11.566949605941772,22.90567374229431,18.15990787645061,19.52763447564498,9.352686607026826,11.688617988180297,26.84960279921725,5.867264965146684,0.9934549629688263
45,11.371227979660034,15.661564826965332,22.587284088134766,20.312728881835938,16.175312519073486,13.54875636100769,22.587284088134766,18.58005983958862,19.94703804162065,9.518750852342592,11.967718729682517,27.441044980713457,5.9814436293426025,0.9935039778550466
46,12.437958240509033,16.61124873161316,24.489843130111694,19.930498838424683,20.1336829662323,13.666002035140991,24.489843130111694,18.943199564342542,20.36807657928926,9.684698304655726,12.207690838052784,28.05765984935553,6.1335784695741,0.9928190310796102
