[2026-07-09 18:04:11] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4534537.0, 4184292.3333333335]
[2026-07-09 18:04:11] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6866666666666666 | freq: [4600000.0, 4436061.666666667]
[2026-07-09 18:04:11] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600000.0, 4608884.666666667]
[2026-07-09 18:04:12] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.91 | freq: [4781780.0, 4554014.666666667]
[2026-07-09 18:04:12] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.02 | freq: [4577308.0, 4022457.6666666665]
[2026-07-09 18:04:12] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9066666666666667 | freq: [4849112.0, 4601147.0]
[2026-07-09 18:04:13] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9066666666666667 | freq: [4537376.666666667, 4470440.666666667]
[2026-07-09 18:04:13] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7933333333333333 | freq: [4544708.333333333, 4508923.333333333]
[2026-07-09 18:04:13] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7933333333333333 | freq: [4134040.3333333335, 3853232.0]
[2026-07-09 18:04:14] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6900000000000001 | freq: [4349578.666666667, 4292948.0]
[2026-07-09 18:04:14] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7000000000000001 | freq: [3733456.0, 4038964.0]
[2026-07-09 18:04:14] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [3592699.6666666665, 3411587.6666666665]
[2026-07-09 18:04:15] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [4227195.666666667, 4045855.6666666665]
[2026-07-09 18:04:15] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [3833333.3333333335, 3682871.0]
[2026-07-09 18:04:15] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [4464809.333333333, 4220675.333333333]
[2026-07-09 18:04:16] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [3838541.6666666665, 3245307.6666666665]
[2026-07-09 18:04:16] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [4231173.0, 4089515.3333333335]
[2026-07-09 18:04:16] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [3659349.6666666665, 3604736.3333333335]
[2026-07-09 18:04:17] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [4032800.0, 3797868.6666666665]
[2026-07-09 18:04:17] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3747969.3333333335, 3132014.0]
[2026-07-09 18:04:17] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [4082932.3333333335, 4198308.666666667]
[2026-07-09 18:04:18] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [2859429.0, 3356017.3333333335]
[2026-07-09 18:04:18] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [2719778.6666666665, 2720717.6666666665]
[2026-07-09 18:04:18] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [3835832.0, 3812570.0]
