,time_sta5,round_time,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta0,consumption_sta2,consumption_sta4,mean_acc,time_sta1,time_sta4,time_sta0,time_sta2,time_sta3
0,7.246515989303589,7.246515989303589,0.0,0.03564618608986114,0.03266390875739447,0.03951878295890554,0.0335514290768556,0.0,0.20611696255703768,,,,,
1,,9.558632135391235,0.14713400308743907,0.03564618608986114,0.03266390875739447,0.03951878295890554,0.0335514290768556,0.07764419638683884,0.7501442730426788,8.211554527282715,9.558632135391235,,,
2,6.9399707317352295,11.010394096374512,0.18028745692802817,0.25684528843777255,0.07222732977142235,0.12271340247527773,0.22724640002692242,0.11771367643444441,0.8884766697883606,,,6.537641763687134,10.808238983154297,11.010394096374512
3,7.736907720565796,7.736907720565796,0.2130210981418057,0.25684528843777255,0.10969002020178911,0.24207637731695064,0.22724640002692242,0.19859342764207244,0.9042254189650217,,7.1726579666137695,5.7913818359375,,
4,9.463266372680664,9.463266372680664,0.2130210981418057,0.28940340236585627,0.14677429494536112,0.2789824574912837,0.22724640002692242,0.27267934061573285,0.9090788861115774,,8.85791563987732,,,
5,7.666651964187622,10.87958550453186,0.39887703084490544,0.28940340236585627,0.2230309109827954,0.2789824574912837,0.40433072123302216,0.27267934061573285,0.9167523086071014,6.82612156867981,,,10.87958550453186,
6,7.3793652057647705,11.450757503509521,0.39887703084490544,0.46692765845287276,0.2608722205637787,0.3099378423840117,0.4369264235127007,0.3501408916622226,0.927101214726766,,7.1591033935546875,5.347306728363037,,11.450757503509521
7,6.982946872711182,10.390767812728882,0.39887703084490544,0.46692765845287276,0.2985730479128844,0.38595697004363905,0.4369264235127007,0.4291118358947441,0.9306611120700836,,10.390767812728882,4.613784074783325,,
8,6.373196125030518,8.932855367660522,0.5468904443110154,0.46692765845287276,0.33850941493392284,0.4260147207198065,0.4369264235127007,0.4613424318828103,0.9337924520174662,8.932855367660522,,5.64019513130188,,
9,7.237084865570068,12.925957202911377,0.5820223533363538,0.46692765845287276,0.4127558847067342,0.5027727797053517,0.6256126683269218,0.496967405279644,0.9372749030590057,,,5.52905797958374,12.925957202911377,
10,7.213987588882446,11.329182624816895,0.5820223533363538,0.600507953993322,0.44663973551963465,0.5428322105476125,0.6625899926302546,0.5826047113032666,0.942487895488739,,7.404086589813232,6.903686285018921,,11.329182624816895
11,7.464008569717407,7.464008569717407,0.6138225597579754,0.600507953993322,0.48127262567755735,0.6187857878861435,0.7024355321294055,0.5826047113032666,0.945318748553594,,,4.829823017120361,,
12,7.201414346694946,7.201414346694946,0.6138225597579754,0.600507953993322,0.5602552213930235,0.6187857878861435,0.7356199855907827,0.6547507652255165,0.946690191825231,,6.7000572681427,,,
13,8.127912998199463,12.67288327217102,0.7123771130596999,0.7399817078988882,0.6392436317230324,0.6512424989422639,0.7709240726965542,0.6888806578445619,0.9498899976412455,7.651705741882324,,6.250904560089111,,12.67288327217102
14,10.291333436965942,10.291333436965942,0.7123771130596999,0.7725144031552453,0.7121263518466162,0.7307221869770798,0.8016594384880863,0.8101726016544732,0.9516800145308176,,7.132493019104004,5.02984356880188,,
15,7.868640899658203,7.868640899658203,0.8599547419889553,0.7725144031552453,0.7498669738581388,0.8071739613799279,0.8350678626995803,0.8101726016544732,0.9547344843546549,7.067005157470703,,5.122506856918335,,
16,10.21465253829956,11.420462369918823,0.8599547419889553,0.9395090567388173,0.790811853821732,0.8071739613799279,0.8350678626995803,0.8501576998504967,0.9577014545599619,,,,,11.420462369918823
