,sta0_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta2_datasz,sta6_datasz,sta10_datasz,sta8_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta0,consumption_sta6,consumption_sta5,consumption_sta1,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3,host_consumption_sta7,training_time_sta7,host_consumption_sta9,training_time_sta9,host_consumption_sta10,training_time_sta10
0,747441792.0,683362368.0,1047892992.0,436739904.0,1134796608.0,1127121216.0,996387072.0,748451712.0,352007616.0,1025018304.0,1101267264.0,2.7342348576152617e-08,66435072.0,0.7270309925079346,86459130.0,0.9452869892120361,94354251.0,1.0648958683013916,102828961.0,1.1858751773834229,111857197.0,1.3954975605010986,892.680703905323,756.8969453527918,661.2315684269365,856.8846488408013,767.904547125625,1050.1047410949268,754.1409474779624,817.013777038954,1082.8471294942744,831.3980845388264,888.3272170969694,0.4888433969092809,,,,,,,,,,,,
1,,,,,,,,,,,,6.10923776008798e-08,32503091.0,0.5906796455383301,70328372.0,1.2812278270721436,,,,,,,1437.3634413949437,1065.015473046176,966.3156170805698,1343.2347973384703,1052.04200033584,1314.5801367275112,1292.5592132534216,1335.833933211129,1322.35908792235,1175.7288838022337,1259.3508781347412,0.4240384806286205,59659943.0,1.0504896640777588,73177730.0,1.3301076889038086,89661575.0,2.0974225997924805,,,,,,
2,,,,,,,,,,,,5.705927538817216e-08,56868568.0,0.5700333118438721,69023200.0,0.7143564224243164,74225823.0,0.7825725078582764,89017838.0,0.9780035018920898,,,1682.8800724292394,1385.0218965670476,1300.670646802744,1632.9486443065234,1385.6863244364852,1539.2965343202277,1496.003972952667,1524.2647383901244,1466.6770963709841,1349.700006233263,1421.994065624817,0.4515992064367641,,,,,91584116.0,1.0256421566009521,,,,,,
3,,,,,,,,,,,,4.326060765714266e-08,38133814.0,0.4994852542877197,,,53524888.0,0.75893235206604,,,89317399.0,1.8551545143127441,2063.428021295107,1654.4503105103565,1539.4701737547346,2039.8072154052186,1647.3376197743587,1712.5935796490432,1927.4427420079512,1805.6758836541603,1677.9760700820823,1622.9310793334682,1657.258022882786,0.6203248609196056,,,77110459.0,1.370255708694458,85333034.0,1.6617546081542969,,,,,,
4,,,,,,,,,,,,7.855572085476499e-08,51025199.0,0.5289831161499023,71043214.0,0.7744145393371582,75369924.0,0.8357701301574707,105135840.0,1.5312461853027344,,,2451.134415861027,1980.684524323361,1970.147056448423,2448.3729779374753,2025.4192923688713,2083.6472082035157,2252.2498187174874,2086.9283633445384,1946.597113350791,1872.2514182318325,2011.4895405138368,0.7218653776428916,,,94799562.0,1.1760447025299072,111540913.0,1.7117035388946533,,,,,,
5,,,,,,,,,,,,8.079144244774585e-08,50827995.0,0.5140106678009033,74502800.0,0.7782516479492188,111321676.0,1.2506587505340576,,,108386380.0,1.1753640174865723,2758.045668909009,2325.6696508744963,2363.2519161272303,2768.9692547185623,2416.493536974013,2477.926171533387,2459.7889445421865,2296.196456123337,2164.0684813776033,2077.9279695069813,2196.798787948442,0.7875484268773686,,,116038583.0,1.3842580318450928,105602268.0,1.142975091934204,,,,,,
6,,,,,,,,,,,,5.174037509193902e-08,51034659.0,0.5671498775482178,101506271.0,1.3473219871520996,66823499.0,0.7742021083831787,84864468.0,0.990490198135376,,,3211.8113513156295,2528.72433151358,2610.916201869813,3169.478511721059,2649.9737459965245,2641.1731766199996,2772.276424059423,2681.754519978471,2395.2580155900505,2451.8836422714617,2365.144198382515,0.8193116350607439,,,,,113901014.0,1.8283519744873047,95626586.0,1.2219202518463135,,,,
7,,,,,,,,,,,,5.9252259804524466e-08,44914985.0,0.5644755363464355,86851646.0,1.3002707958221436,87757954.0,1.3341236114501953,78997173.0,1.0668489933013916,,,3598.788977387544,2868.954410044858,3010.1975638899653,3482.835246031732,3017.2372730049865,2990.4974748045565,3075.7413886434733,2980.336529103813,2602.1497438638294,2719.2911449065514,2688.095381213845,0.7547198642383922,43265819.0,0.51564621925354,,,77832320.0,1.0542936325073242,,,,,,
8,,,,,,,,,,,,8.745233887736963e-08,45688238.0,0.5063521862030029,94996521.0,1.406153917312622,67934580.0,0.8123760223388672,93806095.0,1.4055800437927246,,,3871.1756362813862,3188.754930067508,3420.6898630049113,3687.1558561610314,3429.46343879458,3282.62732382893,3293.9027968788987,3170.676245008856,2824.23260050304,2945.3907458591593,2847.968752515298,0.7604856396263296,48749448.0,0.515937328338623,,,,,81738804.0,1.045405387878418,,,,
9,,,,,,,,,,,,6.107542285474147e-08,28205433.0,0.47745609283447266,,,,,,,81668004.0,1.8771564960479736,4334.96251273575,3596.2435029508583,3823.681678194026,3996.647424056713,3805.48357575835,3461.0384284970396,3666.5057700817356,3512.2432540158775,2995.5303633635003,3216.720344378304,3238.125483130319,0.8048773909156973,,,69165534.0,1.4650416374206543,77831771.0,1.733867883682251,81421972.0,1.8961310386657715,,,,
