[2026-07-10 12:18:57] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7999999999999999 | freq: [4582013.333333333, 4031865.6666666665]
[2026-07-10 12:18:57] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.69 | freq: [4597729.333333333, 4400763.0]
[2026-07-10 12:18:57] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.87 | freq: [3470970.6666666665, 4606024.0]
[2026-07-10 12:18:57] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.05 | freq: [4849594.666666667, 4297637.0]
[2026-07-10 12:18:58] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.23 | freq: [3532914.6666666665, 4007669.3333333335]
[2026-07-10 12:18:58] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.2266666666666666 | freq: [3490061.0, 3317770.0]
[2026-07-10 12:18:58] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.0466666666666666 | freq: [3599965.0, 3251922.6666666665]
[2026-07-10 12:18:59] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.8666666666666666 | freq: [4601329.0, 4350826.666666667]
[2026-07-10 12:18:59] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6966666666666667 | freq: [3913294.0, 3626706.3333333335]
[2026-07-10 12:18:59] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6966666666666667 | freq: [4334521.0, 3663195.0]
[2026-07-10 12:19:00] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [3674935.3333333335, 3240827.3333333335]
[2026-07-10 12:19:00] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [3651131.0, 3213770.6666666665]
[2026-07-10 12:19:01] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7033333333333333 | freq: [4266633.666666667, 3596787.0]
[2026-07-10 12:19:01] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2766629.3333333335, 3745529.3333333335]
[2026-07-10 12:19:01] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.69 | freq: [4549594.666666667, 3969751.6666666665]
[2026-07-10 12:19:02] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.69 | freq: [2799581.3333333335, 3214841.3333333335]
[2026-07-10 12:19:02] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2856727.6666666665, 2758343.6666666665]
[2026-07-10 12:19:02] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [2733313.6666666665, 2376619.3333333335]
[2026-07-10 12:19:03] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [4172216.6666666665, 3819901.0]
[2026-07-10 12:19:03] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6966666666666667 | freq: [3547305.3333333335, 3769605.6666666665]
[2026-07-10 12:19:03] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6966666666666667 | freq: [4163757.6666666665, 3854661.0]
[2026-07-10 12:19:04] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [2805178.0, 2883347.0]
[2026-07-10 12:19:04] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [2731008.0, 2303450.3333333335]
[2026-07-10 12:19:04] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [3918121.3333333335, 3042240.0]
[2026-07-10 12:19:05] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [1942443.6666666667, 2994703.6666666665]
[2026-07-10 12:19:05] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [4220927.0, 3636306.6666666665]
[2026-07-10 12:19:05] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2066217.3333333333, 2527424.3333333335]
[2026-07-10 12:19:06] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2266666.6666666665, 2291989.3333333335]
[2026-07-10 12:19:06] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [1866698.6666666667, 2093387.3333333333]
[2026-07-10 12:19:06] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3611100.0, 3609720.3333333335]
[2026-07-10 12:19:07] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3189027.6666666665, 3357724.6666666665]
[2026-07-10 12:19:07] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3905762.3333333335, 3509390.6666666665]
[2026-07-10 12:19:07] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1996909.3333333333, 1985033.0]
