,sta0_datasz,sta2_datasz,sta4_datasz,sta1_datasz,sta5_datasz,sta3_datasz,sta7_datasz,sta8_datasz,sta6_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
0,747441792.0,1127121216.0,436739904.0,683362368.0,1134796608.0,1047892992.0,1025018304.0,352007616.0,996387072.0,748451712.0,1101267264.0,1.766874906146573e-08,75075797.0,0.7719755172729492,105772312.0,1.1008169651031494,128246864.0,1.3965470790863037,126779766.0,1.3684422969818115,132760036.0,1.4999053478240967,97928704.0,0.9913451671600342,853.1752658137406,864.6872244766784,768.9268173389212,906.0138989962599,831.4509783949546,813.0999782147401,1060.4998019204832,795.5109147746834,861.5359248757508,868.6365037469577,871.5614846527286,0.5515378302132542,,,,,,,,,,
1,,,,,,,,,,,,6.945842644928013e-08,21542669.0,0.5606119632720947,53034288.0,1.5606212615966797,,,63984212.0,2.067747116088867,,,51534047.0,1.5108637809753418,1384.7619776076363,1131.728950562994,1266.0807504978932,1213.9992083810248,1087.8319555521266,1126.9861095754286,1335.4729826671153,1312.1405171957106,1202.3857878161834,1347.931458055731,1151.9601271233569,0.33885647424242715,72294676.0,2.428831100463867,,,,,,,,
2,,,,,,,,,,,,3.449987881448439e-08,36059784.0,0.44198060035705566,54469526.0,0.7303104400634766,,,,,,,,,1652.4852615647214,1442.8345935855618,1475.9427234650123,1586.207695790752,1427.0201334079231,1421.942730740807,1581.318127171451,1493.9492929124303,1378.6674809569126,1493.8136912905584,1434.2077624209599,0.41687555746598676,69858464.0,0.9931647777557373,68593880.0,1.0224335193634033,93458989.0,1.8993849754333496,,,,
3,,,,,,,,,,,,2.8932503477204984e-08,29682541.0,0.5709488391876221,64407733.0,1.5913710594177246,,,75618520.0,2.037398338317871,,,62348656.0,1.5272216796875,2156.5040685940985,1809.825433225082,1845.2981872124753,1975.2376107264654,1817.5672578761685,1776.1982314180127,1749.0927098367006,1795.5266019523538,1780.2898131308305,1712.7539875350067,1704.8499867336166,0.5379636775363575,75779225.0,2.0127737522125244,26115046.0,0.48013782501220703,,,,,,
4,,,,,,,,,,,,5.6221977047825176e-08,36926969.0,0.4605410099029541,,,,,73536677.0,0.9753727912902832,,,83618622.0,1.3368117809295654,2560.5532821650454,2071.5927960646777,2169.215726612741,2246.5230836468504,2064.7736386930087,2034.0411611174281,2012.1129837213575,2034.2105424122542,2032.553891251282,1932.8360067971087,1859.4850729329767,0.5583480982617899,73737727.0,0.9854834079742432,55164653.0,0.6882085800170898,,,,,,
5,,,,,,,,,,,,5.0289310240361885e-08,43221080.0,0.5054013729095459,66651502.0,0.8282017707824707,,,81034888.0,1.0563910007476807,,,92601509.0,1.3431377410888672,3028.850211787805,2451.6191726914853,2366.8060446059917,2584.8383449282137,2388.301456709629,2246.2857010843613,2243.306010250499,2234.9550638955807,2204.3186851674573,2161.439354552196,2097.79043902361,0.6827216473492709,106486666.0,1.8556241989135742,,,94576601.0,1.44354248046875,,,,
6,,,,,,,,,,,,3.4881303693247565e-08,46618777.0,0.6142361164093018,58068760.0,0.8150923252105713,80601417.0,1.41933012008667,,,,,75670827.0,1.272336483001709,3344.389004876267,2815.1730193494477,2724.3845250073437,2954.143253686577,2778.282029157614,2640.6519419280166,2410.6812811671584,2582.892625166822,2455.8628849371516,2313.084424510909,2465.0389975351577,0.7604368756609884,87991535.0,1.7144460678100586,38028040.0,0.4748721122741699,,,,,,
7,,,,,,,,,,,,6.110289430985909e-08,50186272.0,0.5043790340423584,74923209.0,0.8107597827911377,,,,,95529114.0,1.1495494842529297,69328557.0,0.731395959854126,3788.9239111809607,3090.0040170507086,3176.2178496776173,3234.5562667662484,3046.1579590767797,2939.492525437199,2669.6642515908393,2851.155897852329,2790.4658515303922,2523.3755785769913,2636.6060575173165,0.8032979342070493,115961007.0,1.8185021877288818,,,104170876.0,1.433190107345581,,,,
8,,,,,,,,,,,,7.966107348993854e-08,,,,,96427732.0,1.1377739906311035,90468762.0,1.0263855457305908,96900265.0,1.1342287063598633,102131514.0,1.3034875392913818,4093.3113297804957,3422.5940195798967,3397.49811240809,3656.9738895950454,3469.658344461315,3157.101884874488,3076.8577553961345,3034.371315038294,2965.8401125975483,2768.289514771009,2984.6523641059875,0.7504217258908532,114289869.0,1.755300521850586,,,,,,,,
9,,,,,,,,,,,,1.0324315670199306e-07,50687431.0,0.6393115520477295,60702359.0,0.7999870777130127,,,,,101269150.0,1.8817591667175293,84561307.0,1.2616267204284668,4628.78849562778,3722.7054617308017,3865.9981688203056,4048.884852802904,3812.976260909432,3591.7304644730316,3504.9176509409385,3502.132831088798,3327.1914827524047,3116.2580110288445,3296.610928175936,0.8020405484871431,77594100.0,1.0666062831878662,,,92462349.0,1.568436861038208,,,,
