,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta2,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10
10,,,,,,,,,,,,6.417691009064295e-08,65587112.0,0.7026035785675049,47650269.0,0.4923999309539795,65856032.0,0.7270572185516357,74005487.0,0.8488335609436035,,,4763.7657352882325,4268.925852665579,4224.963140836745,4369.973595042106,3903.825707503418,3365.4708825170414,3513.102413547344,3641.7680953308995,3717.100082813742,3413.690063391906,4376.384033024927,0.8127441189505837,83074617.0,1.024557113647461,,,107578948.0,2.002683162689209,,,,,,
11,,,,,,,,,,,,6.133478671164396e-08,49009884.0,0.5084214210510254,,,71016664.0,0.7857909202575684,105556370.0,1.3722412586212158,,,5144.411530109543,4510.92362975023,4643.4319127536755,4603.843685851154,4190.114825185949,3753.9444075808788,3884.250034370731,3895.1300679397573,4065.4967952309617,3710.5359421658804,4708.051390280393,0.827073560519652,115548105.0,1.8102924823760986,,,92388619.0,1.0618669986724854,,,98515678.0,1.1693356037139893,,
12,,,,,,,,,,,,8.018982538776813e-08,42159133.0,0.6866664886474609,,,,,45181219.0,0.75907301902771,67264415.0,1.3333806991577148,5355.4580948378225,4875.782526631596,5012.52935754111,4981.6741026179625,4396.057308402853,3993.5194746440657,4213.863467401567,4081.384473422573,4323.004255771809,3956.6416732734892,5033.610636747386,0.8267745240168138,,,,,,,75131521.0,1.6183171272277832,82619174.0,1.9037621021270752,,
13,,,,,,,,,,,,6.754865438772132e-08,65178422.0,0.7254798412322998,,,63067405.0,0.747605562210083,98095879.0,1.2644305229187012,,,5709.707492442993,5207.360645974641,5432.240710840416,5322.074704489628,4751.640058164369,4186.7942810813465,4373.216656844403,4380.879888489355,4498.934783420351,4234.510917675124,5307.067348556317,0.8713661161336032,90399426.0,1.083643913269043,,,89412857.0,1.05507230758667,,,110646934.0,1.8104124069213867,,
14,,,,,,,,,,,,7.572847288785659e-08,,,,,67187572.0,0.7361359596252441,105084753.0,1.220592737197876,102848796.0,1.160623550415039,6043.537923073103,5420.453102473318,5711.679666976058,5586.138910347103,4931.95811585649,4440.1064592880275,4705.928445916875,4658.12147107975,4857.364942560598,4473.552710037234,5673.792232657838,0.8417232009497556,99365102.0,1.0886194705963135,,,,,94220767.0,0.9966442584991455,,,,
15,,,,,,,,,,,,1.0372800315269099e-07,51954578.0,0.5171041488647461,,,70302493.0,0.7637448310852051,73865228.0,0.8134191036224365,,,6300.1236458497115,5771.820959848874,6112.737807250838,5955.651441267053,5224.16195873666,4617.735548641414,4920.960480257608,4852.70092483596,5034.575266123501,4750.350623827331,5967.793912421499,0.8830983963879672,112554033.0,1.7447516918182373,,,113202164.0,1.8451309204101562,,,93038275.0,1.1352598667144775,,
16,,,,,,,,,,,,7.783230496815075e-08,,,,,,,74640556.0,1.286707878112793,68220711.0,1.1269428730010986,6702.656541329723,5975.1911221745895,6392.156678825429,6203.983424363275,5430.659260544093,4862.91614769766,5340.385074174914,5217.573394975223,5324.381773832029,4911.061850462568,6437.3981772926845,0.8654969849369742,86870444.0,1.6662476062774658,,,,,84618619.0,1.6101205348968506,92622261.0,1.9044780731201172,,
17,,,,,,,,,,,,1.0186979892586841e-07,,,43346081.0,0.5744290351867676,89802505.0,1.2807846069335938,89265153.0,1.2584493160247803,84741116.0,1.1396045684814453,6939.521542568121,6301.534450738237,6752.284621052325,6556.499911515295,5722.931666216007,5136.439064120884,5484.975064812847,5423.005991534103,5496.042745534853,5155.824644471804,6723.756295840586,0.8998873775655573,,,,,,,,,84167509.0,1.1179356575012207,,
18,,,,,,,,,,,,9.332059106942065e-08,,,,,65203812.0,0.751976728439331,71388245.0,0.8313610553741455,,,7355.410313902273,6514.87123399556,6997.62772255968,6789.359389336815,6036.336658222257,5311.034356254833,5708.728205818488,5820.60307008302,5759.507565117576,5374.790511927927,7118.144324725923,0.9201707894151862,116241768.0,1.787567377090454,,,114501050.0,1.7969303131103516,105879368.0,1.4791250228881836,95246826.0,1.1840379238128662,,
19,,,,,,,,,,,,5.5479530920101576e-08,29597764.0,0.667698860168457,26548455.0,0.5856966972351074,,,52921434.0,1.351222276687622,54699750.0,1.4026055335998535,7701.400060101058,6857.506249490768,7375.329791383816,7146.397074363298,6338.29488531169,5711.388089088638,6076.411214597542,6179.350168771749,6051.143782501129,5532.691917267653,7458.748138818798,0.8747310719706796,,,,,,,,,63454122.0,1.8779337406158447,,
