,T,freq_sta1,tgt_acc_sta1,n_epochssta1,time_sta1,freq_sta2,tgt_acc_sta2,n_epochssta2,time_sta2,freq_sta5,tgt_acc_sta5,n_epochssta5,time_sta5,round_time,consumption_sta1,consumption_sta2,consumption_sta0,consumption_sta3,consumption_sta5,consumption_sta4,mean_acc,freq_sta3,tgt_acc_sta3,n_epochssta3,time_sta3,freq_sta0,tgt_acc_sta0,n_epochssta0,time_sta0,freq_sta4,tgt_acc_sta4,n_epochssta4,time_sta4
0,12.285319012430355,1.3445165129506975,0.9161497401677001,4.0,11.09027099609375,1.3160815119193796,0.8931024407610533,4.0,12.791288614273071,1.3946430294841083,0.7170753932897638,2.0,7.065560579299927,12.791288614273071,0.053413713641811134,0.10684776253891637,0.0,0.026696130462527723,0.02670110737836673,0.0,0.4895959565571199,,,,,,,,,,,,
1,185.45615799756604,,,,,1.3334926390785782,0.7496280344019886,2.0,10.203229188919067,1.8140594687315008,0.732865294111377,2.0,6.652453660964966,11.235957384109497,0.08965876370116121,0.16026146187467738,0.0,0.10681777069987186,0.05340757793592221,0.0,0.63140536348025,1.3317871602586067,0.8745807965269687,3.0,11.235957384109497,,,,,,,,
2,18.27812445774713,,,,,1.3087771596654723,0.9316804849510786,4.0,11.656381368637085,,,,,11.656381368637085,0.11636659810215044,0.2155828395971553,0.06486236064067263,0.13353573855294387,0.08012875988156143,0.0,0.5524540143766595,1.309004759813532,0.8160413297321324,3.0,9.431442260742188,1.4012385241704441,0.9276385903616088,4.0,10.691919803619385,,,,
3,16.949564076854053,1.3197613516803206,0.9492045130639247,5.0,16.288897275924683,,,,,,,,,16.288897275924683,0.2575379794309678,0.24230762507783288,0.09157060037974496,0.1602492810678826,0.10683716970367296,0.0,0.6968670090039571,1.3566744177666412,0.931149696464195,4.0,9.939442873001099,1.7785913945211596,0.8723969341159733,3.0,5.113179683685303,,,,
4,30.2641329826942,,,,,1.3087548436251513,0.7446372657208362,2.0,9.774009943008423,,,,,10.759246110916138,0.2575379794309678,0.32244823513747756,0.19839801176775573,0.1602492810678826,0.10683716970367296,0.08014214875479908,0.7735045750935873,,,,,1.344916119751425,0.9428629620758187,5.0,10.759246110916138,1.3565470473547185,0.8136115571543641,3.0,8.15732192993164
5,134.55829312172196,,,,,1.3811052216667294,0.7426271820715475,2.0,7.201058864593506,,,,,7.201058864593506,0.2575379794309678,0.3758844553750609,0.2251049830370615,0.1602492810678826,0.10683716970367296,0.08014214875479908,0.6194998472929001,,,,,1.7283346240221744,0.7491623600408609,2.0,5.5541839599609375,,,,
6,149.10999645994218,,,,,,,,,,,,,9.777541160583496,0.28617493698762275,0.4045123587916275,0.2518172364179394,0.21558106246783248,0.10683716970367296,0.10684616820912218,0.7216774225234985,1.331462353332855,0.8437512187711694,3.0,9.777541160583496,1.419244870545895,0.8399562306001889,3.0,6.516519069671631,1.4746923401572805,0.8402206675610653,3.0,7.766207933425903
7,56.576344257531915,1.3015553248755454,0.9112137755190872,4.0,8.845117568969727,1.4482566972957012,0.9183339712438836,4.0,7.5813329219818115,,,,,13.321948051452637,0.33959908291900676,0.48801624172821745,0.33385828759256153,0.21558106246783248,0.10683716970367296,0.10684616820912218,0.796842634677887,,,,,1.3624999235464363,0.9785574493121934,6.0,13.321948051452637,,,,
8,68.08727525940273,1.5836615936377687,0.9436100946160304,5.0,8.570100545883179,1.360050032794372,0.7429593060302896,2.0,7.092070817947388,,,,,10.31382966041565,0.4254437551373782,0.5719585431044236,0.360571569419478,0.24228879354734945,0.13354423634664503,0.10684616820912218,0.7354952196280161,1.3017476524389207,0.7403011256676194,2.0,10.31382966041565,,,,,,,,
9,27.76487625610312,,,,,1.3100552515738217,0.9202382619095181,4.0,7.4515540599823,,,,,8.568192481994629,0.4254437551373782,0.6253807656668626,0.3872826576520607,0.32240692085464007,0.13354423634664503,0.10684616820912218,0.7026453912258148,1.3895781874371116,0.8638010767679303,3.0,8.568192481994629,1.379048274635308,0.8726042999456424,3.0,6.101625919342041,,,,
10,22.763921833661705,1.3117252338626701,0.8677565305272619,3.0,6.922906875610352,,,,,1.314937698568884,0.8387375684637699,3.0,4.490801095962524,6.922906875610352,0.45215068984677864,0.6253807656668626,0.3872826576520607,0.34911397954980616,0.16025312939533354,0.1602670555402277,0.8837540050347646,,,,,,,,,1.371697036377668,0.8142356876293688,3.0,6.047390460968018
11,47.35249499020941,,,,,1.3034514692327168,0.9668812868046028,5.0,13.334876775741577,,,,,13.334876775741577,0.4807664219939183,0.7608255321439077,0.4139995144019162,0.4330495554929503,0.16025312939533354,0.18886928754485055,0.8439574837684631,1.4886919444233069,0.9678693354318714,5.0,11.969364166259766,1.316637138618157,0.9361072039752616,4.0,6.770683765411377,,,,
12,23.00383482148306,,,,,1.3489991666174737,0.8599713285409493,3.0,7.099223852157593,,,,,30.85591745376587,0.5074869601673078,0.814267021776574,0.4941202772015272,0.7268275603805958,0.1869601022541998,0.18886928754485055,0.6835233519474665,1.3478421425311857,0.9899194990618274,8.0,30.85591745376587,1.3555179060432452,0.9740342177998266,7.0,12.36085844039917,,,,
13,13.879109635969137,,,,,,,,,1.3048362811131393,0.736215707882753,3.0,5.192089557647705,5.192089557647705,0.5341940204520361,0.8409740852404233,0.4941202772015272,0.7268275603805958,0.21367191691621112,0.18886928754485055,0.772602324684461,,,,,1.7923186355509397,0.7463371214071088,2.0,4.452337741851807,,,,
