,sta0_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta1_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,host_consumption_sta10,training_time_sta10,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta9,training_time_sta9
0,747441792.0,1127121216.0,1047892992.0,436739904.0,1134796608.0,996387072.0,1025018304.0,352007616.0,748451712.0,683362368.0,1101267264.0,3.9507975416723125e-08,107844572.0,1.0487792491912842,103339518.0,0.9715211391448975,140963018.0,1.3654046058654785,141796146.0,1.3483903408050537,168255063.0,1.5742762088775635,174892375.0,1.631225347518921,174082196.0,1.6024837493896484,189463932.0,1.8159477710723877,192400081.0,1.8554725646972656,194315055.0,1.8871231079101562,799.6591698270233,715.7923225930928,768.9586092687001,714.0912634079913,759.6464648829493,756.8277153167105,803.058009878851,775.9537224609586,1060.8157397419104,791.405127207062,828.9403975590676,0.8508825396949594,,
1,,,,,,,,,,,,8.677727457891708e-08,61293484.0,0.6840600967407227,67533091.0,0.7149097919464111,120324399.0,1.5704827308654785,76744677.0,0.8724813461303711,121229182.0,1.5992896556854248,103327677.0,1.200080394744873,106390658.0,1.2848875522613525,134552085.0,2.012568712234497,,,132120328.0,1.9423203468322754,1110.5206077088885,1265.9546231172806,1068.4933230190923,1254.004472524009,1063.0538930888724,1281.0846345525383,1302.4523994961241,1279.4399978929862,1307.1301207069025,1273.975232565095,1290.3089113974706,0.34398992495103314,,
2,,,,,,,,,,,,4.103121040952097e-08,50688407.0,0.5990383625030518,67700205.0,0.7646698951721191,128625037.0,1.6125776767730713,124005420.0,1.525052547454834,133553308.0,1.6951754093170166,110532249.0,1.290266990661621,,,148244249.0,2.036850929260254,135331319.0,1.7212355136871338,146232231.0,2.005012035369873,1465.8530781295583,1526.4184452233853,1490.4715408360544,1561.5991265358964,1443.072107811661,1490.8267092299195,1505.8201775380505,1558.2011831297514,1557.0563722727572,1440.8110207413674,1575.3985769940543,0.3648788427764719,147666492.0,2.171765089035034
3,,,,,,,,,,,,4.1725182014926246e-08,83485931.0,0.7352609634399414,93979984.0,0.7756295204162598,169203180.0,1.4979057312011719,115974251.0,1.0268495082855225,153007238.0,1.2868852615356445,184617020.0,2.008467674255371,161847975.0,1.3589446544647217,167989438.0,1.4558403491973877,169476068.0,1.482884407043457,168688533.0,1.4497556686401367,1811.9897448146223,1963.7986502159733,1853.4826451976896,1976.8518998862744,1806.2807139436484,1809.746584866017,1829.30907312635,1754.4006903489499,1794.6844511452232,1782.0651092643554,1836.0663314504473,0.44951337575912476,,
4,,,,,,,,,,,,3.488086539812256e-08,50417107.0,0.5838160514831543,54400618.0,0.5853524208068848,124270312.0,1.5392606258392334,120418515.0,1.4715473651885986,128878211.0,1.5937378406524658,138795971.0,1.9137451648712158,,,142181154.0,1.9926707744598389,131761016.0,1.6742095947265625,118516237.0,1.4080467224121094,2111.943860326314,2377.652459418294,2123.954480947882,2276.764217518557,2022.746088352551,2176.9643776389958,2193.2119619765913,2127.890069528314,1953.0368484978703,2010.1043286212084,2064.945147436306,0.4283267991109328,,
5,,,,,,,,,,,,4.1610248960972226e-08,77723800.0,0.708920955657959,84875393.0,0.7337887287139893,112624651.0,1.0389399528503418,106077121.0,0.9738855361938477,165518192.0,1.6884136199951172,174609416.0,2.0177829265594482,146252067.0,1.334620475769043,149650373.0,1.3843276500701904,166779785.0,1.6830418109893799,155891202.0,1.4528110027313232,2330.461240220816,2847.602745307814,2517.2759870853415,2672.870021343963,2401.4498420293367,2385.251492330073,2421.042672340657,2409.948496796281,2216.4581735558545,2164.7131376950156,2320.1145797128634,0.7122209451415322,,
6,,,,,,,,,,,,7.917438145573404e-08,82625154.0,0.7857990264892578,76850389.0,0.7036283016204834,111009359.0,1.062474012374878,108241483.0,1.030013084411621,170346976.0,1.6899769306182861,161332106.0,1.4788246154785156,148814255.0,1.3254969120025635,157867271.0,1.4623267650604248,158956746.0,1.481410264968872,165825930.0,1.542433500289917,2771.187430265958,3255.3071194771856,2976.2460370796866,3062.6663487439396,2846.6281339180355,2862.963757715101,2888.342151101041,2707.1963015867177,2550.8845767655444,2468.5587280742225,2683.3247122703783,0.8252705850384452,,
7,,,,,,,,,,,,5.0683254154471175e-08,,,49295284.0,0.5233590602874756,71734069.0,0.8317859172821045,105964023.0,1.2997779846191406,,,,,90659314.0,1.0226964950561523,119347656.0,1.6889185905456543,101437668.0,1.2028007507324219,,,3196.952081691185,3555.0833245545696,3394.3515948477275,3401.703295715872,3235.0207927502315,3107.949533923631,3181.50562390439,2977.231709861383,2914.6441180424026,2861.6719241238807,2919.262754708921,0.7598082775419409,107838836.0,1.3871269226074219
8,,,,,,,,,,,,1.3557032509852685e-07,,,76867662.0,0.6557137966156006,168160946.0,1.5780713558197021,105222386.0,0.9654490947723389,174053387.0,1.6444790363311768,153908236.0,1.3522374629974365,145074214.0,1.2475440502166748,187309701.0,1.9990010261535645,177849460.0,1.7280070781707764,163155588.0,1.472715139389038,3465.36407770151,3904.0765593671886,3664.208466990938,3803.633120438054,3555.28038316345,3416.9982056566237,3460.3971973711596,3276.022386273703,3096.6834174946293,3109.1578186083666,3166.5254716659133,0.8531945158134807,173302230.0,1.644712209701538
9,,,,,,,,,,,,1.186066017726149e-07,69549870.0,0.6501586437225342,73542353.0,0.6488864421844482,154230745.0,1.533151626586914,98554191.0,0.9320454597473145,138088147.0,1.271695613861084,135641132.0,1.2410874366760254,,,170815969.0,1.9828426837921143,,,148192553.0,1.406902551651001,3825.7169079512164,4253.126553528562,4084.4839292965817,4208.17215095591,3957.883309194928,3623.9842587788,3873.392916757094,3571.4972529966362,3382.6365434804416,3283.2366125214903,3497.2387403109465,0.8463646363128315,154224458.0,1.547135591506958
