,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta3,training_time_sta3,host_consumption_sta7,training_time_sta7,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta3,consumption_sta0,consumption_sta5,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta6,training_time_sta6,host_consumption_sta10,training_time_sta10
0,747441792.0,683362368.0,1127121216.0,1047892992.0,436739904.0,1134796608.0,996387072.0,352007616.0,1025018304.0,748451712.0,1101267264.0,4.452843304033201e-08,98788138,0.9096391201019287,102403669,0.9070634841918945,129592685,1.1853625774383545,137546889,1.2342071533203125,169481561,1.540461778640747,167425902,1.4999592304229736,175423501.0,1.6048367023468018,174448100,1.5915281772613525,863.1166247859722,860.2081954174196,847.9478932058771,794.0863306917886,844.4080215357703,920.0213406126393,810.9677577773639,1043.5129493150146,810.7629090887627,894.8144483089089,790.4585911373227,0.7182672233744101,,,,
1,,,,,,,,,,,,1.2124167649900377e-07,44266977,0.5521187782287598,44659126,0.5319132804870605,95209718,1.4579555988311768,96578855,1.4726357460021973,112081134,1.8574986457824707,115631662,2.0022151470184326,101963789.0,1.5720617771148682,118068668,2.0512983798980713,1383.330756678291,1196.5518068721929,1148.7943485191172,1312.394643212117,1096.0639353518604,1345.2142509030066,1316.378218452983,1308.8528882628514,1330.3173254627093,1381.0746825987317,1258.5884090186337,0.26596142758022656,,,,
2,,,,,,,,,,,,8.375611595324257e-08,70940919,0.6480996608734131,76346179,0.6595938205718994,165999880,1.4814023971557617,108979152,0.9911997318267822,174615275,1.5311427116394043,161217849,1.3727495670318604,186512889.0,1.698801040649414,170012077,1.4669990539550781,1674.1337843549923,1576.2262655317788,1517.7630032125564,1700.0052432334412,1446.675101427614,1535.7962996269866,1601.1831372789231,1550.5894385836414,1524.768543665757,1570.2559243345474,1469.184066861046,0.4271386590870944,179195037.0,1.5737450122833252,174625591.0,1.5644991397857666
3,,,,,,,,,,,,6.662946908485396e-08,85300197,0.7375402450561523,109929040,0.9061133861541748,121789666,1.0722360610961914,117745243,1.0286152362823486,195343250,1.974949836730957,162077161,1.4361119270324707,164246649.0,1.4793403148651123,197770124,2.0607924461364746,2142.38791953399,1936.2940896473428,1777.492819898288,1976.8184605364315,1823.4958626000462,1926.5475766450022,1828.0372082243734,1717.3451154600484,1906.724367722875,1917.57066755257,1616.874505050804,0.4509356346997348,188459540.0,1.8757867813110352,,
4,,,,,,,,,,,,4.086398951929108e-08,82697970,0.7122049331665039,88586321,0.737379789352417,131223419,1.1501846313476562,187046701,1.6868062019348145,174872111,1.4971108436584473,172818894,1.4673893451690674,,,212560368,2.2010512351989746,2621.196160872928,2155.861471262206,2194.7236332275525,2470.835600338539,2109.565601924891,2271.9069905225156,2156.512154135195,2118.1911692741064,2234.287950243506,2218.847860451745,1994.4646767732647,0.5601725659587167,167820249.0,1.416316032409668,,
