,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta1,training_time_sta1,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta0,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3
38,,,,,,,,,,,,195770861.0,3.778658390045166,,,466962122,10.138753175735474,,,484855387.0,10.593016624450684,550247493,12.801915168762207,15289.693156693344,16524.053390020737,17022.5799400494,15226.334280825331,16798.350495454193,13900.981508092778,15198.826148645407,13050.9144520017,15066.78651230059,15143.495640989795,13992.935263056836,0.9246741316535256,477561521.0,10.399446487426758,549293027.0,12.77448558807373,566381729.0,13.592789888381958
39,,,,,,,,,,,,,,,,417478424,10.014165878295898,,,454292416.0,11.02170991897583,511922030,13.015601873397827,15637.652524339108,16920.863343530913,17469.946523193204,15502.73408700124,17251.614522148247,14234.051941984264,15592.62466518713,13350.059425613901,15420.051205827955,15441.164853357515,14347.276657519713,0.9218629977919839,430161192.0,10.332143306732178,511972994.0,13.017513275146484,524313355.0,13.64773941040039
40,,,,,,,,,,,,,,,,406637875,8.694653272628784,446910171.0,9.699305772781372,,,547690798,13.31460452079773,16010.514287133426,17339.497820488476,17865.134219179254,15972.900702097351,17658.185358963638,14607.207935550212,15976.730272567042,13689.085810976263,15807.982119324006,15820.076928306755,14695.89687130382,0.9441547447984869,423017228.0,9.075476169586182,550096248.0,13.412888050079346,505543139.0,11.630894184112549
41,,,,,,,,,,,,,,,,359722285,9.854918718338013,,,,,459263107,13.192638158798218,16366.187720419837,17760.683518575523,18253.18528937072,16370.40490909154,18039.617989609313,14946.352593573678,16257.691804901939,14004.874228918261,16080.506944061133,16192.55725464408,15031.373063914269,0.9564994411035017,369136445.0,10.174635887145996,464267244.0,13.370351314544678,463971591.0,13.359622478485107
42,,,,,,,,,,,,,,,,426239571,10.047649383544922,,,459609541.0,10.975682735443115,517515521,12.970947980880737,16731.1020952417,18172.318568057966,18679.30166108899,16645.296920783283,18451.161178929597,15271.038181054044,16617.57663577516,14306.340492063457,16432.73973828115,16577.508922290053,15381.580327416066,0.9207726608623158,434736864.0,10.28878664970398,516669820.0,12.936776638031006,531221174.0,13.620088577270508
43,,,,,,,,,,,,,,,,469595416,9.00867247581482,515897606.0,10.024645328521729,734206921.0,20.683213710784912,609407070,13.16372036933899,17227.657491237987,18760.984799459904,19262.011913073842,17303.261782450238,19032.22941793975,15721.039638120943,17241.360816354212,14743.543420224574,16996.87962535106,17157.379380884835,15904.114342016144,0.9488018317656084,488753326.0,9.415406465530396,612839617.0,13.284132480621338,580760477.0,12.026165246963501
44,,,,,,,,,,,,,,,,357351075,9.814109563827515,,,,,457415394,13.175808906555176,17499.875008331386,19169.668996010936,19595.316456290806,17706.948602427827,19351.71300251219,16034.294750113653,17590.65675166573,15034.503813327261,17359.997712647888,17533.771137828728,16234.921683435457,0.9517405141483654,370217558.0,10.196118354797363,463619297.0,13.422661781311035,462270850.0,13.361573219299316
45,,,,,,,,,,,,174557537.0,3.687298059463501,,,405165406,9.890049457550049,,,,,622382013,20.619092226028442,18151.844432880484,19659.854478594894,20251.52752729173,18124.952744975875,19975.358461650016,16517.036459055336,17947.487870568904,15488.960995076646,17884.21217888724,18114.75730934321,16663.377310312037,0.9345359206199646,415701877.0,10.1981520652771,493354084.0,12.869665384292603,504396475.0,13.403591394424438
46,,,,,,,,,,,,,,,,380602480,10.349587440490723,,,570491521.0,20.573076248168945,446416154,12.967651844024658,18623.378276703115,20273.825846074593,20820.28974479379,18455.49226564101,20542.062322626596,16996.65137506115,18472.464523854625,15853.848134314474,18318.126416762316,18524.81239445899,17155.919288168443,0.9252681352875449,373649129.0,10.130024433135986,,,453970335.0,13.310152053833008
47,,,,,,,,,,,,,,,,465273711,8.92008900642395,512569672.0,9.947633028030396,557197731.0,11.216189861297607,611415488,13.217161417007446,18894.119640874993,20645.019034267796,21258.783943429433,18848.736936385387,20953.259109934494,17322.769453470955,18874.311925614064,16162.472507979839,18722.82096171833,18849.892701668683,17479.0073209062,0.9495324871756814,480680960.0,9.245939016342163,612543598.0,13.267205476760864,580315287.0,11.981709003448486
