,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta1_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta6,consumption_sta9,consumption_sta2,consumption_sta0,consumption_sta7,consumption_sta5,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3
10,,,,,,,,,,,,,,,,737887149.0,20.624401807785034,614410781.0,13.237421751022339,615440380,13.288452863693237,4650.288340524117,4506.126418609116,5195.51613222121,4462.607093449416,4916.839638720457,4654.074635728177,3940.0683481359897,4020.747745967034,4318.955058167011,4354.107464467536,3749.599616672275,0.9099202833392404,476916748.0,9.153740167617798,490143826.0,9.426600456237793,516399557.0,10.009387731552124,586147242.0,12.14605450630188
11,,,,,,,,,,,,,,,,,,460664226.0,13.376091241836548,455761163,13.198258638381958,5073.091040900928,4767.12804656681,5581.834268477227,4799.521983276473,5322.749621593257,5048.388401981292,4262.946408483848,4336.573164799311,4681.027326301649,4708.734665768646,4045.4738150403205,0.8756162144921043,363901901.0,9.989250421524048,371484096.0,10.21415638923645,,,462689184.0,13.479881286621094
12,,,,,,,,,,,,174014569.0,3.6973717212677,,,,,490057217.0,12.726604223251343,493264728,12.851678133010864,5452.366705130265,5170.105236759541,5976.991254579405,5152.981816833763,5729.355621326031,5330.300838801213,4578.039397179483,4608.63839851728,5073.670065013585,5051.854813578209,4353.8585552822415,0.877113323320042,408440666.0,10.018042802810669,415971530.0,10.222154140472412,,,508507914.0,13.559457778930664
13,,,,,,,,,,,,,,,,,,461165751.0,13.400248050689697,457503102,13.262290239334106,5883.3131276017175,5559.157261452247,6370.817732411548,5407.427983775062,6144.05952868251,5610.245976619121,4898.314277904577,4949.72504521645,5342.147155702319,5401.98430840511,4657.954736585206,0.8810298388654535,362702074.0,10.013903856277466,366980262.0,10.13230299949646,,,461136576.0,13.385297536849976
14,,,,,,,,,,,,,,,,454552059.0,11.059742212295532,511856233.0,13.020381450653076,513747159,13.093098640441895,6292.489979996529,5844.612087258569,6802.32064930422,5747.099155631042,6535.555569803349,5881.487678596986,5221.5038099032345,5282.8592348934535,5722.217837285438,5758.579892296593,4953.862102424506,0.8696471046317708,418456876.0,10.08376169204712,431337763.0,10.406389474868774,,,525773495.0,13.699818134307861
15,,,,,,,,,,,,,,,,461082315.0,11.16655969619751,515709434.0,13.036474227905273,518078935,13.131650447845459,6693.176605107206,6208.532513277782,7203.7806344401215,6160.620877976662,6933.964967154585,6211.530210294044,5547.45428593112,5637.107952507495,6104.24750385687,6105.391314279868,5254.753932676643,0.8662485019727186,423979689.0,10.130779027938843,432740042.0,10.374471664428711,,,529630908.0,13.71036410331726
16,,,,,,,,,,,,,,,,460404400.0,11.135026216506958,517267413.0,13.043162822723389,518199357,13.082046747207642,7301.233934613985,6712.701813338612,7706.061005756015,6772.212933083369,7494.825237165445,6588.080315986012,5950.955146893139,6157.114839345913,6666.385236706992,6556.296790992413,5633.147696213231,0.869496223601428,423925489.0,10.118796110153198,436567852.0,10.441660165786743,,,643493287.0,20.616650581359863
17,,,,,,,,,,,,,,,,,,555863018.0,13.474985837936401,552237356,13.316937923431396,7723.3948993587055,6968.740762708372,8131.399357060786,7114.914787841558,7923.389948743742,6979.892924118317,6294.152254550294,6480.363520135114,7031.394519842389,6950.226371371504,5977.4804904167595,0.9107619822025299,423156265.0,8.954251766204834,429794615.0,9.102127075195312,453011048.0,9.69411563873291,511385532.0,11.702855825424194
18,,,,,,,,,,,,217489311.0,3.8325915336608887,,,,,588539631.0,12.977880477905273,591365918,13.106207609176636,8098.395142277306,7344.805626330238,8596.583583311836,7387.330785887514,8392.494442588759,7510.723967137534,6662.35694563253,6852.751242514518,7424.970319499857,7367.615785381514,6339.5553605339255,0.9428641633553938,468877401.0,9.063783884048462,473798043.0,9.188887357711792,498793828.0,9.798015594482422,561307584.0,11.897923231124878
19,,,,,,,,,,,,196027208.0,3.7741241455078125,,,489913662.0,10.757284879684448,546012335.0,12.6576566696167,551250175,12.862925291061401,8488.789436556694,7840.929663719086,9029.96749656991,7762.575928602686,8820.458550502863,7922.061671006705,7012.2363091698335,7195.432486039779,7824.1940833548515,7760.310611857052,6661.69960929382,0.9237959059801969,470985122.0,10.245375871658325,477750852.0,10.420748233795166,,,569152168.0,13.698921918869019
