,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta1_datasz,sta6_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta2,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747441792.0,748451712.0,1127121216.0,436739904.0,1047892992.0,683362368.0,996387072.0,1134796608.0,352007616.0,1101267264.0,1025018304.0,208432206.0,4.03286600112915,214820068.0,4.1581711769104,356553042.0,7.6562275886535645,461563821.0,10.756087064743042,478653377.0,11.362956762313843,503016290,12.333902359008789,528655324,13.581608533859253,550.3948968835705,733.4021566966854,684.2738159038911,651.0185889313257,517.3442293341222,405.3708867141671,627.6777671135677,479.7636925012497,544.3899181239078,465.0726348279802,425.6174552967884,0.6594591265417297,,,,,,,,
1,,,,,,,,,,,,200074073.0,4.596385478973389,,,,,467224146.0,10.995818376541138,,,437735879,10.226693153381348,536503693,13.401535987854004,1012.4434769029165,1149.8336073981463,1169.696514173702,1132.6553106148342,1041.8509571697562,695.5578153125421,892.8418518827804,756.5565226287398,933.3520787034428,785.0225171864786,860.7967258535721,0.644261127168482,465747098.0,10.964494466781616,541480120.0,13.592273235321045,554145066.0,14.175631046295166,,
2,,,,,,,,,,,,,,,,,,,,,,474106452,10.380306720733643,558981174,13.527038097381592,1427.4869747578944,1434.5607344243285,1558.2332522868098,1538.457444640351,1380.5390243363913,1050.3183737517204,1303.154880654568,1119.9504020457543,1309.4399507248536,1172.7813346399512,1211.406464639582,0.6885066736828197,429916563.0,9.174544334411621,559708955.0,13.553229808807373,510219336.0,11.551079750061035,483668195.0,10.688100099563599
3,,,,,,,,,,,,,,,,,,,,,,411925704,8.697656393051147,556973306,13.57826828956604,2054.7966130143836,1772.6456702271842,2184.2817594167445,2140.777076294729,1761.8786183793816,1575.2673230001851,2075.8419430173917,1698.2178534775094,1772.0029381545985,1782.237756759604,1626.9797012280505,0.7404470277780836,430841183.0,9.125052690505981,557198524.0,13.57971715927124,673334519.0,20.642969369888306,453507323.0,9.71124529838562
4,,,,,,,,,,,,,,197842572.0,3.822627067565918,,,688830634.0,20.61807417869568,,,467828819,10.109210729598999,559839021,13.155303239822388,2687.958080598368,2420.4739193395326,2755.3102441906694,2728.8851275658126,2298.0984974002736,2022.9754413507474,2541.573990758538,2186.94216537843,2354.7385110354066,2247.085971817242,2154.974057348754,0.8088484331965446,479238702.0,10.407920837402344,545841193.0,12.59987998008728,571538087.0,13.725263595581055,,
5,,,,,,,,,,,,,,,,,,450741033.0,10.843805074691772,,,419089808,9.972746849060059,520658945,13.344074249267578,3322.8251786183528,2985.297582977525,3249.473120176717,3226.530471624921,2910.3495324376063,2418.3534355862507,2963.4440316327973,2593.8163873428343,2922.105711137814,2769.648503249687,2661.3631568799774,0.7608532688834451,431018428.0,10.288711071014404,511385104.0,12.981060981750488,640239022.0,20.62969398498535,,
6,,,,,,,,,,,,,,,,,,387113999.0,10.609193801879883,,,363307908,9.873554229736328,452517335,13.329074382781982,3637.6702600351714,3258.328435462868,3664.974102057595,3625.069483340939,3312.85603328952,2712.8409723792315,3232.5440541805297,2911.0623216569943,3251.8981342563475,3113.6148478788627,2985.210824292208,0.7477523989298127,370431364.0,10.086811065673828,,,450985601.0,13.257674932479858,,
7,,,,,,,,,,,,,,,,,,,,,,356164249,8.42149806022644,500117860,14.572027206420898,4192.054884875826,3516.852001570564,4070.4021469451295,4043.5948624699386,3650.7379073046177,3060.6754551351787,3634.516544388166,3277.7905962427863,3523.253168262693,3504.916092389097,3317.405772298928,0.8086947649717331,372179894.0,8.85824179649353,,,433671497.0,11.174943208694458,390151772.0,9.381364107131958
8,,,,,,,,,,,,,,171503894.0,3.6557586193084717,,,,,,,401788889,9.903007984161377,496398448,13.08358120918274,4617.742304909496,3915.719883551854,4507.352515467988,4461.836678955521,3934.930093504051,3381.2723154300957,4023.0193686366124,3620.8698653895267,3861.32050972284,3875.57706224861,3664.0812853263005,0.879112956198779,411990706.0,10.192357778549194,487521152.0,12.730955123901367,503221551.0,13.394084215164185,,
9,,,,,,,,,,,,,,197080977.0,3.7998313903808594,,,486040687.0,10.637932062149048,,,466723964,10.135578632354736,555115034,13.046494007110596,5132.312682418411,4718.811734525785,5151.776285805862,5130.002356759695,4485.752294372285,3841.9624566298867,4430.1757391850315,4103.593306803731,4449.3653493717375,4400.074044000382,4194.0848444463845,0.8861433430151506,477323546.0,10.398022651672363,685803847.0,20.646320343017578,567983531.0,13.645749568939209,,
10,,,,,,,,,,,,,,,,,,554751754.0,11.102771043777466,,,529153492,10.380499124526978,615781993,13.4113609790802,5526.918248799108,5119.278782908191,5572.8202836898045,5518.888898184861,4903.409585331808,4179.795651194293,4826.5709620601865,4468.717954804083,4833.5437450391,4771.585723915987,4540.893652576801,0.8939698257229545,486050087.0,9.347884893417358,611952413.0,13.224364995956421,580013286.0,11.92346453666687,517436725.0,10.047703981399536
11,,,,,,,,,,,,,,,,,,553353991.0,11.097059726715088,,,464517915,8.946910619735718,614634596,13.459083318710327,5918.421547603757,5417.1652866310205,5968.157795820605,5910.031208522816,5340.330743033933,4547.0659915824135,5365.6555161471615,4857.66516101875,5228.959151270726,5188.152658102435,4890.776331954574,0.9228961196812716,486917638.0,9.401684761047363,608144806.0,13.1429283618927,575591300.0,11.837332010269165,516275961.0,10.045998334884644
12,,,,,,,,,,,,,,,,,,,,,,356488529,9.840039253234863,459460006,13.384168863296509,6328.640267683294,5702.05788585408,6371.903772493937,6329.925547762808,5622.793353014476,4872.556019610434,5777.188989968669,5205.880765647435,5607.926016271891,5568.542373564816,5150.781834913148,0.8866790803996,368603061.0,10.211137056350708,459073531.0,13.372837781906128,461298868.0,13.445787191390991,,
