,sta0_datasz,sta10_datasz,sta12_datasz,sta11_datasz,sta13_datasz,sta14_datasz,sta18_datasz,sta19_datasz,sta15_datasz,sta16_datasz,sta5_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta7_datasz,sta9_datasz,sta8_datasz,sta1_datasz,sta2_datasz,sta17_datasz,round_time,host_consumption_sta18,training_time_sta18,host_consumption_sta16,training_time_sta16,host_consumption_sta8,training_time_sta8,host_consumption_sta1,training_time_sta1,host_consumption_sta14,training_time_sta14,host_consumption_sta12,training_time_sta12,host_consumption_sta19,training_time_sta19,host_consumption_sta11,training_time_sta11,host_consumption_sta10,training_time_sta10,host_consumption_sta13,training_time_sta13,host_consumption_sta15,training_time_sta15,host_consumption_sta0,training_time_sta0,host_consumption_sta4,training_time_sta4,host_consumption_sta17,training_time_sta17,host_consumption_sta9,training_time_sta9,host_consumption_sta2,training_time_sta2,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,consumption_sta16,consumption_sta8,consumption_sta12,consumption_sta9,consumption_sta10,consumption_sta15,consumption_sta18,consumption_sta19,consumption_sta13,consumption_sta4,consumption_sta14,consumption_sta11,consumption_sta1,consumption_sta17,consumption_sta7,consumption_sta0,consumption_sta5,consumption_sta6,consumption_sta3,consumption_sta2,mean_acc
0,747088320.0,748350720.0,737999040.0,763953984.0,811571712.0,710731200.0,338929152.0,761378688.0,786475200.0,380032896.0,1135301568.0,1047438528.0,436285440.0,995528640.0,1026684672.0,1102428672.0,352361088.0,684321792.0,1128383616.0,1076473728.0,0.4253535270690918,415110693,8.527059316635132,523749148,11.02952527999878,518873916,10.890537738800049,737647953,16.279769897460938,737785770,16.280097484588623,757091568,16.81236481666565,766121757,17.0838463306427,774051852,17.293213367462158,871126798,21.309316396713257,872218837,21.357855319976807,871455777,21.342912197113037,875090777,21.453768730163574,869953339,21.37238574028015,1097346129,41.84731650352478,1086241787,41.63259720802307,1096057496,41.903034687042236,1090398148,41.78963494300842,1093365427,41.870259284973145,1095915285,41.93869638442993,1093073435,41.896432399749756,,,,,,,,,,,,,,,,,,,,,0.9114743828773498
1,,,,,,,,,,,,,,,,,,,,,0.48651933670043945,491761986,10.400777578353882,488904876,10.349191427230835,490837733,10.384810447692871,830239391,20.636588096618652,700965613,15.712188243865967,830565012,20.652676343917847,731934222,16.616752862930298,829655957,20.623937129974365,724933752,16.394484519958496,761945925,17.661691904067993,832329290,20.721670627593994,830719187,20.64791178703308,828469742,20.653263330459595,1059258092,41.28891563415527,1049199340,41.179282903671265,1056817912,41.22901177406311,1051767571,41.181421995162964,901139539,24.702602863311768,1056045942,41.2253623008728,1053224416,41.20172333717346,,,,,,,,,,,,,,,,,,,,,0.5825409341603518
2,,,,,,,,,,,,,,,,,,,,,0.4519491195678711,489161589,10.377809047698975,430370481,8.965046167373657,489451262,10.371129035949707,842659586,21.038692235946655,703009980,15.837382555007935,832672551,20.641642808914185,734358533,16.755672216415405,831607857,20.60459876060486,725196203,16.4810848236084,766974416,17.83507800102234,834529479,20.725162744522095,770345745,17.96380090713501,502544063,10.662118196487427,1076791432,41.513574838638306,1067559829,41.34603309631348,1074775203,41.47275996208191,1069748727,41.379398345947266,1072146609,41.41883301734924,1073884824,41.45232343673706,1071337589,41.40493631362915,,,,,,,,,,,,,,,,,,,,,0.8857303470373153
3,,,,,,,,,,,,,,,,,,,,,0.4610867500305176,493290851,10.378257751464844,491610252,10.35398006439209,492318564,10.365772485733032,831520271,20.60960841178894,832539494,20.645108461380005,832119146,20.625421047210693,833488467,20.718509674072266,831367318,20.60426616668701,831171700,20.597097396850586,832808110,20.651376485824585,833271792,20.670015335083008,768717209,17.85221576690674,830010265,20.62801718711853,1062800685,41.24113440513611,1053665271,41.14654350280762,1060501740,41.1997172832489,1055864545,41.14668869972229,1058227698,41.17744565010071,1059724765,41.186269760131836,1056981608,41.15911650657654,,,,,,,,,,,,,,,,,,,,,0.9160845875740051
4,,,,,,,,,,,,,,,,,,,,,0.4716043472290039,493820391,10.374773025512695,430169004,8.877536535263062,493344318,10.36927056312561,836395076,20.61626172065735,837020257,20.627050161361694,836326717,20.611246347427368,838001212,20.712849617004395,835884884,20.59686040878296,729588220,16.3942551612854,837298576,20.63542127609253,753526758,17.171184062957764,771054240,17.828043937683105,504651663,10.625187158584595,1065954242,41.235687255859375,1056977458,41.15617299079895,1063802819,41.19677925109863,849711081,21.350991010665894,1061441558,41.17724299430847,1063126551,41.19254231452942,1060348237,41.16853976249695,,,,,,,,,,,,,,,,,,,,,0.9351695507764817
5,,,,,,,,,,,,,,,,,,,,,0.47438478469848633,387364303,7.937466382980347,487970004,10.352629899978638,488978179,10.373818635940552,831226327,20.639116048812866,831589485,20.627623319625854,830678538,20.609591484069824,727684905,16.515371561050415,830037609,20.595478057861328,829917309,20.591041326522827,831623360,20.631813526153564,745146774,17.099637269973755,830407359,20.613989114761353,499269717,10.59827709197998,1060341951,41.27792429924011,869296663,22.70153784751892,1057827126,41.23061513900757,1052534476,41.14338135719299,1055600203,41.22254729270935,1057100382,41.22456741333008,1054420396,41.199925899505615,,,,,,,,,,,,,,,,,,,,,0.9487465560436249
6,,,,,,,,,,,,,,,,,,,,,0.45998692512512207,491171167,10.39376449584961,489200835,10.359785079956055,490183864,10.368082046508789,827520342,20.611863374710083,828854995,20.663206577301025,716230467,16.21606159210205,726615084,16.525742530822754,731278035,16.66715693473816,827386310,20.60569143295288,829214552,20.67253279685974,829566968,20.685091495513916,827243671,20.59973382949829,500711182,10.605360746383667,1062621852,41.251439332962036,1053403919,41.14911198616028,1060161287,41.19961953163147,839122669,21.306854486465454,1057704323,41.17638421058655,1059445652,41.191359758377075,1056744121,41.163530588150024,,,,,,,,,,,,,,,,,,,,,0.9570199728012085
7,,,,,,,,,,,,,,,,,,,,,0.47150349617004395,489716642,10.382681608200073,488050997,10.357580184936523,488917267,10.374861478805542,826210531,20.628697395324707,693340266,15.67500376701355,826971821,20.64803433418274,828328813,20.728336572647095,826004355,20.620824098587036,825943625,20.61901092529297,756251177,17.65019202232361,827840105,20.681336879730225,825482872,20.600585460662842,824717372,20.634724855422974,1049867856,41.25527286529541,862172781,22.677244424819946,1047492252,41.20205354690552,1042446733,41.14363479614258,1045098094,41.18066716194153,1046698981,41.195014238357544,1044009168,41.1680965423584,,,,,,,,,,,,,,,,,,,,,0.9626818090677262
8,,,,,,,,,,,,,,,,,,,,,0.47230076789855957,492674520,10.385751008987427,491518578,10.368248462677002,492143942,10.364330768585205,697977705,15.524739742279053,832696355,20.67821955680847,832783878,20.66303038597107,832930852,20.735539197921753,831859504,20.63402819633484,831679512,20.625144243240356,833365176,20.6884548664093,832569890,20.689057111740112,831209359,20.607337474822998,503297479,10.604634284973145,868369969,22.343735456466675,1054066454,41.14726781845093,1061267424,41.19801473617554,842759866,21.32264280319214,901832225,24.67066788673401,1060563264,41.200172662734985,1057803994,41.166802644729614,,,,,,,,,,,,,,,,,,,,,0.9670123934745789
9,,,,,,,,,,,,,,,,,,,,,0.4469294548034668,391761143,8.015990734100342,489984464,10.360201835632324,490105557,10.368446350097656,693069881,15.56985068321228,825477134,20.660884857177734,718362846,16.2660493850708,826573872,20.74320363998413,824193202,20.5974178314209,823960721,20.58907699584961,825528465,20.65717101097107,826315085,20.693347215652466,765108576,17.909083604812622,500739929,10.612671852111816,1055224593,41.26576232910156,1046365424,41.15581679344177,1052896840,41.20355725288391,1048125430,41.141634464263916,1050832576,41.18742632865906,1052174308,41.18960189819336,1049697264,41.16780376434326,,,,,,,,,,,,,,,,,,,,,0.9700497716665268
