[2026-07-09 17:39:25] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.03 | freq: [4549352.666666667, 4577433.666666667]
[2026-07-09 17:39:25] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.03 | freq: [4576861.333333333, 4317728.666666667]
[2026-07-09 17:39:25] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4832309.0, 3708346.0]
[2026-07-09 17:39:26] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4653005.333333333, 4601746.0]
[2026-07-09 17:39:26] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.03 | freq: [4757681.666666667, 4340225.0]
[2026-07-09 17:39:26] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.03 | freq: [4823230.333333333, 4511798.666666667]
[2026-07-09 17:39:27] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9066666666666667 | freq: [4559640.0, 3116662.0]
[2026-07-09 17:39:27] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7833333333333333 | freq: [4601330.666666667, 4007325.3333333335]
[2026-07-09 17:39:27] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6733333333333333 | freq: [4558203.0, 4219699.666666667]
[2026-07-09 17:39:28] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.69 | freq: [4354006.0, 2291470.3333333335]
[2026-07-09 17:39:28] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7066666666666667 | freq: [3733292.6666666665, 4234457.666666667]
[2026-07-09 17:39:28] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [3649359.3333333335, 3875670.0]
[2026-07-09 17:39:29] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [4171136.0, 3755424.6666666665]
[2026-07-09 17:39:29] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [4065642.3333333335, 2908119.0]
[2026-07-09 17:39:29] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6833333333333332 | freq: [4347916.666666667, 4270256.666666667]
[2026-07-09 17:39:30] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.67 | freq: [4024348.3333333335, 3833641.0]
[2026-07-09 17:39:30] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.67 | freq: [4189897.0, 4017248.6666666665]
[2026-07-09 17:39:30] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.67 | freq: [3706942.0, 2291156.6666666665]
[2026-07-09 17:39:31] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.67 | freq: [4139417.6666666665, 3642025.3333333335]
[2026-07-09 17:39:31] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.67 | freq: [4251936.666666667, 3874244.0]
[2026-07-09 17:39:31] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6733333333333333 | freq: [4087216.0, 2413356.0]
[2026-07-09 17:39:32] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [2866647.0, 3438500.3333333335]
[2026-07-09 17:39:32] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [2733340.0, 3203891.6666666665]
