,sta0_datasz,sta1_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta10_datasz,sta8_datasz,sta3_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta1,training_time_sta1,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta0,consumption_sta2,consumption_sta1,consumption_sta9,consumption_sta6,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta9,training_time_sta9
0,747088320.0,684321792.0,1128383616.0,436285440.0,1135301568.0,995528640.0,1026684672.0,748350720.0,352361088.0,1047438528.0,1102428672.0,3.747761096983156e-08,101509323.0,0.9948925971984863,113502517.0,1.0643675327301025,144656490.0,1.3981750011444092,172202623.0,1.572080373764038,180079251.0,1.674112319946289,149933942.0,1.4194056987762451,185457960.0,1.749434471130371,187968147.0,1.7640864849090576,192188351.0,1.8308241367340088,192963190.0,1.8435142040252686,848.6804636736283,697.6709572053999,844.4641805780786,1169.807440436838,782.3313066688839,890.5964556543455,825.2381289404289,743.8672317680673,776.4952394595832,877.0076609135733,706.2371291812614,0.7110049636526541,,
1,,,,,,,,,,,,5.240160508469269e-08,69190802.0,0.6484034061431885,71291321.0,0.624178409576416,101154404.0,0.9917185306549072,,,173876691.0,2.062196969985962,141678836.0,1.449897050857544,135747638.0,1.3531231880187988,163310800.0,1.7892413139343262,153957553.0,1.63405179977417,174922465.0,2.0657289028167725,1377.6548472613445,1186.192369026755,1196.4054185036448,1430.4895535960113,1299.2663382451015,1301.6163983689664,1332.2676481239257,1281.3561718353092,1269.3583151012715,1399.487181998648,1178.7670594415122,0.11421564763242548,162963023.0,1.806849479675293
2,,,,,,,,,,,,3.451073031111393e-08,64961138.0,0.6322665214538574,79943216.0,0.712791919708252,167232238.0,1.5365874767303467,147757251.0,1.2628581523895264,161291152.0,1.4095211029052734,165668643.0,1.5086166858673096,162596142.0,1.4571797847747803,158722128.0,1.3956725597381592,,,169100703.0,1.528120756149292,1859.057316404169,1499.6910950412268,1824.847189786998,1820.9390985412094,1713.0146119381302,1603.8659952831424,1720.225155008915,1622.804689288076,1773.6941752676662,1700.7884681030384,1437.0265974888318,0.1344707262786952,174426189.0,1.701385498046875
3,,,,,,,,,,,,5.747852202036351e-08,77935348.0,0.7378904819488525,81333410.0,0.72463059425354,117172369.0,1.1112496852874756,141072393.0,1.28017258644104,155644377.0,1.4616072177886963,112637590.0,1.0622007846832275,153952792.0,1.4613561630249023,169322321.0,1.7675495147705078,165983828.0,1.6644163131713867,179010894.0,2.0523335933685303,2459.958082078507,1812.3826511267555,2243.087257583078,2139.2978162282475,2212.4727628798187,1881.3883826810938,2071.850334410022,2190.5037734410344,2106.5547208339844,2218.0053398009422,1922.8615906819878,0.38089396872303705,,
4,,,,,,,,,,,,4.030838437033164e-08,65663467.0,0.6216471195220947,77652450.0,0.690000057220459,107344818.0,1.012927532196045,134968893.0,1.2322065830230713,136038226.0,1.2461793422698975,99537159.0,0.9354956150054932,144096555.0,1.3603730201721191,,,155921781.0,1.5715394020080566,152220985.0,1.4773294925689697,2738.9683764555652,2225.525297638792,2634.001906628146,2522.50348513494,2608.19365266832,2196.3017796600698,2470.830942904642,2425.541878085184,2469.900365457511,2477.4932790213693,2159.7776169387403,0.4837005300955339,,
5,,,,,,,,,,,,3.957637575695223e-08,64432879.0,0.6344099044799805,75918385.0,0.6877603530883789,158921041.0,1.4913856983184814,146411674.0,1.2802951335906982,156037138.0,1.3999645709991455,162733409.0,1.5225532054901123,158627035.0,1.4602985382080078,152917394.0,1.3767380714416504,170240042.0,1.7122516632080078,179153655.0,2.0291600227355957,3127.853025047676,2640.944812166157,2950.853847765399,2680.7391815227265,2846.621548625113,2335.531594507933,2870.541819149375,2784.267102390089,2644.4314416282227,2875.118998268238,2567.512921398274,0.6272631883621216,,
6,,,,,,,,,,,,4.287947888435859e-08,83105866.0,0.754375696182251,81744908.0,0.7032909393310547,113082597.0,1.0437567234039307,139724068.0,1.2417690753936768,152204871.0,1.3999509811401367,107234589.0,0.9835269451141357,151295084.0,1.4061646461486816,164539801.0,1.6930289268493652,164501532.0,1.6503932476043701,174559612.0,1.9957664012908936,3406.537150764206,2840.423121265988,3327.8916627452627,2911.4822440695457,3242.873229009757,2599.1955715047698,3102.4677849458876,3031.8081956621704,3012.0009546023866,3062.088877498288,2780.070979257959,0.7462220842188055,,
7,,,,,,,,,,,,5.248919345037829e-08,84072356.0,0.779207706451416,79031597.0,0.6961486339569092,162676708.0,1.499302625656128,,,187704781.0,2.02536678314209,110133019.0,1.0261008739471436,160704178.0,1.4506335258483887,154326021.0,1.3644554615020752,166867248.0,1.5281028747558594,169602959.0,1.53944730758667,3809.1852377716596,3249.7731767902765,3811.7051754990575,3145.2832479798803,3485.2607613959053,2820.7657411341206,3533.291563110874,3402.2800316679813,3191.057487444834,3339.05707351323,3211.737733999866,0.8064492778344587,175495584.0,1.681563138961792
8,,,,,,,,,,,,7.834726114583299e-08,75648976.0,0.6697583198547363,97989861.0,0.8078370094299316,166093752.0,1.5051329135894775,,,155304900.0,1.3274517059326172,107430572.0,0.9560379981994629,157670495.0,1.384369134902954,175192484.0,1.683903694152832,174649394.0,1.656567096710205,164345587.0,1.446603536605835,4254.324077394662,3513.393952533567,4083.358243090357,3417.5432549270886,3910.2760842291755,3071.0214890202396,3784.5353016758095,3805.409961238394,3553.4537125845586,3709.7396158194833,3457.237593116814,0.8399274403398688,179737455.0,1.8808729648590088
9,,,,,,,,,,,,8.820677766387043e-08,60528044.0,0.6633486747741699,72613218.0,0.7714152336120605,86681601.0,0.9967222213745117,,,145366876.0,2.122688055038452,113643081.0,1.4296019077301025,139188364.0,1.9178082942962646,134722555.0,1.828104019165039,124410143.0,1.6114227771759033,147429676.0,2.154606580734253,4691.910958848545,3867.173439687573,4470.3583418382905,3713.21815127016,4277.430259630418,3400.3721778328854,4196.707146109451,4028.429328126842,3910.613483105678,4028.353211465847,3623.088174973706,0.8607557957822626,136886369.0,1.902909755706787
10,,,,,,,,,,,,8.131171064122495e-08,62588279.0,0.6940436363220215,63597188.0,0.6720013618469238,112356280.0,1.370913028717041,104721351.0,1.2233145236968994,134103965.0,2.0686216354370117,77392441.0,0.8840618133544922,128785132.0,1.780256986618042,124546800.0,1.6831648349761963,111057943.0,1.3334743976593018,,,4961.434501953713,4237.279165584874,4870.054339790873,4101.751183291264,4568.986355135893,3657.989623624935,4587.869608695107,4398.32694787532,4113.164431436744,4249.778860711418,3934.8585194055013,0.8724135214632208,,
11,,,,,,,,,,,,7.877307943009176e-08,65962905.0,0.6278538703918457,72390684.0,0.6463909149169922,103599284.0,1.009242296218872,122970510.0,1.1682429313659668,164749457.0,2.037646532058716,148667283.0,1.6214756965637207,165895999.0,2.030193567276001,129531956.0,1.257091999053955,,,165692447.0,2.0315780639648438,5336.423417576318,4553.980561267855,5213.746825426115,4363.889782915722,5032.10107043734,3965.755218421988,4953.517377523814,4720.032728947278,4416.107739050882,4526.3554726293005,4174.4566985019965,0.8837569518522783,150587322.0,1.7171604633331299
12,,,,,,,,,,,,7.07796240369139e-08,74346001.0,0.6486995220184326,91481883.0,0.7592120170593262,116877020.0,1.0455584526062012,,,183414753.0,1.9773011207580566,160358171.0,1.4477298259735107,150838542.0,1.3275017738342285,173160201.0,1.6876869201660156,158900594.0,1.420454740524292,162112866.0,1.445915699005127,5811.652759054424,4972.709498332934,5483.1613862879885,4554.423628995661,5420.896343494032,4163.29616803713,5278.865192176831,5132.882458750758,4692.939330589594,4832.704425075533,4471.422814568345,0.8911997675895691,177662448.0,1.8925104141235352
13,,,,,,,,,,,,8.567258818497448e-08,68978461.0,0.6442701816558838,78850079.0,0.6886284351348877,160992202.0,1.5134546756744385,142135012.0,1.2340264320373535,151293741.0,1.3404850959777832,98330925.0,0.9189581871032715,150913676.0,1.367567777633667,154027499.0,1.3773746490478516,,,177836886.0,1.9549846649169922,6158.228962310022,5176.040968151341,5858.091618743458,4937.7534079587185,5915.144209706302,4481.87798022641,5678.826950120314,5380.492917353729,5052.090456002607,5110.78705783459,4771.481178324314,0.8984597867185419,165886965.0,1.6846387386322021
14,,,,,,,,,,,,8.947727982947858e-08,,,68905647.0,0.619210958480835,100993516.0,0.9721808433532715,,,168567928.0,2.025737762451172,99041556.0,0.9449834823608398,163927925.0,1.8609976768493652,131207428.0,1.270918369293213,152702184.0,1.626776933670044,170231437.0,2.0387449264526367,6656.782908655562,5676.634387475931,6396.9891179434535,5170.444915937829,6284.042769503053,4813.228060400897,6204.80856275432,5789.017035132912,5300.588085478216,5509.207135118566,5070.890730954307,0.9041995460336859,149576582.0,1.5753464698791504
15,,,,,,,,,,,,1.0577711315713118e-07,80352822.0,0.7338054180145264,84087004.0,0.7237908840179443,122687919.0,1.1295816898345947,146118889.0,1.2384240627288818,160120562.0,1.3916716575622559,158246299.0,1.4296774864196777,165976870.0,1.4821898937225342,158064110.0,1.3776600360870361,173103683.0,1.6446382999420166,164153876.0,1.4473977088928223,7082.002421706778,5953.088183572884,6649.201127367192,5403.294020401001,6753.587952354073,5176.040705368744,6450.430428121318,6070.081506791076,5633.2970837114635,5724.414378728191,5243.976419555592,0.9091745560819452,,
16,,,,,,,,,,,,7.645722033088929e-08,74085076.0,0.6879062652587891,80285378.0,0.7066993713378906,121038997.0,1.1253042221069336,,,180972070.0,1.99735426902771,107974394.0,1.0062236785888672,150357342.0,1.3832871913909912,150901164.0,1.3662233352661133,157101221.0,1.4638581275939941,183236835.0,2.023096799850464,7336.193173365217,6418.299937706753,7147.785625820501,5650.829446842992,7009.642965623535,5322.672530276757,6926.534149635951,6412.207746255004,5797.41689655138,6012.01496757193,5505.63928946365,0.9125182899561796,164370917.0,1.6439831256866455
17,,,,,,,,,,,,1.1018577283941866e-07,64181659.0,0.5719947814941406,74517510.0,0.625983715057373,105733799.0,0.9784116744995117,130292513.0,1.200594186782837,132905970.0,1.214967966079712,140061165.0,1.3416368961334229,133033290.0,1.2409372329711914,148314501.0,1.573578119277954,146680776.0,1.4807326793670654,,,7784.497942023239,6668.173686500868,7426.704811435122,5922.695025037753,7469.663881610276,5590.487412856402,7182.8648454377835,6856.383111288841,6204.083250646795,6330.743624877051,5687.490008264995,0.9156666181304238,,
18,,,,,,,,,,,,8.430319021237533e-08,65549393.0,0.6204862594604492,73605341.0,0.6460647583007812,158261069.0,1.5081758499145508,133115565.0,1.1740286350250244,,,158472616.0,1.5012249946594238,178731293.0,1.9545459747314453,170381217.0,1.7134196758270264,156787563.0,1.4730305671691895,157692223.0,1.4560420513153076,8078.751981499545,7072.533246511176,7860.291880663355,6310.208340451186,7739.686652293209,5838.665787215412,7645.8565500944205,7062.601388737146,6483.0280236396375,6540.433859495874,5944.837190908238,0.9189117388291792,163952827.0,1.6101090908050537
19,,,,,,,,,,,,1.0679651159052662e-07,71575744.0,0.661323070526123,78246442.0,0.6822149753570557,158560813.0,1.4639310836791992,,,157682885.0,1.39802885055542,108260649.0,0.9990696907043457,151016154.0,1.3574473857879639,174739055.0,1.6703202724456787,174953409.0,1.6707723140716553,163543771.0,1.4741802215576172,8538.65680060588,7451.144608116773,8116.478194849698,6464.317607689173,8125.845196742237,5985.236056877388,8049.252312536005,7396.002153901144,6823.478854137803,6919.714589875494,6224.096169302473,0.9215840643102472,172638840.0,1.6753613948822021
