,sta0_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta0,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7
0,747088320.0,684321792.0,436285440.0,1047438528.0,1128383616.0,1135301568.0,995528640.0,352361088.0,1026684672.0,748350720.0,1102428672.0,2.6486545344903592e-08,94266482.0,0.9010043144226074,98003533.0,0.8970961570739746,120579037.0,1.162621259689331,137387709.0,1.3222157955169678,146445304.0,1.4530503749847412,148123400.0,1.48659086227417,153091100.0,1.5896587371826172,116694282.0,1.1013588905334473,850.0794251197319,644.3618642749473,850.3421172053961,1111.202728515439,774.8763167242894,804.781559242174,742.3233463699961,1049.7332034131464,874.7245018701067,753.475183977275,673.4071438574256,0.5947682092135603,,,,,,
1,,,,,,,,,,,,6.285208497120984e-08,47902832.0,0.6914548873901367,43546886.0,0.592341423034668,105021887.0,1.5719006061553955,,,119307495.0,1.770749568939209,130159029.0,2.01967716217041,113389724.0,1.6901772022247314,102024336.0,1.519984245300293,1398.7481171070253,1061.305135265853,1148.0806037170041,1388.783255865668,1231.1917120351638,1218.8100340992373,1231.5167355482865,1313.7779669206404,1376.894364685635,1174.9717983271416,1055.9484734791433,0.19610165465961804,122680350.0,1.8305706977844238,143530272.0,2.480802536010742,145273432.0,2.548919200897217
2,,,,,,,,,,,,5.380965907343488e-08,72292844.0,0.6621711254119873,74591301.0,0.6413769721984863,109992089.0,1.0356342792510986,133259546.0,1.2591054439544678,156911769.0,1.6726548671722412,166734437.0,1.9297606945037842,156314175.0,1.656313419342041,103451090.0,0.9644491672515869,1774.4324677607378,1358.6346809397278,1578.8903138155786,1657.1703994771235,1622.5530551524419,1623.8694699419098,1541.607258882886,1546.5924999672638,1778.4197962646497,1448.6069433584237,1301.6395517407893,0.4551270373842933,,,167915220.0,1.987867832183838,139199351.0,1.3394694328308105
3,,,,,,,,,,,,4.545846506298408e-08,75064260.0,0.6791548728942871,86100060.0,0.7239336967468262,166849975.0,1.5665102005004883,154222811.0,1.3543095588684082,154087252.0,1.3709783554077148,190110170.0,2.0276947021484375,168926142.0,1.5730907917022705,116626533.0,1.0600330829620361,2198.9549537685643,1693.8173510615172,2140.4756173565443,2112.2908725793363,2204.0974700344427,2018.6710756437915,1844.0029165843987,2024.8794572867534,1973.8853539201057,1768.7549113411703,1551.0745913451542,0.5981488661332564,184270403.0,1.9337573051452637,193634148.0,2.108095645904541,192223384.0,2.1006009578704834
4,,,,,,,,,,,,3.499063526306466e-08,67821482.0,0.6701958179473877,88561358.0,0.8212082386016846,94600588.0,0.9565107822418213,,,122656119.0,1.2004578113555908,128748816.0,1.3023369312286377,140416389.0,1.5536880493164062,132871120.0,1.382277488708496,2625.893822547621,2074.2218719271514,2422.7153707467983,2278.6551026997,2511.125226524951,2260.2379646982067,2205.4136714702045,2245.306492501712,2286.6953075800266,2042.4384021066885,1844.729790648373,0.6800621964714744,,,151752847.0,1.9265437126159668,152082313.0,1.957357406616211
5,,,,,,,,,,,,7.208201002238924e-08,68457832.0,0.7016768455505371,87027060.0,0.8208699226379395,131739225.0,1.3749897480010986,,,144121763.0,1.6464903354644775,131334624.0,1.341949701309204,142730225.0,1.5805771350860596,93852238.0,0.9426777362823486,2934.0682933183143,2303.4991621912986,2840.2244189216613,2668.7395846664667,2858.2571211405925,2628.0134496864707,2528.0549612760924,2543.0486213999147,2585.8104509263167,2276.19983654724,2025.8246963323481,0.7798611196604642,,,152450781.0,1.924391508102417,127308756.0,1.2594068050384521
6,,,,,,,,,,,,5.877880273076039e-08,68157052.0,0.715700626373291,72645261.0,0.7205719947814941,93252569.0,0.999586820602417,122609489.0,1.306504249572754,141738102.0,1.689237117767334,150283124.0,1.9209303855895996,140760687.0,1.6540422439575195,132716885.0,1.4893262386322021,3348.7153242476697,2640.515825251891,3069.6284270940737,2831.521927375621,3227.9554403236307,3010.57028733662,2913.8743882778963,2704.3161736484944,2879.2759430211777,2619.6706525827467,2383.7177045265053,0.8340705524791371,,,152767309.0,2.0400662422180176,121715875.0,1.2896933555603027
7,,,,,,,,,,,,5.8260741225240515e-08,72435239.0,0.6491076946258545,100194934.0,0.8256022930145264,158827535.0,1.3985507488250732,,,149835798.0,1.257457971572876,157206568.0,1.3525593280792236,162691417.0,1.4172401428222656,105103186.0,0.9390819072723389,3641.955480592199,2868.794658677434,3484.2442417445177,3227.2839942651926,3668.7514347804517,3296.908059934939,3142.535127683064,2998.428159319117,3093.3565260683245,2849.6710571246635,2594.5411077852164,0.8544692342931574,,,162061169.0,1.3933372497558594,155998441.0,1.3056981563568115
8,,,,,,,,,,,,4.315003069986663e-08,35967132.0,0.6041502952575684,33279700.0,0.5386416912078857,81556493.0,1.7064728736877441,57083106.0,0.9883394241333008,,,,,,,78641217.0,1.6168277263641357,4046.402754171634,3202.321103493287,3854.1232653496695,3387.9969107502393,3928.6259353619816,3628.1341621332535,3541.6402272624678,3208.1762972508486,3363.860255715475,3229.800400577121,2968.9417845709595,0.8651195493611422,76474718.0,1.5557529926300049,,,88850481.0,2.0737972259521484
9,,,,,,,,,,,,5.9075930014430844e-08,53417039.0,0.6147668361663818,60160063.0,0.6436135768890381,133457544.0,1.674027919769287,,,105515660.0,1.15541410446167,149435775.0,2.157613754272461,,,132094388.0,1.639026403427124,4458.94579436646,3566.6951272431897,4267.471893031502,3715.357774755004,4261.345500622527,3961.084622383551,3809.5448869815605,3428.7452742917503,3688.797390824804,3489.1072121944603,3208.359473405996,0.8777710524472323,130406526.0,1.5706541538238525,142620179.0,1.9078447818756104,109958764.0,1.2043263912200928
