,sta0_datasz,sta10_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta6_datasz,sta5_datasz,sta7_datasz,sta2_datasz,sta9_datasz,sta8_datasz,round_time,host_consumption_sta6,training_time_sta6,cpu_voltage_sta6,cpus_freqs_sta6,host_consumption_sta5,training_time_sta5,cpu_voltage_sta5,cpus_freqs_sta5,host_consumption_sta3,training_time_sta3,cpu_voltage_sta3,cpus_freqs_sta3,host_consumption_sta8,training_time_sta8,cpu_voltage_sta8,cpus_freqs_sta8,host_consumption_sta0,training_time_sta0,cpu_voltage_sta0,cpus_freqs_sta0,host_consumption_sta7,training_time_sta7,cpu_voltage_sta7,cpus_freqs_sta7,host_consumption_sta2,training_time_sta2,cpu_voltage_sta2,cpus_freqs_sta2,host_consumption_sta1,training_time_sta1,cpu_voltage_sta1,cpus_freqs_sta1,host_consumption_sta4,training_time_sta4,cpu_voltage_sta4,cpus_freqs_sta4,host_consumption_sta10,training_time_sta10,cpu_voltage_sta10,cpus_freqs_sta10,host_consumption_sta9,training_time_sta9,cpu_voltage_sta9,cpus_freqs_sta9,consumption_sta7,consumption_sta6,consumption_sta0,consumption_sta4,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta10,consumption_sta2,consumption_sta8,consumption_sta9,mean_acc
0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,0.01863551139831543,360637992,16.48119592666626,0.69,"[2.054, 2.134]",361964405,16.553844213485718,0.69,"[2.133, 2.04]",362723009,16.598198413848877,0.69,"[3.367, 2.71]",402124153,19.441352367401123,0.69,"[2.133, 2.134]",429167297,21.80061960220337,0.69,"[2.113, 2.085]",428700318,21.76732611656189,0.68,"[0.882, 0.9]",429291625,21.80817747116089,0.6833333333333332,"[2.134, 1.712]",429328002,21.81092882156372,0.6866666666666666,"[2.133, 2.134]",429488158,21.819576263427734,0.6866666666666666,"[2.092, 0.9]",430389279,21.878943920135498,0.69,"[2.134, 1.571]",430838252,21.910001039505005,0.69,"[2.134, 1.806]",3.6907026641855287,3.4941748846056644,3.5770472547618746,3.5649078642696628,3.8160606520432183,3.4413512436362117,3.0462822753716363,3.075822289846619,3.152136234204585,3.4666814577034217,3.377185484123634,0.8968041755936362
1,,,,,,,,,,,,0.04712224006652832,339187730,15.448720693588257,0.69,"[0.893, 0.9]",405702574,20.672812700271606,0.69,"[0.869, 0.9]",406541745,20.737202405929565,0.6833333333333332,"[0.863, 0.9]",376023451,18.098950147628784,0.69,"[0.9, 0.9]",406559079,20.739024877548218,0.68,"[0.891, 0.9]",339345323,15.457141160964966,0.69,"[0.885, 0.9]",406023313,20.69853138923645,0.6833333333333332,"[0.888, 0.9]",406507504,20.735864877700806,0.68,"[0.886, 0.9]",336112604,15.294841527938843,0.69,"[0.858, 0.9]",375147904,18.030858278274536,0.6833333333333332,"[0.9, 0.9]",374501910,17.985523223876953,0.6866666666666666,"[0.8, 0.901]",3.9835643811728065,3.7902713033554605,3.7725844848545744,3.9221560121582075,4.011447347903428,3.723685719480312,3.4365175680360336,3.2738931778630223,3.556651169914651,3.763276826546518,3.6573973999282616,0.1534250100905245
2,,,,,,,,,,,,0.046387672424316406,405611632,20.66299271583557,0.69,"[0.958, 0.932]",323079251,14.018712520599365,0.69,"[0.915, 0.962]",405699096,20.66786289215088,0.69,"[0.994, 1.0]",405938108,20.683971881866455,0.6833333333333332,"[0.943, 0.967]",322806058,14.002800464630127,0.69,"[0.913, 0.933]",317669292,13.762808322906494,0.69,"[1.058, 0.933]",405652709,20.664867639541626,0.6866666666666666,"[0.992, 1.0]",405607238,20.6614351272583,0.6866666666666666,"[1.0, 0.993]",322233245,13.970078468322754,0.69,"[0.937, 0.967]",355304694,16.28576397895813,0.69,"[0.933, 0.933]",353577220,16.163084506988525,0.69,"[0.933, 0.935]",4.310175240515675,4.093299653885331,4.0698362836065005,4.224985918609794,4.316680461877577,4.02109670341509,3.7396668889257247,3.573247590170907,3.8620785852279984,4.067640445748904,3.8592539333514635,0.6611280820586465
3,,,,,,,,,,,,0.04257392883300781,405431640,20.679686069488525,0.6866666666666666,"[0.979, 0.998]",317747172,13.776809215545654,0.69,"[0.985, 1.0]",322149017,13.993191003799438,0.69,"[1.0, 1.0]",405386474,20.67544984817505,0.6833333333333332,"[1.0, 0.994]",405059082,20.647175788879395,0.6866666666666666,"[0.989, 1.0]",319079993,13.837208271026611,0.69,"[1.0, 0.992]",321585969,13.960764646530151,0.69,"[0.993, 1.0]",405134033,20.65619397163391,0.6866666666666666,"[1.0, 0.992]",320942904,13.925968647003174,0.69,"[0.991, 1.0]",405515075,20.68422508239746,0.6833333333333332,"[1.004, 0.977]",405494506,20.682498455047607,0.6866666666666666,"[1.001, 0.998]",4.639904233402438,4.41521875436692,4.390290666431049,4.5546203153266624,4.644597752551597,4.3488517817218755,4.0708922585198914,3.8947680528270556,4.191491858900297,4.285498242784905,4.183196040719759,0.8475935730067167
4,,,,,,,,,,,,0.043115854263305664,407175044,20.697744607925415,0.6866666666666666,"[1.051, 1.066]",407121638,20.69494652748108,0.69,"[1.088, 1.094]",306928779,12.72679328918457,0.69,"[1.066, 1.036]",341121807,15.005634784698486,0.69,"[1.033, 1.023]",306793892,12.720925092697144,0.69,"[1.067, 1.067]",407097468,20.69286012649536,0.69,"[1.042, 1.065]",309490785,12.848812103271484,0.69,"[1.035, 1.067]",306873421,12.724039793014526,0.69,"[1.006, 1.067]",307575689,12.755271673202515,0.69,"[1.031, 1.019]",406879940,20.67583703994751,0.69,"[1.1, 1.096]",339328965,14.881219863891602,0.69,"[1.033, 1.026]",4.979794751261996,4.753603509710951,4.731385450279052,4.891515167848381,4.981110192123864,4.687147853948093,4.4074005163281305,4.234558200974285,4.5314408967847974,4.7336169024462125,4.516651132315872,0.8913292559710416
5,,,,,,,,,,,,0.03861045837402344,306073435,12.667987585067749,0.69,"[1.084, 1.058]",406158201,20.680885553359985,0.69,"[1.079, 1.093]",405685363,20.645427703857422,0.69,"[1.079, 1.1]",340890301,15.044053554534912,0.6866666666666666,"[1.1, 1.1]",304632398,12.625917196273804,0.69,"[1.099, 1.1]",307213935,12.724608659744263,0.69,"[1.0, 1.1]",406121702,20.678611278533936,0.69,"[1.1, 1.089]",305015149,12.623143672943115,0.69,"[1.092, 1.1]",304848707,12.617014169692993,0.69,"[1.085, 1.095]",405916136,20.664053916931152,0.69,"[1.1, 1.096]",340713483,15.029480457305908,0.69,"[1.072, 1.1]",5.3281969990658355,5.110396866055284,5.096194092159885,5.2525979777365475,5.338858021581197,5.048964033376093,4.768973350995131,4.719593269743451,4.888270167027297,5.097352832620118,4.993229005712445,0.9122103398496454
6,,,,,,,,,,,,0.03890109062194824,407260188,20.646546125411987,0.69,"[1.2, 1.2]",297853425,11.796814203262329,0.69,"[1.145, 1.167]",298263763,11.818679094314575,0.69,"[1.167, 1.166]",407568659,20.67446756362915,0.69,"[1.199, 1.2]",407781549,20.690577745437622,0.6999999999999998,"[1.144, 1.167]",407685724,20.6835777759552,0.69,"[1.191, 1.193]",297659395,11.786325454711914,0.69,"[1.153, 1.167]",294467936,11.654574394226074,0.69,"[1.167, 1.166]",295998327,11.71384572982788,0.69,"[1.139, 1.167]",328182937,13.822498321533203,0.69,"[1.133, 1.128]",327251482,13.757477521896362,0.69,"[1.167, 1.167]",5.699806167983437,5.480042809661784,5.594063448727903,5.624523339053214,5.852375609970637,5.420517320074093,5.144911174201402,5.09068442064928,5.397274009869275,5.471956863237445,5.368916352468778,0.9253246730024164
7,,,,,,,,,,,,0.03681468963623047,407193416,20.672293663024902,0.6933333333333334,"[1.192, 1.161]",296584324,11.792631387710571,0.69,"[1.171, 1.2]",293828410,11.677818298339844,0.69,"[1.158, 1.2]",328728162,13.932793617248535,0.69,"[1.17, 1.182]",297286470,11.825191497802734,0.69,"[1.161, 1.2]",297352876,11.828202486038208,0.69,"[1.192, 1.2]",294337930,11.69846510887146,0.69,"[1.125, 1.2]",297036044,11.812639951705933,0.69,"[1.176, 1.202]",293156964,11.651295185089111,0.69,"[1.181, 1.185]",327240617,13.823616743087769,0.6866666666666666,"[1.08, 1.181]",326314228,13.763999700546265,0.69,"[1.2, 1.2]",6.095934990615103,5.872895488741451,5.985081065998109,6.150403151312014,6.246765308072304,5.813791107575927,5.66928187277632,5.45248660386763,5.784262798423322,5.866199570489611,5.7669779103682774,0.9353195808150552
8,,,,,,,,,,,,0.03631734848022461,296058812,11.694030523300171,0.69,"[1.264, 1.195]",291456590,11.488058090209961,0.69,"[1.216, 1.197]",294295816,11.60701298713684,0.69,"[1.139, 1.194]",329590770,13.945745468139648,0.69,"[1.2, 1.167]",292133530,11.532554864883423,0.69,"[1.206, 1.2]",295564124,11.670169830322266,0.69,"[1.229, 1.199]",292485335,11.5301353931427,0.69,"[1.204, 1.185]",295264137,11.656007289886475,0.69,"[1.233, 1.197]",407281123,20.627744436264038,0.6933333333333334,"[1.24, 1.183]",328591627,13.871989488601685,0.69,"[1.2, 1.199]",327220415,13.780235528945923,0.69,"[1.2, 1.196]",6.630178329593228,6.413943732533989,6.383984693327276,6.543706147896115,6.6495519667093035,6.35143453000754,6.060851970548653,5.850720872859316,6.181005676848989,6.390211341730196,6.165919351887257,0.9434046311811968
9,,,,,,,,,,,,0.03411698341369629,276948144,10.314260005950928,0.6999999999999998,"[1.297, 1.267]",279089861,10.43097996711731,0.6999999999999998,"[1.308, 1.267]",278838275,10.418470621109009,0.6999999999999998,"[1.33, 1.259]",305218946,12.101252555847168,0.6999999999999998,"[1.252, 1.267]",274925138,10.222256183624268,0.6933333333333334,"[1.36, 1.333]",275477811,10.247144222259521,0.6999999999999998,"[1.262, 1.266]",278289876,10.388706684112549,0.6933333333333334,"[1.361, 1.33]",275800258,10.260303020477295,0.6933333333333334,"[1.367, 1.331]",275409634,10.242435693740845,0.6999999999999998,"[1.3, 1.25]",303289262,11.965458393096924,0.6999999999999998,"[1.331, 1.326]",302568745,11.919386625289917,0.6999999999999998,"[1.333, 1.33]",6.908719311091006,6.698038624594301,6.6692869811609246,6.824057606212543,6.935988414114538,6.635065457377317,6.344986975892958,6.278050471697094,6.467882525517565,6.666866793265644,6.593758770728578,0.9512350288304415
