,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta7_datasz,sta6_datasz,sta5_datasz,sta9_datasz,sta8_datasz,sta10_datasz,round_time,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,host_consumption_sta6,training_time_sta6,host_consumption_sta8,training_time_sta8,consumption_sta4,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta2,consumption_sta7,consumption_sta6,consumption_sta1,consumption_sta10,consumption_sta8,consumption_sta9,mean_acc
0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,432851712.0,0.019720077514648438,324285974,15.375476360321045,326204365,15.470245838165283,327375871,15.538241624832153,368587374,19.138139963150024,369354340,19.21304965019226,390814734,21.730754137039185,390597693,21.719852924346924,390751929,21.7351176738739,391269018,21.785876750946045,391391332,21.794745445251465,392775728,21.910792589187622,,,,,,,,,,,,0.8955309336835687
1,,,,,,,,,,,,0.051712751388549805,371486598,20.720917463302612,371745874,20.74185609817505,305976450,14.368683099746704,371500758,20.7220516204834,371520228,20.723829746246338,308401493,14.518001079559326,371399623,20.713823795318604,371805750,20.745076894760132,371546412,20.72702431678772,306225169,14.383869647979736,371506861,20.7227885723114,,,,,,,,,,,,0.48936847665093164
2,,,,,,,,,,,,0.0505824089050293,369527374,20.66248846054077,369521637,20.660359382629395,291742478,13.022233247756958,369829131,20.682703018188477,369747100,20.678616762161255,369496186,20.658670663833618,369847747,20.68397307395935,369756438,20.678613901138306,369513458,20.661081790924072,369807708,20.682194232940674,369747100,20.679049015045166,,,,,,,,,,,,0.8134708458727057
3,,,,,,,,,,,,0.04784536361694336,279121051,11.83534836769104,367955906,20.637001752853394,368220554,20.663941144943237,318873268,14.916166543960571,319921300,15.005831480026245,279258928,11.859731197357178,281290723,11.935102939605713,368254001,20.665876388549805,284340642,12.133967876434326,278998492,11.829010725021362,320138096,15.0256986618042,,,,,,,,,,,,0.8820982846346769
4,,,,,,,,,,,,0.043520450592041016,272390355,11.01941442489624,274659026,11.120868444442749,273260653,11.056423664093018,312812798,13.950097799301147,312155817,13.912156105041504,275419950,11.162261724472046,272623264,11.029518127441406,271314735,10.97533655166626,277072045,11.260994672775269,272859653,11.040128231048584,313353568,13.988221168518066,,,,,,,,,,,,0.9036159894683145
5,,,,,,,,,,,,0.03931546211242676,268864668,10.825358390808105,269136152,10.83637022972107,269750286,10.862791776657104,307520758,13.85630202293396,308071416,13.9022057056427,364719159,20.58981490135193,267573656,10.769052982330322,269337506,10.846315622329712,269037336,10.8323814868927,270286601,10.887850522994995,307991399,13.896238088607788,,,,,,,,,,,,0.9156480702486905
6,,,,,,,,,,,,0.038747549057006836,249373568,9.484247207641602,253077782,9.630431890487671,253775778,9.662913799285889,281637828,11.759266376495361,281478955,11.74693250656128,254372273,9.690560579299927,250473296,9.525794982910156,250669463,9.534684181213379,254387837,9.691847801208496,251686856,9.573638916015625,354843452,20.64261531829834,,,,,,,,,,,,0.923669468272816
7,,,,,,,,,,,,0.03580808639526367,248665745,9.482084512710571,250343780,9.547948360443115,252761377,9.664304733276367,280077957,11.775503635406494,281814403,11.925979852676392,252444727,9.646097183227539,248971713,9.493545055389404,246948586,9.418644189834595,252657983,9.657732963562012,250715117,9.5642831325531,279542802,11.733601331710815,,,,,,,,,,,,0.9323911287567832
8,,,,,,,,,,,,0.034798622131347656,241289055,8.8238844871521,246609903,9.040561199188232,247418373,9.084972620010376,271157753,10.856426000595093,272363682,10.953904390335083,244900313,8.981936693191528,244397446,8.94128966331482,243874681,8.920889377593994,244696395,8.954522132873535,245054731,8.96924877166748,270644753,10.816888809204102,,,,,,,,,,,,0.9392029480500654
9,,,,,,,,,,,,0.03236222267150879,239405881,8.384854555130005,242382680,8.508689403533936,241456596,8.4649178981781,266336781,10.215318441390991,267073108,10.27205514907837,239664730,8.394789934158325,239580380,8.391765594482422,239664730,8.395027160644531,243580370,8.572706460952759,240399897,8.422179937362671,266226980,10.208066463470459,,,,,,,,,,,,0.945760120045055
10,,,,,,,,,,,,0.031644582748413086,236720463,7.932050466537476,268394088,10.370644807815552,238278259,7.990537881851196,260473576,9.514009475708008,260906437,9.54603385925293,237474611,7.960217475891113,237154788,7.947776556015015,234564890,7.859785795211792,239484983,8.046157360076904,238975584,8.022302627563477,260831791,9.540850162506104,,,,,,,,,,,,0.9508530660109087
11,,,,,,,,,,,,0.030649185180664062,238062562,7.93130087852478,237011478,7.893599271774292,235643135,7.845576524734497,261356448,9.538626670837402,262140992,9.596007108688354,237062381,7.896023511886597,238752441,7.959478378295898,239197263,7.979537487030029,235580879,7.843112468719482,237526675,7.91156268119812,262082703,9.592635154724121,,,,,,,,,,,,0.9547364386645231
12,,,,,,,,,,,,0.031514883041381836,234888254,7.815371513366699,269718304,10.40816855430603,237034427,7.886127948760986,262400756,9.606300354003906,261914124,9.571725368499756,236788884,7.878473997116089,238742553,7.954962253570557,236075934,7.853830575942993,237941346,7.921202182769775,239228514,7.977982044219971,262392212,9.60709524154663,,,,,,,,,,,,0.9591927636753429
13,,,,,,,,,,,,0.029232501983642578,230519551,7.100195407867432,232509353,7.166757822036743,232051041,7.150561809539795,269420574,10.37770414352417,253765037,8.55804991722107,228089260,7.049086809158325,233010267,7.1860949993133545,231095355,7.1196558475494385,234542674,7.257814884185791,233062941,7.186874151229858,253507896,8.540228128433228,,,,,,,,,,,,0.9630761309103533
14,,,,,,,,,,,,0.027271509170532227,228459071,6.7733776569366455,230945698,6.852581739425659,226713043,6.7228217124938965,251657254,8.169839859008789,251486722,8.156773805618286,231683794,6.879648923873901,230553304,6.83901572227478,229097863,6.7917115688323975,231006550,6.854825496673584,230353231,6.8325355052948,251516629,8.158689022064209,,,,,,,,,,,,0.9652406302365389
15,,,,,,,,,,,,0.0281984806060791,230109213,6.729697942733765,229564110,6.713253498077393,231980485,6.790386438369751,252452051,8.090301275253296,252843957,8.118155717849731,230212606,6.733657360076904,231826921,6.784687757492065,230806172,6.752554655075073,231196979,6.764565706253052,233106581,6.838083505630493,252954064,8.126992225646973,,,,,,,,,,,,0.9668958403847434
16,,,,,,,,,,,,0.026802539825439453,227731351,6.190721035003662,228688136,6.217158079147339,228054287,6.199517011642456,250016755,7.42733097076416,250143281,7.436845302581787,232579665,6.35560154914856,228752039,6.21786904335022,229723411,6.246868848800659,232519546,6.3544371128082275,230409017,6.269776344299316,250917571,7.488497495651245,,,,,,,,,,,,0.9694423133676703
17,,,,,,,,,,,,0.02462172508239746,229604759,6.1775922775268555,228965417,6.159473896026611,229084985,6.163075923919678,250688079,7.430752277374268,249881746,7.377594232559204,229837669,6.184487581253052,231398639,6.235174179077148,229641380,6.178838729858398,230889546,6.214475631713867,230682820,6.2093751430511475,250377960,7.40995979309082,,,,,,,,,,,,0.9707155444405295
18,,,,,,,,,,,,0.025728940963745117,230008261,6.189382314682007,232909743,6.296809911727905,227859280,6.1296141147613525,250773772,7.3934104442596436,251614529,7.447520971298218,232509415,6.279793739318848,229833457,6.1837077140808105,229890464,6.185206890106201,231522051,6.240891456604004,229942770,6.187571287155151,251219205,7.422057628631592,,,,,,,,,,,,0.9724344286051664
19,,,,,,,,,,,,0.026173114776611328,232326859,5.861696004867554,233116103,5.885324716567993,230829609,5.822216033935547,250330658,6.8732078075408936,250491607,6.884305477142334,231977006,5.8802690505981445,233358656,5.893677473068237,230608480,5.817354679107666,232937880,5.879122495651245,234104870,5.9188127517700195,251330595,6.935418367385864,,,,,,,,,,,,0.9740896279161627
20,,,,,,,,,,,,0.024346590042114258,233477369,5.720766305923462,235341744,5.770447492599487,233653699,5.724889516830444,252307460,6.699683427810669,252227443,6.696110963821411,233945812,5.732645034790039,234527415,5.748087406158447,234461009,5.745811939239502,236450872,5.812399864196777,233840527,5.730074882507324,284655033,10.374073266983032,,,,,,,,,,,,0.9754901907660745
21,,,,,,,,,,,,0.022803068161010742,231122639,5.567354917526245,234299449,5.645752668380737,234577830,5.6537511348724365,253146081,6.654632568359375,252883813,6.637800455093384,233914563,5.636973857879639,236424566,5.715195178985596,234216198,5.644528865814209,236140448,5.7037646770477295,233663526,5.629169940948486,253431603,6.6723668575286865,,,,,,,,,,,,0.9761268063025041
22,,,,,,,,,,,,0.02242732048034668,290580983,10.382045269012451,238226014,5.428468227386475,234738535,5.3456573486328125,255096332,6.314698696136475,254431905,6.274681806564331,235857917,5.372135639190674,237722842,5.416123628616333,239310118,5.460697174072266,239087157,5.453869104385376,238970214,5.45012354850769,254124411,6.256215572357178,,,,,,,,,,,,0.9766361008990895
23,,,,,,,,,,,,0.022648096084594727,238147828,5.3398118019104,237072513,5.314960479736328,237547487,5.325662851333618,256195694,6.238796234130859,256108597,6.234490156173706,239860164,5.384801149368286,241014153,5.422271728515625,239978267,5.388125896453857,239205076,5.366312265396118,239167356,5.365962982177734,255985367,6.226283550262451,,,,,,,,,,,,0.977909348227761
24,,,,,,,,,,,,0.023464441299438477,239043333,5.358773231506348,239507505,5.368787527084351,238576721,5.347352027893066,256733535,6.270117282867432,256360794,6.24838662147522,239865841,5.378106594085693,239686154,5.372860670089722,238808654,5.352712154388428,239527036,5.369364023208618,238672607,5.350041389465332,256304581,6.24480676651001,,,,,,,,,,,,0.9786096269434149
25,,,,,,,,,,,,0.022422313690185547,239717709,5.268267869949341,239470701,5.2613525390625,238472901,5.235033273696899,255649675,6.097333669662476,255189533,6.071188688278198,234980172,5.185223817825317,240354121,5.285996675491333,239052062,5.249951124191284,239135191,5.251480340957642,239683591,5.2662553787231445,256053361,6.118513822555542,,,,,,,,,,,,0.9790552475235679
