,sta0_datasz,sta2_datasz,sta10_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta2,training_time_sta2,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta1,consumption_sta0,consumption_sta3,mean_acc
0,747088320.0,1128383616.0,748350720.0,684321792.0,1047438528.0,436285440.0,995528640.0,1135301568.0,352361088.0,1102428672.0,1026684672.0,350620746,4.906160593032837,368595126,5.153322219848633,622714531,9.066655158996582,711701730,10.585160255432129,729493066,10.936591386795044,798619293,12.351863622665405,817304365,12.857692003250122,852935561,13.968515396118164,869645418,14.609719514846802,869979523,14.626567840576172,982223316,21.08709692955017,1032.85596006838,1061.0300383033,1138.9900772840533,1115.9280259030115,1066.2546992328334,813.8238434123008,765.831486347641,699.6227084049253,708.326264135696,723.3213940802269,757.7121129105994,0.917107105255127
1,,,,,,,,,,,,329835093,4.486142158508301,347250820,4.724077939987183,605892064,8.714332103729248,687106029,10.090126752853394,961548991,20.754815578460693,776922999,11.920353651046753,799290618,12.538275957107544,839487108,13.841231346130371,847313871,14.15261721611023,847397794,14.156870603561401,759074106,11.482649803161621,1768.7296495270818,1861.0388812087213,1847.2065304999612,1738.7993870848031,1861.3935306750425,1447.7416409595855,1338.820474094214,1225.6138108195223,1178.1816956040102,1253.2041728480315,1356.07138302347,0.8054712794043801
2,,,,,,,,,,,,332338626,4.51848840713501,352060256,4.7933948040008545,605336218,8.705680847167969,688975409,10.097023248672485,711471262,10.511860609054565,964067844,20.69558811187744,800363002,12.53153109550476,838877430,13.74828290939331,848841149,14.119522333145142,964334201,20.712186813354492,760024360,11.454404592514038,2410.6050198820185,2655.83884581892,2686.3769832494877,2519.307613032195,2652.419214639008,2086.4780142639993,1922.0789880006141,1759.4154977897535,1669.0568413251315,1802.7168820653142,1941.1485491181304,0.9102737578478727
3,,,,,,,,,,,,331279303,4.516520023345947,351617263,4.788824558258057,613398026,8.805434703826904,682779074,9.99683141708374,702421358,10.375637769699097,775284148,11.867615938186646,797205417,12.479333877563477,835776424,13.727972030639648,847951564,14.18155026435852,846047821,14.096896886825562,759838875,11.493023157119751,3013.2085610473114,3173.5693273101815,3250.823234461282,3175.779994223824,3190.723903592168,2542.5774897710635,2306.766832186972,2125.6976802881254,2008.590157658912,2169.9096319371956,2336.290282854644,0.9348960247906771
4,,,,,,,,,,,,333710510,4.515019655227661,349868977,4.7537548542022705,612314472,8.794993877410889,691538452,10.131151914596558,708779130,10.437781572341919,778253074,11.87976360321045,804105730,12.602415323257446,965232331,20.741401433944702,848713098,14.080796480178833,849902121,14.128577947616577,760864324,11.465180397033691,3683.6194662473695,3956.770628902485,4085.572076438099,3856.064577478891,3982.6467749706208,3177.1696550083902,2895.8729312500072,2567.0185256630266,2547.3243194801926,2742.574938880851,2947.3653021469822,0.9487298239361156
5,,,,,,,,,,,,336721795,4.577949523925781,352853711,4.793221473693848,612105672,8.818443298339844,687155529,10.109257698059082,706368248,10.460148096084595,774827729,11.892590284347534,799744047,12.60022783279419,838107352,13.868845462799072,845773226,14.140491724014282,845595919,14.134657382965088,757737807,11.478748798370361,4301.2043076146865,4469.991959196591,4629.538215353934,4384.786794226536,4495.975701967833,3629.432288877127,3291.8465158094928,2999.0257292593546,2882.6961725722313,3104.5517312673574,3342.8793084100876,0.9596903811801564
6,,,,,,,,,,,,334869748,4.531330585479736,347432704,4.704769134521484,707747028,10.439847469329834,688420479,10.08069896697998,703957304,10.392270803451538,780824112,11.974016904830933,799600248,12.509469747543335,839623155,13.79811954498291,849362022,14.169439315795898,845870210,14.021966934204102,762559144,11.535725831985474,4867.326374015766,5007.2142959783005,5343.240185826685,5083.588667106493,5028.184726376162,4060.104410852413,3693.8984494384217,3363.0873842529895,3255.0953056935496,3494.2924442098315,3759.9281519312717,0.9655083146962252
7,,,,,,,,,,,,336791679,4.56443190574646,349599507,4.739408016204834,614303786,8.814083814620972,694621695,10.165094375610352,711290598,10.464316844940186,781949353,11.93538761138916,805040541,12.57118034362793,968576927,20.72931694984436,851378374,14.107086181640625,851602373,14.117917776107788,762308778,11.450076341629028,5654.235773198492,5811.087392375081,6055.6404305248725,5768.442096811774,5783.789630867336,4698.604047353749,4294.627171148253,3916.18473525951,3780.015609134232,4048.123170681164,4325.62822921461,0.9702829339287498
8,,,,,,,,,,,,333696716,4.5147788524627686,352379957,4.772425651550293,609441372,8.797928094863892,687369334,10.104758024215698,708468279,10.472194194793701,778792012,11.922719717025757,797539340,12.471370220184326,837264397,13.743748188018799,846752471,14.098536729812622,847966335,14.150158405303955,762087709,11.529597282409668,6167.994868006933,6349.9688841441775,6715.000847386632,6453.849533454852,6279.279807362987,5131.120352441233,4691.18977156874,4272.166099667407,4116.283504264877,4387.532824835177,4721.600766040195,0.9732301181012933
9,,,,,,,,,,,,332299443,4.496830463409424,353811228,4.788340330123901,610082727,8.733411312103271,692135374,10.12146806716919,705236292,10.381582975387573,780828690,11.910147190093994,805730970,12.595837116241455,843891577,13.769887208938599,856095038,14.232544660568237,854349681,14.15949010848999,971989516,20.685208082199097,6925.866487098734,7144.735115980226,7422.146775764852,7255.181696464308,7041.131930831071,5782.186765790882,5297.072223676558,4808.652577846959,4614.689796830541,4923.138883315664,5324.169369704089,0.9747542847286571
