,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta7,consumption_sta0,consumption_sta5,mean_acc
0,747088320.0,684321792.0,1128383616.0,748350720.0,1047438528.0,436285440.0,1135301568.0,995528640.0,352361088.0,1026684672.0,1102428672.0,355139594,4.828920364379883,365834451,5.0202789306640625,621935663,8.974994659423828,711282786,10.475213289260864,729568811,10.838491439819336,780080339,11.83336329460144,809688418,12.6366446018219,842842935,13.571506261825562,864873030,14.46348786354065,978258176,21.041273593902588,979205684,21.14413022994995,1557.087229650179,1337.2198608815988,1261.5266825419155,1484.701990917055,1343.3712402516896,1213.29211105252,1373.019029625931,1457.6476771957489,1129.04909751583,1235.8920927370054,1233.9246863834787,0.9161936803297563
1,,,,,,,,,,,,328958203,4.401481628417969,352316908,4.75990629196167,603183148,8.684224605560303,679742096,10.010863065719604,959319077,20.592222929000854,758412365,11.49141812324524,789362543,12.361946821212769,821546053,13.226488590240479,838440969,13.941517114639282,774858245,11.883755445480347,837241997,13.99541449546814,2216.167376757197,2050.2156086776286,2116.718178032807,2266.8831860627247,2116.201418427542,1855.472099286885,1890.8528540798297,2032.3312073357708,1681.0328588658197,1785.2904444490189,1802.6529292608943,0.8139963746070862
2,,,,,,,,,,,,335586848,4.460010290145874,352423903,4.729472875595093,606775241,8.690603733062744,683333700,9.990118741989136,700689490,10.343310117721558,760473945,11.518101215362549,788808100,12.358274936676025,820318457,13.166193962097168,841571820,14.021809577941895,772150673,11.81002950668335,838077017,13.979977130889893,2760.449939949559,2544.0556518146955,2685.702879292352,2767.0447983982313,2633.141994960666,2295.9460574356262,2214.4406841807295,2428.819899027927,2048.782279880455,2143.3681575867286,2179.0024508390857,0.9144170880317688
3,,,,,,,,,,,,335134945,4.45979118347168,349502157,4.689965486526489,606261449,8.668532609939575,701335852,10.320101737976074,705963768,10.417795419692993,962564186,20.592878580093384,793559919,12.409928560256958,824063808,13.215741872787476,960730878,20.627835988998413,777994285,11.904051780700684,840150621,14.004443168640137,3557.2200813941654,3316.571104249188,3486.7313959236058,3438.309169037216,3452.649160288377,2931.622982394738,2741.277642109709,2940.613896177973,2592.3091033692863,2717.062385902789,2786.108831971815,0.9365809722380205
4,,,,,,,,,,,,332805301,4.428460121154785,353422069,4.744787693023682,602523177,8.610595464706421,683792805,10.01988673210144,702086642,10.363857984542847,760717168,11.489614009857178,793328657,12.402600526809692,823420378,13.177526235580444,843633155,13.97267198562622,779396808,11.930771589279175,839518175,13.898980140686035,4086.1528198108904,3819.95491338597,4052.4043524699864,3970.3666176998922,4010.9233023434435,3365.646511948818,3097.0430386442645,3315.136958896342,2954.539667859099,3080.609261136143,3185.8022402510005,0.9505617239258506
5,,,,,,,,,,,,335531734,4.447836637496948,352056594,4.712629556655884,603049726,8.630725145339966,686646863,10.06391978263855,698447858,10.287777185440063,758182019,11.470541715621948,788816279,12.336939573287964,820911595,13.178900957107544,839334032,13.923484802246094,772873327,11.82443380355835,837289726,13.9335298538208,4632.950044425718,4351.942718731524,4609.383405853956,4489.381983899129,4563.993150978885,3792.1560038448997,3454.5598465231096,3693.115039987518,3339.3739325983247,3474.2884390830995,3587.3300243961767,0.9617079333825544
6,,,,,,,,,,,,334790159,4.443047523498535,351662613,4.716004133224487,699110393,10.30430817604065,700497353,10.33806037902832,702448092,10.39130425453186,762976867,11.583800554275513,793219649,12.491395950317383,824140224,13.284127712249756,840941328,13.969651460647583,775566069,11.896127939224243,837932242,13.939130067825317,5167.4278666494865,4862.109723642748,5197.6408985720445,5006.1062745189865,5109.0761796153665,4239.4983725833545,3850.7606197203895,4087.3730358389457,3720.560574647514,3878.981468658117,3987.370778729594,0.9686439199881121
7,,,,,,,,,,,,334255065,4.438480615615845,351678543,4.71276068687439,606700596,8.676026344299316,683578145,9.990707635879517,701386571,10.32399296760559,763154114,11.535999774932861,795674354,12.459325790405273,821028049,13.095354318618774,844400121,14.041944980621338,780403947,11.956361532211304,841761822,14.02731728553772,5702.875787934117,5394.703144138902,5727.725634437243,5529.901521633721,5662.583435832472,4674.390624992012,4240.968333449239,4477.317038755661,4084.868146939838,4257.597761638303,4378.536188243684,0.9716017950664867
8,,,,,,,,,,,,384613579,5.178891897201538,352117873,4.712635517120361,602320663,8.60369062423706,685387710,10.023005247116089,962389138,20.56536102294922,761180241,11.480651140213013,953181153,20.597026824951172,821665804,13.15696668624878,840668624,13.936931848526001,778015587,11.896635055541992,841159041,14.06328296661377,6498.057958675089,6173.825451278865,6577.225067620361,6311.262676260475,6474.606028401697,5309.763213986717,4711.986896958792,5059.450219087345,4625.605804427207,4743.1609850821815,4987.730670855968,0.9754572023044933
9,,,,,,,,,,,,335286312,4.45873236656189,343736913,4.61772346496582,604831765,8.684972286224365,685801833,10.06710410118103,704591824,10.415403366088867,758441113,11.474096775054932,792455980,12.441203594207764,960119307,20.605852842330933,843656531,14.05248498916626,776540675,11.912741422653198,956146966,20.62683391571045,7249.561303041174,6910.279489666586,7282.536924202214,7069.307347153977,7268.308203925792,5949.527842508296,5209.592472229292,5633.069103938649,5157.105576883237,5297.972987352443,5572.446074402041,0.9778376059098677
