station_id,c,k,R2,n_points,model_sz
0,35.337132716730146,0.0,0.2058252406039156,40,747088320.0
1,28.996375884445406,0.0,0.8758904048913457,40,684321792.0
2,43.500327857232264,0.0,0.7549391008825701,40,1128383616.0
3,42.30939668991392,0.0,0.351484179261746,40,1047438528.0
4,22.5195603585991,0.0,0.3735169326014325,40,436285440.0
5,48.707840000000004,0.0,0.7685642590008503,40,1135301568.0
6,27.528954957555158,0.0,0.6327120049339653,40,995528640.0
7,31.090068699433797,0.0,0.4143517959651275,40,1026684672.0
8,22.022849153798443,0.0,0.4323058925315709,40,352361088.0
9,23.13180938069894,0.0,0.31546573167639425,40,1102428672.0
10,28.40458662639381,0.0,-3.259958997024029,40,748350720.0
