,sta0_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc
0,747441792.0,1127121216.0,748451712.0,436739904.0,1047892992.0,1134796608.0,996387072.0,1025018304.0,352007616.0,1101267264.0,683362368.0,344333836,4.770328044891357,373124838,5.165267705917358,634032618,9.209012985229492,714779115,10.573766231536865,734228589,10.94787073135376,774463472,11.717763900756836,797095250,12.279257774353027,823451872,13.012976169586182,844496984,13.68275499343872,862472158,14.363327741622925,864746139,14.46075177192688,776.2510609451366,734.1353718058781,835.6088450994422,743.0646458095484,808.6701877586447,623.4833118296812,584.8373431551313,585.4880488613736,557.6642873157232,573.9847768987275,539.4816824429063,0.9659732200882651
1,,,,,,,,,,,,331289923,4.504305601119995,365260112,4.966748237609863,621855769,8.901590347290039,691742614,10.079308032989502,712982977,10.458438634872437,763445677,11.473520755767822,786113466,12.006704092025757,813494255,12.783167839050293,831231453,13.3246488571167,851654619,14.094275712966919,852168045,14.116726636886597,1301.4567959203441,1249.0716475145173,1406.7462140977834,1396.4561537839265,1345.4386504299498,1061.5795470426563,948.312243836978,993.4134386193903,1079.4775136918051,954.5448311361661,921.813154876661,0.9444611451842568
2,,,,,,,,,,,,332688113,4.506558179855347,359251887,4.8662109375,626416731,8.971874475479126,692004332,10.074562072753906,714025821,10.495973110198975,759631722,11.387258768081665,782191356,11.923091888427734,815877550,12.84264087677002,827705400,13.206991910934448,848189173,13.994314193725586,850488545,14.079787015914917,1957.3763211628234,1809.0470272579455,1992.9030630755663,1916.9894237004291,1913.3207382957676,1483.9028099168188,1343.1387910639191,1480.9912981183847,1492.457690573811,1318.124557559256,1285.7138490573998,0.9658577604727312
3,,,,,,,,,,,,334686216,4.542223691940308,360383233,4.886885643005371,628512002,9.006736755371094,696688585,10.188475370407104,709894545,10.422065019607544,765825981,11.499439001083374,786496033,11.985119819641113,968953513,20.735153436660767,829887097,13.275691986083984,851634111,14.073038101196289,852822768,14.117834091186523,2741.4961090755164,2600.7825430858993,2873.6649376832042,2703.6941695203386,2728.569369999852,2123.671246628418,1908.2671212470777,2100.8967800022597,2092.1526846901097,1846.1659009674154,1826.9329525573924,0.9718800024552778
4,,,,,,,,,,,,329597118,4.466869354248047,362219959,4.916289329528809,625761948,8.963449954986572,691970152,10.100698471069336,706671470,10.383601427078247,764721675,11.502509117126465,785156681,11.982616186141968,813873527,12.76938533782959,830696909,13.290099620819092,849880088,14.034343242645264,852298416,14.13007378578186,3269.4412100222926,3114.69305220886,3452.9802967974683,3206.7195143937442,3284.5021891770807,2664.9033981942353,2273.5010538708966,2514.318389952953,2488.5372651338516,2198.760656485028,2297.90823293533,0.9771030328490518
5,,,,,,,,,,,,331083259,4.509362459182739,364365827,4.961589336395264,624829577,8.953424215316772,696760179,10.185853719711304,715887816,10.535459280014038,765074152,11.487722873687744,784849493,11.968953847885132,815534839,12.836188793182373,968061365,20.70793604850769,848091640,13.980386018753052,850218039,14.069925308227539,4029.962775166962,3877.6473748266963,4294.933791972897,4000.81152550764,4123.759967856554,3220.3547583189893,2853.9623530938834,3122.8719119165016,3082.365802678271,2725.7633244168287,2765.8689101622026,0.9802811145782471
6,,,,,,,,,,,,330820930,4.49139666557312,355295294,4.826772689819336,624249317,8.959698677062988,692536191,10.122076511383057,716543087,10.548065185546875,763897458,11.477548122406006,782914682,11.93682074546814,812385127,12.733808755874634,832936771,13.398731231689453,849636680,13.997680187225342,850825580,14.038645029067993,4568.565158458651,4373.183506723398,4837.215857538665,4530.401575099617,4664.153682355219,3745.785968194719,3209.6947385418316,3529.9111409209227,3462.1428194480823,3062.861449843509,3213.071050562372,0.9834582643075422
7,,,,,,,,,,,,385628102,5.2813169956207275,360879813,4.8892199993133545,628122476,8.996122360229492,695300771,10.129958629608154,711466868,10.43959641456604,970454668,20.749309539794922,785818483,11.961955547332764,814208364,12.779250621795654,829397657,13.260225772857666,850437520,14.041170597076416,849309715,13.996687173843384,5372.567240108321,5160.028803533173,5709.066021795371,5312.978056146096,5477.689898361822,4284.116858644217,3764.1877345740218,4015.8992066446694,4058.7513183679785,3572.213710473016,3676.268746687871,0.98567979444157
8,,,,,,,,,,,,333367677,4.518643617630005,360888114,4.891853332519531,628535135,8.99367094039917,691194276,10.049547672271729,716745297,10.501592874526978,767458362,11.485797643661499,785531436,11.912975788116455,812993036,12.693113565444946,831267159,13.248397827148438,851087970,14.004085302352905,853387097,14.098182916641235,5909.110498762134,5688.106884496197,6280.235732552569,5827.813892914603,6010.217687239831,4815.813365817704,4134.434466425238,4508.896031475898,4444.516551651705,3918.4522219356,4114.023742200812,0.9871978976509788
9,,,,,,,,,,,,329594310,4.45359992980957,361256644,4.884273052215576,618473392,8.856565952301025,690931764,10.112314701080322,711443735,10.486314535140991,765121210,11.53807806968689,782682689,11.955785036087036,816392197,12.924185514450073,823559598,13.145294904708862,847499600,14.03224802017212,850029257,14.12176513671875,6449.189801076665,6348.768135068292,6837.618255080081,6357.685435899119,6677.305278606913,5269.986362276816,4507.9986915877935,4900.593802997138,4858.261857612682,4278.509590579928,4487.86589273801,0.9881342595273798
10,,,,,,,,,,,,333717041,4.5135931968688965,359145504,4.86126184463501,626962567,8.965912580490112,694621391,10.088889360427856,716933528,10.486231803894043,766672354,11.455225944519043,785026616,11.913263320922852,816397446,12.798403024673462,830913400,13.264707803726196,849000268,13.950006484985352,852606948,14.092779159545898,6984.769199133198,6866.63523184881,7537.553616779257,6868.953632301134,7243.027897579566,5700.241707280433,4974.0852444540415,5300.64343936034,5257.005782916628,4737.183552573932,4872.245816574396,0.9886753342368386
11,,,,,,,,,,,,329992746,4.496276617050171,360754082,4.91655969619751,626425276,9.005211114883423,695272024,10.16329026222229,715015260,10.510230541229248,762738770,11.456294298171997,784707036,11.969318151473999,813559196,12.784149408340454,831659675,13.347395420074463,968687583,20.71019411087036,850000509,14.038034439086914,7782.516876305263,7595.350651022608,8251.053004986928,7635.589782252696,8057.322079058235,6352.080730586504,5431.012061039831,5889.974174824956,5870.164468973224,5159.667847706097,5413.691919361608,0.9895709536292336
12,,,,,,,,,,,,330542794,4.510755777359009,362129383,4.947349309921265,626345442,9.045750856399536,691614257,10.135986328125,711128306,10.490551710128784,762314882,11.491637468338013,784288581,12.050079584121704,810138490,12.784065246582031,825786277,13.28171992301941,964385837,20.780091524124146,848530970,14.137085437774658,8542.468365866927,8221.730828220005,9095.570317948077,8410.828255226234,8726.886427513009,6993.128419635053,5958.981463730181,6478.869736988475,6463.707127677847,5679.702356969067,5947.102445273551,0.9900171702558344
