[2026-07-10 12:31:07] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.02 | freq: [4511116.666666667, 4538073.666666667]
[2026-07-10 12:31:07] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9066666666666667 | freq: [4599923.0, 4399492.666666667]
[2026-07-10 12:31:08] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9066666666666667 | freq: [4556222.0, 3834111.0]
[2026-07-10 12:31:08] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9066666666666667 | freq: [3517840.3333333335, 3928665.3333333335]
[2026-07-10 12:31:08] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.02 | freq: [4805877.666666667, 4264996.0]
[2026-07-10 12:31:08] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.02 | freq: [3562890.6666666665, 4292549.0]
[2026-07-10 12:31:09] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.02 | freq: [4846354.0, 4336596.666666667]
[2026-07-10 12:31:09] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.02 | freq: [3471826.3333333335, 2791733.0]
[2026-07-10 12:31:09] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9066666666666667 | freq: [4544459.666666667, 4428597.666666667]
[2026-07-10 12:31:10] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.8033333333333333 | freq: [3901727.6666666665, 3662411.6666666665]
[2026-07-10 12:31:10] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6900000000000001 | freq: [4383146.333333333, 3525339.3333333335]
[2026-07-10 12:31:11] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [3722294.6666666665, 3801333.3333333335]
[2026-07-10 12:31:11] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [3617692.0, 3583483.0]
[2026-07-10 12:31:11] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6933333333333334 | freq: [4266602.333333333, 3185252.0]
[2026-07-10 12:31:12] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2663575.0, 3132057.3333333335]
[2026-07-10 12:31:12] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [4515391.333333333, 3836082.0]
[2026-07-10 12:31:12] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2802643.3333333335, 3560294.6666666665]
[2026-07-10 12:31:13] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [4213020.666666667, 3660350.6666666665]
[2026-07-10 12:31:13] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [2654809.0, 1757844.3333333333]
[2026-07-10 12:31:13] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3944301.3333333335, 3943188.3333333335]
[2026-07-10 12:31:13] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3535059.0, 3253634.6666666665]
[2026-07-10 12:31:14] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [4115809.3333333335, 3249333.6666666665]
[2026-07-10 12:31:14] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [2855648.0, 3018131.0]
[2026-07-10 12:31:15] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [2684358.6666666665, 2629418.3333333335]
[2026-07-10 12:31:15] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [3933261.3333333335, 3149510.0]
[2026-07-10 12:31:15] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [1896887.0, 2982023.6666666665]
[2026-07-10 12:31:16] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [4136777.6666666665, 3553956.0]
[2026-07-10 12:31:16] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2069300.0, 3153110.3333333335]
[2026-07-10 12:31:16] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [3599335.6666666665, 3203612.6666666665]
[2026-07-10 12:31:17] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [1826757.0, 1892728.3333333333]
[2026-07-10 12:31:17] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3419191.0, 3295525.6666666665]
[2026-07-10 12:31:17] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3173754.0, 3225777.3333333335]
[2026-07-10 12:31:18] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.8733333333333334 | freq: [3415590.0, 2887929.6666666665]
[2026-07-10 12:31:18] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.8633333333333333 | freq: [3119454.6666666665, 3016267.6666666665]
[2026-07-10 12:31:18] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.8633333333333333 | freq: [2949746.0, 2272721.6666666665]
[2026-07-10 12:31:19] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [2858844.6666666665, 2322799.0]
[2026-07-10 12:31:19] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6833333333333332 | freq: [2193903.0, 2182429.6666666665]
[2026-07-10 12:31:19] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6833333333333332 | freq: [3460930.3333333335, 2694108.3333333335]
[2026-07-10 12:31:20] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6833333333333332 | freq: [2071732.0, 2247068.6666666665]
[2026-07-10 12:31:20] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [2266011.6666666665, 2194816.6666666665]
[2026-07-10 12:31:20] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [1872910.0, 1801388.6666666667]
[2026-07-10 12:31:21] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6900000000000001 | freq: [2947047.6666666665, 2855006.6666666665]
[2026-07-10 12:31:21] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6933333333333334 | freq: [3541250.0, 3579021.6666666665]
[2026-07-10 12:31:21] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7033333333333333 | freq: [3367638.3333333335, 3279494.3333333335]
[2026-07-10 12:31:22] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [3130473.3333333335, 3031407.6666666665]
[2026-07-10 12:31:22] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [2998720.6666666665, 2125604.3333333335]
