,sta0_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta10_datasz,sta8_datasz,sta6_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta8,training_time_sta8,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta1,consumption_sta3,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta7,consumption_sta5,mean_acc,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
0,747088320.0,1128383616.0,684321792.0,436285440.0,1047438528.0,1135301568.0,748350720.0,352361088.0,995528640.0,1026684672.0,1102428672.0,3.916265308457606e-08,75638600.0,0.7886395454406738,96791805.0,1.0392324924468994,78436506.0,0.7857487201690674,113808302.0,1.3005056381225586,119182922.0,1.430610179901123,99515980.0,1.0580546855926514,891.8054250191319,810.9574750281079,894.868365967707,762.6496899535472,1133.8799695051323,890.3252120067564,831.857082985469,928.7586802694593,1078.7923029433914,875.999087688104,851.73845877455,0.44862461293285544,,,,,,,,,,
1,,,,,,,,,,,,4.19645157459521e-08,37438564.0,0.5209963321685791,53305283.0,0.770782470703125,,,,,,,81301062.0,1.3587491512298584,1428.7143086832716,1324.3333396538249,1158.3667019541074,1294.616309813122,1379.9041365750159,1361.3898638762448,1091.2189279602521,1325.1104453173575,1332.6152577455368,1278.275168875535,1250.9508361486746,0.27297118170694873,74095574.0,1.159766435623169,103314799.0,2.3387222290039062,,,,,,
2,,,,,,,,,,,,2.322564640904109e-08,44703193.0,0.4849367141723633,65645889.0,0.7669684886932373,,,79347575.0,1.0254569053649902,,,61823999.0,0.7089705467224121,1821.3694328980582,1561.9783712596306,1556.4012419786914,1615.1512328332017,1598.2146680487,1590.579604200057,1498.000450737931,1696.450720951924,1678.2556450550815,1570.9607409581747,1538.2527542633663,0.5389168343760751,,,,,114220655.0,2.355623245239258,,,,
3,,,,,,,,,,,,3.503208778558774e-08,46675600.0,0.5374660491943359,64413349.0,0.784945011138916,,,,,,,59201691.0,0.7064208984375,2165.3458103939283,1948.7217601857642,1930.1481529913435,1839.981674887389,1920.1503729379376,1862.2103843712691,1901.579989318765,1922.7481078228213,2035.9236925154933,1773.1507561237468,1766.9302344147925,0.6835045381025835,76800340.0,1.0102863311767578,97256465.0,1.8141794204711914,,,,,,
4,,,,,,,,,,,,4.006733209038066e-08,,,,,,,93417181.0,1.8211874961853027,84277128.0,1.4832265377044678,76723070.0,1.3042638301849365,2630.718979653919,2217.3091945773044,2164.506031181251,2198.747970212372,2074.796777793223,2145.646331462218,2115.112152150189,2216.1233765315455,2202.403112590541,1969.9806345376933,2121.3398525799844,0.77823960239237,,,91847482.0,1.7982161045074463,70063541.0,1.1243178844451904,,,,
5,,,,,,,,,,,,4.21387459140355e-08,30509077.0,0.5761325359344482,66458387.0,1.617138147354126,26686455.0,0.4834764003753662,,,,,65045366.0,1.573979139328003,2875.8556602599206,2564.952837214374,2546.0338328476537,2430.1734516231218,2232.2551962106363,2319.717740977126,2467.161990955589,2560.9073236641793,2377.2533200192997,2217.439239031177,2325.7311736976085,0.8383541052991693,,,74285333.0,1.9139001369476318,75739796.0,1.9613149166107178,,,,
6,,,,,,,,,,,,6.478726789072803e-08,,,97295955.0,1.2754437923431396,,,,,100544665.0,1.3721611499786377,63010215.0,0.7233829498291016,3261.9174325526587,2813.0693633450587,2819.1620738908327,2759.0339670873504,2439.5473445707353,2565.282956979784,2704.7163719943214,2850.1987817066624,2618.2778702109763,2382.8166605424844,2620.575969431346,0.8614790493791754,85458094.0,1.0019769668579102,,,91239451.0,1.1018083095550537,,,,
7,,,,,,,,,,,,7.343954623079307e-08,56004007.0,0.6293039321899414,66643934.0,0.7866544723510742,63209310.0,0.7131617069244385,80426857.0,1.0461337566375732,,,63120871.0,0.7322425842285156,3538.2496134715248,3176.297846357431,3166.4017788497686,3025.9291322892836,2759.449289338045,2714.0516635432127,3026.174569924784,3060.841010647239,2875.3418867158293,2622.6730189983155,2820.262259462052,0.8789542479948564,,,,,103943581.0,1.9579355716705322,,,,
8,,,,,,,,,,,,6.915605016452385e-08,38729454.0,0.4576709270477295,93404607.0,1.3272960186004639,60956875.0,0.7204568386077881,83419891.0,1.0405309200286865,,,92506782.0,1.29347825050354,3991.1532795090934,3482.3020925248497,3428.357754776497,3393.130659591241,2913.0129889360646,3033.7506738901734,3351.729814074011,3372.2932165657635,3029.8289522088207,2872.2910385734813,3127.7521906352868,0.8875197280536998,,,83163483.0,1.031144380569458,,,,,,
9,,,,,,,,,,,,8.311936015389845e-08,41343217.0,0.5332474708557129,56576638.0,0.7639884948730469,,,95971434.0,1.8019084930419922,,,,,4263.508796403044,3700.2126142903917,3827.2089157398323,3723.218329603349,3170.7544969742776,3402.2215817645892,3608.524386593386,3546.066362585746,3268.7119501012353,3027.8614559730913,3285.9334391777297,0.8940559571439569,,,93649541.0,1.7749404907226562,75642324.0,1.0976002216339111,,,,
10,,,,,,,,,,,,8.418632541417121e-08,40160786.0,0.5140478610992432,94008122.0,1.634429693222046,40899614.0,0.49065566062927246,,,,,91624644.0,1.5513300895690918,4666.133240628365,4095.1143439380276,4238.680160811117,3996.243804678006,3331.4005356856514,3604.7089872776733,4007.1626728800716,3841.8880121417096,3518.6927163267464,3331.3699923637055,3534.769830344937,0.9001655145124956,73644404.0,0.9733090400695801,75230765.0,0.9974484443664551,,,,,,
11,,,,,,,,,,,,7.486539214138435e-08,37534938.0,0.4449281692504883,,,,,95973326.0,1.803238868713379,,,55890054.0,0.7073297500610352,5095.907109272902,4330.768711869446,4487.1068199409165,4323.819116438256,3540.9152536727697,3849.8112503017605,4260.33251032494,4211.373115351754,3785.042336690588,3546.8395827131044,3804.607770635389,0.9045387994159352,69822942.0,0.9569556713104248,93859806.0,1.7876896858215332,,,,,,
12,,,,,,,,,,,,0.01,,,93879520.0,1.2513151168823242,,,83847136.0,1.0158624649047852,,,58509005.0,0.7029561996459961,5334.113169510755,4671.7211690081995,4873.279475421679,4545.95701051972,3741.3418565896955,4027.3119805049023,4626.332388979614,4419.670208889064,3946.4925165029276,3819.2493405754963,3993.8159184937185,0.9087262045253407,96382016.0,1.4215073585510254,85116908.0,1.032280683517456,,,,,,
13,,,,,,,,,,,,1.2296396530786256e-07,52828234.0,0.6351802349090576,89227494.0,1.2439696788787842,,,82626742.0,1.0803470611572266,92775459.0,1.3585271835327148,59592133.0,0.7429978847503662,5699.632601104562,4874.02586284634,5151.37040742398,4941.797706348637,3990.4517945953353,4396.836121808853,4865.60505905039,4632.988472336983,4196.04958178783,4040.1305315022737,4281.523577308393,0.9133417389609597,,,,,106687715.0,1.9566633701324463,,,,
14,,,,,,,,,,,,6.903510081778769e-08,26865531.0,0.5962250232696533,62501366.0,1.5557703971862793,,,76524279.0,2.0803897380828857,,,60696500.0,1.5051023960113525,5936.874255641637,5203.14220723108,5509.814987178659,5322.128861371418,4352.492877889528,4571.474114317736,5220.2975563128375,4954.090541272004,4451.935589463001,4319.538253684003,4470.716066413814,0.9168097268451344,63725179.0,1.5813062191009521,73070491.0,1.9536516666412354,,,,,,
15,,,,,,,,,,,,7.999895410359045e-08,38834434.0,0.512521505355835,,,39164756.0,0.4837644100189209,102346418.0,2.126742362976074,,,,,6322.962061859595,5508.879925110053,5747.340346096995,5572.0041524073895,4503.322963275277,4824.406859678373,5556.918246756062,5276.172140358389,4617.613066054128,4562.309441577897,4737.228326893283,0.9191526716405695,71070192.0,0.9737319946289062,,,75796498.0,1.0697212219238281,,,,
16,,,,,,,,,,,,6.838572211477445e-08,45600775.0,0.49178457260131836,67381419.0,0.7834479808807373,,,85305019.0,1.040116786956787,96348692.0,1.3449435234069824,92817877.0,1.2268376350402832,6671.245196309711,5749.630193318985,6159.857246553047,5882.55446770912,4712.406571878974,5084.6897945319,5822.038442767617,5520.998805179164,4848.47313855013,4716.24676457236,5046.301970687818,0.9225503964857622,,,110713767.0,1.9974727630615234,,,,,,
17,,,,,,,,,,,,1.2076931308344528e-07,54264937.0,0.5256731510162354,,,,,109074794.0,1.1113831996917725,112938309.0,1.178267002105713,76068958.0,0.7628335952758789,6923.3894771736905,6131.060499840445,6536.732038789115,6185.524287602193,4956.76657525684,5280.908303502611,6233.2664875470155,5861.991636192869,5250.113753317997,4985.606219766076,5232.318079508814,0.9252143989909779,106176242.0,1.0543327331542969,128908728.0,1.844496250152588,,,,,,
18,,,,,,,,,,,,8.10255330334803e-08,48000243.0,0.605571985244751,94161258.0,1.2735893726348877,,,83602264.0,1.0624706745147705,90728345.0,1.1785047054290771,94830446.0,1.2849068641662598,7384.5412500782995,6442.300019767207,6776.63686851739,6571.851329678467,5099.034154281917,5537.794424917521,6449.272059109118,6268.442300093333,5404.787717018091,5220.914501677267,5539.042469011348,0.9268496795134111,101370041.0,1.5648193359375,,,,,,,,
19,,,,,,,,,,,,7.816605896989613e-08,,,56955848.0,0.7714428901672363,55828104.0,0.7198772430419922,,,86117639.0,1.336036205291748,82915986.0,1.237255573272705,7630.228582597256,6652.699974317375,7202.499150985609,6994.554060461405,5368.35653734718,5752.34381434899,6828.533718408345,6488.978101862511,5692.478627301015,5381.113565544881,5700.878338214123,0.9303091222589667,,,,,76814378.0,1.0859003067016602,,,,
