,sta0_datasz,sta1_datasz,sta2_datasz,sta5_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,host_consumption_sta10,training_time_sta10
13,,,,,,,,,,,,6.691100175863341e-08,43398387.0,0.498060941696167,58709689.0,0.7126786708831787,,,92243294.0,1.5562589168548584,100634080.0,1.9270968437194824,5863.095944714047,5079.952843057968,5631.757003437046,5661.682971650276,5340.081064534696,4987.318787113892,4295.926048536305,4489.135658318682,4526.8115669115,4664.154441322695,4318.535275385012,0.9153334715149619,60156889.0,0.7195136547088623,,,77296677.0,1.02986741065979,,,,,,
14,,,,,,,,,,,,8.43430795141907e-08,,,,,71681701.0,1.2268261909484863,,,92361946.0,1.9800479412078857,6220.1100159966345,5396.5469436304875,5993.008359268585,5909.757455784933,5685.56748505324,5292.299063722471,4535.4913769753875,4713.2063195423225,4805.841172133695,4965.967845981804,4571.912028904575,0.9192831082777544,,,68656807.0,1.1540749073028564,84863064.0,1.6726672649383545,93913029.0,2.014507532119751,,,,
15,,,,,,,,,,,,8.699839907325611e-08,31281720.0,0.5940389633178711,63954976.0,1.497814416885376,65213212.0,1.5325772762298584,,,,,6548.44329360568,5716.115719850319,6346.267628034335,6353.400872125876,6016.336316598701,5570.565490625225,4692.256734547714,4909.759576144515,5089.829895808389,5272.182011952704,4796.692527630935,0.9222947033968839,26427788.0,0.47705674171447754,,,78744915.0,2.0007824897766113,75985584.0,1.903097152709961,,,,
16,,,,,,,,,,,,8.956741049335278e-08,56758827.0,0.5040140151977539,84998440.0,0.7598521709442139,87472859.0,0.809657096862793,,,110472679.0,1.0362870693206787,6939.121041309913,6071.312019465378,6602.563861146955,6676.702354279586,6269.176890690567,5878.151509245852,4921.671560651785,5137.14415271887,5388.221764242153,5535.608354065163,5033.719306694149,0.9263301925225691,,,,,113027909.0,1.083268642425537,117018560.0,1.1455495357513428,,,,
17,,,,,,,,,,,,6.727977148713106e-08,41922683.0,0.4842851161956787,60217253.0,0.7377874851226807,87236471.0,1.2550199031829834,97172480.0,1.6330609321594238,104238075.0,1.9283206462860107,7429.938830556876,6290.456002880291,6997.7099878681865,7011.716399463718,6631.827113513061,6102.13474281314,5289.5643555696315,5490.32650116397,5802.442117446232,5937.615490787976,5193.142203909721,0.9289653138680891,,,,,80405555.0,1.0599095821380615,,,,,,
18,,,,,,,,,,,,9.75453815815629e-08,,,89427750.0,1.3508434295654297,60477812.0,0.8075628280639648,,,102247907.0,1.8739290237426758,7673.490689079508,6606.213941576394,7363.359312908735,7199.193571993901,6982.629181255473,6409.6967918490345,5534.127486404273,5781.2749177600745,5987.005576783605,6110.920199381767,5427.672239625335,0.9312039830467918,56952613.0,0.7138454914093018,,,102272627.0,1.8085129261016846,81313391.0,1.1347901821136475,,,,
19,,,,,,,,,,,,9.165764599986032e-08,,,68428657.0,0.7294769287109375,71256958.0,0.7653508186340332,,,90561413.0,1.0147852897644043,8085.160396765962,6952.622070071514,7610.358599550702,7527.987648592809,7329.613152928798,6759.825570749223,5692.285005151113,6083.356889096716,6406.090895569887,6419.343174195479,5695.604932465199,0.9336748448285189,,,95874999.0,1.1027812957763672,,,112684221.0,1.7513184547424316,,,,
20,,,,,,,,,,,,8.187668130412245e-08,44702949.0,0.47658729553222656,61103908.0,0.6866059303283691,,,,,,,8413.60848570122,7297.729747848611,8127.891353500351,8041.052562804814,7708.275346389515,7041.117443540149,6017.127636739855,6375.172102177419,6705.390449706279,6741.63580671128,6082.53409475538,0.9364548217166554,63645406.0,0.6926770210266113,89308792.0,1.0866694450378418,,,88838701.0,1.0758612155914307,,,,
21,,,,,,,,,,,,8.042394058489023e-08,58315464.0,0.5818467140197754,,,75305227.0,0.7936348915100098,110206444.0,1.4349079132080078,,,8862.835391168157,7619.382790425766,8473.862998448658,8426.472552373038,8072.239041113667,7340.223995752103,6252.869465595881,6531.897862847746,7088.406176705537,7016.686396010716,6368.545451024154,0.9386587684804742,53090196.0,0.5039370059967041,,,97253474.0,1.0631494522094727,101486618.0,1.1313588619232178,,,,
22,,,,,,,,,,,,6.955373132389756e-08,25878901.0,0.6025862693786621,61752527.0,1.551670789718628,61764552.0,1.5652844905853271,62699608.0,1.5743622779846191,72171201.0,1.9489283561706543,9345.315537995884,8033.995112540218,8868.423649906732,8821.286995852739,8435.229838917647,7718.867506455206,6417.535072563642,6759.482320997691,7491.795416013958,7434.214567545626,6635.325476921964,0.9403887336904352,,,,,76310535.0,2.099919557571411,,,,,,
