,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta8_datasz,sta5_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta5,consumption_sta1,consumption_sta0,consumption_sta7,consumption_sta3,consumption_sta6,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
11,,,,,,,,,,,,,,,,403233831,9.995428800582886,488710541.0,12.863233804702759,487796542,12.833639144897461,5267.37807977162,5652.8118128784645,5899.403655393651,5211.968003883655,5952.155290142636,5159.298100009047,4339.068221947355,4699.884207723721,4735.272578005303,5015.533020635497,5229.107856667901,0.8857864412394437,409548024.0,10.186776399612427,507029098.0,13.690733909606934,,,172675645.0,3.7436060905456543
12,,,,,,,,,,,,,,,,361528554,9.924891710281372,464111666.0,13.47086501121521,457012014,13.196151733398438,5674.73966012112,5946.927717072705,6326.521852257293,5494.264173298526,6302.35159352011,5535.317761627233,4645.192018009402,5021.471752458472,5059.89680482369,5366.015062063889,5500.374442102382,0.8821889432993802,375013017.0,10.360691547393799,468246665.0,13.65130615234375,,,,
13,,,,,,,,,,,,,,502080685.0,11.065794467926025,428714418,8.954789638519287,,,549055907,13.240230083465576,5960.049256571083,6362.689496870717,6722.457621470453,5910.586933180087,6730.743015156121,5868.496325409732,4996.7021290022385,5377.386493325739,5404.829025856475,5759.895411070041,5879.7688714328415,0.8981717770749872,432655631.0,9.038235902786255,519090468.0,11.704793930053711,459108993.0,9.689995050430298,,
14,,,,,,,,,,,,,,463358677.0,11.115825176239014,431495234,10.19958758354187,645761225.0,20.658376216888428,518349992,13.008878469467163,6325.649078442101,7025.165996961488,7346.3118205833325,6456.131352453316,7335.781279892672,6310.293138363786,5468.579243673679,5880.200143052553,5867.909012291674,6309.984651498462,6405.199838341047,0.8911656087095087,435746870.0,10.320194005966187,533793555.0,13.752102136611938,,,,
15,,,,,,,,,,,,,,491666343.0,10.707885503768921,472013928,10.201921701431274,550119441.0,12.668080568313599,554661849,12.846615314483643,6712.600873635499,7406.665075869904,7734.598795274493,6789.586759419283,7716.338372706652,6715.0247159389555,5766.654433799247,6195.7807962302995,6220.686821143837,6573.362123321189,6846.046918772192,0.8954676552252336,480532339.0,10.41365671157837,575014214.0,13.837401866912842,,,202163545.0,3.8714969158172607
16,,,,,,,,,,,,,,,,412162091,10.061833620071411,494365800.0,12.816873788833618,495079543,12.845728874206543,7472.086452676631,7952.693097456013,8339.055045000348,7198.652245083575,8315.218412977849,7314.241833697419,6136.079238262886,6585.437840864593,6766.106991858991,7094.16652120876,7373.753901847824,0.9013306823643771,414978735.0,10.14684247970581,627330975.0,20.632692098617554,,,175097818.0,3.677015781402588
17,,,,,,,,,,,,,,,,427272954,8.99135708808899,561890895.0,13.689901113510132,555209089,13.393669605255127,7857.529899551933,8399.97400236179,8668.070000386684,7597.585708836821,8741.706069219428,7686.156010090349,6456.2447624506685,6925.301744638923,7096.546695338218,7489.443273375717,7650.482729928038,0.9308537136424672,429596312.0,9.060040712356567,513501920.0,11.728377342224121,455748101.0,9.713683366775513,,
18,,,,,,,,,,,,,,560753142.0,11.237420082092285,477616941,9.123452425003052,613077655.0,13.169600248336792,613323809,13.179062128067017,8154.3768094912375,8783.291701160259,9192.88754026215,8144.373245610649,9177.093395625268,8063.149551261736,6824.041299280213,7300.3197029905305,7430.297159373787,7909.283361310529,7982.520981900752,0.9374433322386309,486916844.0,9.300606489181519,583605805.0,12.01911187171936,517546099.0,10.000184297561646,,
19,,,,,,,,,,,,,,458533555.0,11.059519529342651,424223889,10.129488945007324,511890474.0,12.895401239395142,517408649,13.106826543807983,8458.425583306342,9224.89477817574,9558.659822522843,8552.907320655955,9523.051532155774,8444.180738802195,7158.493847451074,7644.949659515969,7773.960435027298,8277.766352898987,8401.26235961447,0.9096751484003934,436562420.0,10.443636894226074,528906666.0,13.664575099945068,,,,
20,,,,,,,,,,,,,,461713052.0,11.106417894363403,428397768,10.174015998840332,516777364.0,12.955665588378906,516966145,12.963030099868774,8753.725178599017,9560.015848846353,9992.022326066952,8833.56732825743,9978.106468804572,8826.397206259533,7453.775681907055,7966.864190182809,8124.538599295373,8624.695790911119,8816.407708279352,0.8937366496432911,432982961.0,10.297499418258667,534340124.0,13.776441812515259,,,,
