,sta0_datasz,sta1_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
50,,,,,,,,,,,,173425582.0,3.658320426940918,,,,,424822338.0,10.34748387336731,405906065,9.771503210067749,482234300,12.67087197303772,21597.386196973217,23538.358909217954,24359.454097949023,21538.38878306554,23553.3390056291,21456.31529439877,18185.648856199037,19440.72507780607,21451.420691939453,20987.62763479264,19875.705758963308,0.9276536540551619,418362210.0,10.134520769119263,,,500639588.0,13.526924133300781,,
51,,,,,,,,,,,,,,,,,,,,351777603,9.731763362884521,459986371,13.38358759880066,22016.10574576575,23953.935105780216,24694.779514615886,21865.638077364987,23984.94954494514,21796.629198501,18480.775507125836,19685.442081832218,21789.87039527967,21336.660443965757,20223.181712629987,0.931705420667475,364761274.0,10.107943534851074,460839153.0,13.410585880279541,466013883.0,13.65491247177124,,
52,,,,,,,,,,,,,,,,,,458272325.0,10.982207775115967,419357325,9.918704271316528,517647418,13.05022144317627,22320.476554960307,24373.824961446087,25121.092606668997,22151.165343559704,24334.29510304963,22140.692636300337,18792.01454421949,20003.32308816264,22174.01201454426,21690.27633759525,20574.82948879457,0.9216374104673212,434747056.0,10.321346759796143,514735560.0,12.944053649902344,531710980.0,13.739198684692383,,
53,,,,,,,,,,,,,,,,,,493549213.0,10.933189392089844,418058073,8.786818027496338,544798898,13.251805067062378,22630.87765900955,24699.950744914117,25547.355705515278,22568.73449938357,24783.86351671645,22556.0266485917,19149.98287801446,20367.932717520056,22520.576790976087,22082.065608759534,20907.447733684672,0.9457832791588523,435500838.0,9.174051761627197,,,514575953.0,11.764391660690308,456312552.0,9.694120168685913
54,,,,,,,,,,,,,,,,,,,,354956733,9.791634559631348,457865161,13.304656028747559,22912.642376600495,25101.83196832356,25970.679114389593,22973.482085254447,25197.441733656113,22908.475288665057,19472.380540568996,20710.384939072577,22847.453876579235,22452.463846504703,21243.528075428727,0.962102927944877,368373752.0,10.19222640991211,459617659.0,13.361913681030273,463048986.0,13.497688293457031,,
55,,,,,,,,,,,,,,,,,,,,358014281,9.798856973648071,463041234,13.344138860702515,23187.539870475637,25491.564326074895,26400.18123643197,23251.781292405423,25626.326249756006,23154.373408400334,19785.39225412025,21037.77024185406,23212.832639833792,22805.300122164863,21524.737898685504,0.926110874522816,370454801.0,10.173859596252441,463070836.0,13.340346574783325,466734156.0,13.490594387054443,,
56,,,,,,,,,,,,199114907.0,3.780679225921631,,,,,686911083.0,20.65001368522644,467009059,10.08153486251831,554563643,12.910100221633911,23786.558652892243,26091.455711451348,26992.391395292256,23663.183941499527,26241.59476760043,23725.568865528905,20253.326828639685,21519.301733544376,23708.667187676234,23325.937245346588,22051.40819621219,0.9295325225049799,481677112.0,10.452229022979736,549308591.0,12.684364080429077,571714173.0,13.732898712158203,,
57,,,,,,,,,,,,,,,,,,562335902.0,11.215959310531616,474719060,9.033401012420654,618213628,13.27579665184021,24398.468070767896,26685.114484910617,27582.083204125458,24245.727594443884,26835.00538244177,24347.21991938845,20665.680158075043,21949.200961261944,24269.515080700687,23809.672591586343,22569.844986048567,0.9539899338375438,494211259.0,9.434513568878174,615489270.0,13.156691312789917,742964407.0,20.66442036628723,532546122.0,10.386288404464722
58,,,,,,,,,,,,,,,,,,,,413725747,8.740530490875244,558867405,13.515145063400269,24665.14869419292,27049.53476811843,27902.615202475776,24740.18807268202,27254.139704178793,24693.714544720417,20972.669135694254,22293.28805901161,24645.262406247697,24211.97243162646,22893.861272628117,0.9655899134549227,427382145.0,9.062533140182495,559022311.0,13.519687175750732,511526827.0,11.667662620544434,453480894.0,9.681399583816528
59,,,,,,,,,,,,171959887.0,3.66524338722229,,,,,,,405771910,9.907461404800415,493378619,12.85655689239502,25078.69013714643,27438.520224068165,28344.372817036707,25152.87331444064,27683.182051822667,24997.114682465326,21300.62580099897,22639.019722393263,25037.20094424409,24589.40236503106,23251.25627758501,0.9657890850847418,412494366.0,10.099477291107178,489855008.0,12.721665143966675,507386335.0,13.507946729660034,,
