[2026-07-06 08:32:29] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1999320.6666666667, 2242332.3333333335]
[2026-07-06 08:32:30] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1779800.6666666667, 2164246.6666666665]
[2026-07-06 08:32:30] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [2859664.6666666665, 3039064.0]
[2026-07-06 08:32:30] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2136374.0, 2155325.0]
[2026-07-06 08:32:31] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [2859541.0, 3160564.0]
[2026-07-06 08:32:31] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2400008.3333333335, 2420736.3333333335]
[2026-07-06 08:32:31] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2699516.3333333335, 2686046.3333333335]
[2026-07-06 08:32:32] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [1999758.0, 3000574.6666666665]
[2026-07-06 08:32:32] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [2936181.3333333335, 3597946.0]
[2026-07-06 08:32:32] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3106788.6666666665, 2911023.0]
[2026-07-06 08:32:33] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3136004.0, 3180397.6666666665]
[2026-07-06 08:32:33] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1985916.3333333333, 2245597.3333333335]
[2026-07-06 08:32:33] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1769836.6666666667, 2107899.0]
[2026-07-06 08:32:34] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [2141691.0, 2585580.3333333335]
