,sta0_datasz,sta1_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta7,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta1,consumption_sta6,mean_acc,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747441792.0,683362368.0,1127121216.0,436739904.0,1047892992.0,748451712.0,1134796608.0,996387072.0,352007616.0,1101267264.0,1025018304.0,443509668,10.5327889919281,454842219,10.834317922592163,476455506.0,11.440182209014893,535311557.0,13.453433752059937,538301234,13.5634183883667,549368955,14.084429502487183,746.201075220046,816.3508218756942,785.4128039762387,804.9983752128937,749.2754399602452,537.434135485569,563.2129407695336,581.4645664974439,600.8440974323498,556.9496969812669,626.2520470207942,0.5752333494072611,,,,
1,,,,,,,,,,,,413553446,9.906271934509277,429044373,10.305942058563232,456728018.0,11.096299648284912,512865814.0,13.000559568405151,511618625,12.955749750137329,526121456,13.64706039428711,1146.4876245829003,1195.7560255718918,1196.1111496923315,1150.604509845364,1145.3613889986855,894.7217372245253,939.9769469411808,906.6123266399018,953.1017096813753,860.45330037178,1043.84547954052,0.5842427272688259,,,,
2,,,,,,,,,,,,355568914,9.754868268966675,367795690,10.143057823181152,,,577781724.0,20.604857683181763,457608569,13.204550981521606,578019761,20.601027965545654,1752.0777587324933,1621.3634825518766,1805.4993631388518,1571.9066452627687,1768.2910997152023,1408.5804484229661,1510.4414038152022,1314.949109208413,1396.3726133537716,1234.194728253228,1563.4498434032284,0.6053915362466465,,,,
3,,,,,,,,,,,,357430908,9.78147006034851,369341462,10.134704828262329,,,464774018.0,13.418306827545166,459095261,13.214887857437134,583850556,20.651436805725098,2254.029065243389,2018.7238358540317,2334.1698350869237,1977.004334407434,2299.1162755307837,1817.5721655782165,1969.6915635841801,1790.8922868175894,1916.4570384621736,1681.8109846644975,1915.6763277523066,0.6609031006863172,,,,
4,,,,,,,,,,,,535528658,10.378094911575317,491685265,9.40556001663208,742021599.0,20.62520933151245,617039619.0,13.206612348556519,616713937,13.193870067596436,586507226,11.986338138580322,2879.8117798085723,2451.8450918715776,2914.7806732484755,2683.6929944794724,2899.9284222476167,2325.548302878733,2535.689091332924,2338.7505205802745,2395.3238208173193,2178.7210027923056,2447.034939117938,0.7706689705902879,530534286.0,10.25046682357788,,
5,,,,,,,,,,,,464843415,9.9422287940979,482163195,10.406309366226196,493565875.0,10.717687129974365,552746571.0,12.659104347229004,552437978,12.647114038467407,574498407,13.70527720451355,3266.1119155818674,2855.793798794298,3312.3178484110067,3074.766922134019,3300.790519338754,2687.4622677017965,2920.534139938103,2663.993495314438,2754.0594145733417,2507.8522704025236,2873.9176159130257,0.8161707364700057,,,216239436.0,4.12285590171814
6,,,,,,,,,,,,478141537,10.37822675704956,476249696,10.342546224594116,486471533.0,10.595437288284302,550252986.0,12.729416131973267,549891415,12.717515230178833,570959842,13.668999195098877,3679.913247004842,3349.1277044502826,3733.89697084832,3415.6285301311095,3696.683777369953,3063.231921403914,3334.5199788360533,2987.0608766618006,3201.17465194226,2837.7563217212232,3314.100408757532,0.826319853013212,,,197317122.0,3.8029990196228027
7,,,,,,,,,,,,363194749,9.662966012954712,375578262,10.020961999893188,394657437.0,10.664746046066284,,,453151366,13.030081748962402,460976359,13.371725797653198,4072.297275547019,3821.510151654394,4139.622695188425,3700.5355609473704,4121.862946070245,3423.983204430102,3695.34298730836,3307.7225109631504,3469.500358504624,3137.2448650469914,3731.5500415423357,0.7874164080077951,,,,
8,,,,,,,,,,,,305241955,9.251367807388306,316956402,9.634915828704834,,,,,419687585,13.976504564285278,397284383,12.852370262145996,4440.086478488489,4089.311349919181,4542.066931350558,4032.4941637604006,4511.379230771215,3752.415636403104,3979.3859065563393,3532.5573465605303,3822.0437445184793,3384.4822087027787,4076.383543933562,0.7741412601687692,,,,
9,,,,,,,,,,,,364106672,9.579649448394775,390449012,10.342345237731934,,,482587143.0,13.28973388671875,479114313,13.170443534851074,485101419,13.390405893325806,4807.876793340232,4368.402107720054,4980.8995897755685,4314.995227948858,4937.636985110101,4080.184448642845,4301.517950178348,3867.8727669218056,4179.696954917449,3689.649835183559,4357.84256236767,0.8269697238098491,,,,
