,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
15,,,,,,,,,,,,,,,,,,553588243.0,13.579846382141113,552377981,13.53603482246399,6828.761457711062,6111.60733967497,6921.754271702822,6176.87891046835,6895.100002682474,6129.367794214658,6091.987376505955,5913.958836005465,5484.825782066966,5724.422231677941,5156.155208041645,0.9033926969224756,410757554.0,8.799377679824829,466079862.0,10.32107663154602,506886031.0,11.738960266113281,450213141.0,9.779248237609863,,
16,,,,,,,,,,,,,,488513276.0,10.639615297317505,,,551112054.0,12.757248640060425,552242788,12.802184104919434,7214.089634877639,6532.0954265947585,7351.621249028925,6582.178472546037,7345.87695913207,6481.013501476745,6478.221339006422,6286.680963539517,5816.7797574178885,6085.894711209411,5473.309243960754,0.9137983972376044,463272190.0,9.984801054000854,482906051.0,10.488558530807495,572800902.0,13.771456480026245,,,199382119.0,3.8034653663635254
17,,,,,,,,,,,,,,639988413.0,20.617037057876587,,,512199983.0,12.933293342590332,514672877,13.027655839920044,7763.618935412255,7094.968491675805,7983.87394576866,6994.5266620160955,7868.431771976747,6987.271262186988,7058.343803739955,6810.160978422351,6296.932959254083,6508.99951018413,5927.958602852191,0.8935007019476457,415321080.0,9.903425216674805,437395669.0,10.47079610824585,528572805.0,13.659235000610352,,,,
18,,,,,,,,,,,,,,489876188.0,10.89883041381836,,,,,542698379,13.266986846923828,8148.580419236334,7371.309628980015,8382.80743074463,7385.780652386902,8253.261498662558,7378.419235872716,7329.579806201885,7186.225295451135,6659.588772083207,6842.019033680155,6243.4966451753735,0.9070655107498169,414878637.0,8.754589080810547,430400449.0,9.103760242462158,510136694.0,11.698973655700684,453283996.0,9.698856115341187,,
19,,,,,,,,,,,,,,493937578.0,10.702648639678955,,,551691215.0,12.637642621994019,556632913,12.820574045181274,8607.699039245046,7796.5288834212015,8769.869210723298,7788.894467302369,8701.989703110854,7791.118972955321,7674.467950242525,7535.838861102355,7015.069464047509,7196.185901838056,6544.24033764232,0.9210322770205411,464618440.0,9.956975221633911,485351235.0,10.481464147567749,578186813.0,13.844911336898804,,,200092627.0,3.776158571243286
20,,,,,,,,,,,,,,,,,,460843181.0,13.363455772399902,459573653,13.323601722717285,9025.214020396728,8268.154709301285,9159.317594405265,8057.250803553931,9127.243475420071,8179.7525073912075,8060.295823843417,7798.5495752580355,7344.416229067921,7541.626100099695,6846.848914355602,0.8952660127119585,352483351.0,9.683777809143066,364882184.0,10.084058046340942,464836456.0,13.533538579940796,,,,
21,,,,,,,,,,,,,,,,,,558274511.0,13.598543167114258,555679364,13.491528034210205,9425.790107987945,8585.302700603499,9546.031597761335,8401.941431170495,9509.313141591336,8467.50805772985,8430.170624774344,8166.899302286049,7699.104741273872,7877.5027556378245,7180.033489014929,0.9252983331680298,470550858.0,10.365030288696289,426232978.0,9.067505836486816,511408664.0,11.743922710418701,449836678.0,9.664101123809814,,
22,,,,,,,,,,,,,,564188009.0,11.34238600730896,,,618108098.0,13.285081624984741,617301520,13.256506204605103,9795.087282887409,8885.83908053056,9964.83377189122,9032.340064781774,9916.541437287988,8824.298287335838,8814.646213010781,8563.016868652003,8057.904186717913,8223.156881590086,7520.517759607175,0.9444273818622936,470550065.0,8.98259449005127,488156526.0,9.354796886444092,586948205.0,12.095219850540161,518720657.0,10.03130555152893,,
23,,,,,,,,,,,,,,457878283.0,10.992947340011597,,,514172268.0,12.982863426208496,516136130,13.055120468139648,10158.070537451345,9258.80273048743,10357.069551390696,9373.308851704138,10319.231216711532,9236.694126566998,9202.132153904433,8933.606168532373,8381.818764248927,8573.904089902735,7827.659452356498,0.9179114861921831,417130096.0,9.868961811065674,433668262.0,10.310733556747437,529578417.0,13.689230680465698,,,,
24,,,,,,,,,,,,,,456130668.0,11.062358617782593,,,510692723.0,12.896140098571777,516401327,13.119787454605103,10545.495434208691,9567.25775568282,10799.646825939373,9718.125975864059,10737.171528003179,9644.743870819702,9589.122191108183,9287.119938238828,8695.926831976903,8930.421520775217,8140.876222274071,0.893538545478474,414866796.0,9.910755634307861,434752488.0,10.426246881484985,528850147.0,13.72138786315918,,,,
