,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta0,consumption_sta2,consumption_sta6,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta3,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
10,,,,,,,,,,,,,,,,,,,,,,562397730.0,13.654826879501343,554984358,13.324493885040283,4794.950223623751,5132.435763258368,5362.279664408251,5224.735307082262,4007.7960156414324,4644.320683100485,4637.511400255184,3887.4508558408434,4589.997901943155,4262.7022360711335,4366.886388647715,0.9774265235120599,414951697.0,8.73940372467041,427314213.0,9.030096292495728,513614042.0,11.675768375396729,455150630.0,9.701585292816162
11,,,,,,,,,,,,,,,,,,,,,,460386273.0,13.478269815444946,452898377,13.179506778717041,5081.772298947032,5529.145794407701,5714.087124147518,5643.82890416225,4350.50982714174,5029.631407518554,4932.556829941424,4199.250758629311,4966.096170067874,4600.522434477111,4740.598126930729,0.9790632887320085,357427185.0,9.881141424179077,365758707.0,10.129570484161377,463041844.0,13.591716527938843,,
12,,,,,,,,,,,,,,,,,,451447392.0,10.916508913040161,,,639037976.0,20.61267399787903,515047693,13.134157419204712,5432.134971015268,6020.2850846596475,6373.182612862879,6218.775841239642,4827.555842701491,5440.858552241341,5372.64738171801,4644.501726768397,5425.310599030389,5056.514889744516,5254.381563283325,0.9808984127911654,419283839.0,10.057950973510742,428852052.0,10.304579019546509,639716929.0,20.637162446975708,,
13,,,,,,,,,,,,,,243329882.0,4.004658937454224,,,589071429.0,10.891355752944946,,,648241931.0,12.969450950622559,649287461,13.01488447189331,5950.50296020586,6417.771944922438,6797.89295022436,6615.810090753381,5196.816779888656,5854.064389144669,5769.694131914045,4968.230987969792,5811.302761119266,5409.536463505926,5620.352255105332,0.9819046638228677,514010220.0,9.150643825531006,570872012.0,10.398277282714844,628225930.0,12.185829401016235,563544822.0,10.207905292510986
14,,,,,,,,,,,,,,,,,,552759449.0,11.15624737739563,,,608654387.0,13.2521390914917,607760407,13.212532043457031,6297.304412640707,6837.856697480192,7173.77971990568,6998.2461669794675,5567.476889735972,6381.741809505784,6177.318301905182,5339.493644551434,6199.6286005662305,5764.506432418884,6015.320287112943,0.9824948419224132,465194610.0,8.967313289642334,482315721.0,9.368536472320557,578205246.0,12.027172803878784,512191499.0,10.023777484893799
15,,,,,,,,,,,,,,,,,,452489747.0,10.928585052490234,,,640156076.0,20.608885049819946,512376801,13.003185749053955,6807.416146084892,7406.645621332741,7767.447769905835,7589.667009719076,6080.2418924369895,6852.328256303219,6799.17250675989,5737.511840361086,6769.580063924325,6280.21946111946,6453.321686783997,0.983474238352342,419841638.0,10.033629417419434,430994014.0,10.318661451339722,528091482.0,13.795745611190796,,
16,,,,,,,,,,,,,,,,,,,,,,457894457.0,13.352055311203003,572773863,20.592228889465332,7197.0178656909075,7902.719776113686,8289.557249306408,8056.9556555772015,6487.735830730968,7301.378603209827,7208.970521188851,6173.066461029016,7314.925369449567,6682.175912722714,6969.513693294346,0.9837617711587385,358701718.0,9.902056455612183,363321152.0,10.036128282546997,461365823.0,13.50717043876648,,
17,,,,,,,,,,,,,,175512185.0,3.704484462738037,,,420248496.0,10.225334882736206,,,,,484943399,12.829080581665039,7541.0971905934275,8310.966345843814,8688.511301345197,8458.272341602955,6807.946305073262,7566.434308909708,7546.703266214775,6473.569249479274,7677.232474611169,7039.271615575499,7308.190797340891,0.9844329248775135,408286003.0,9.873323440551758,416418856.0,10.117642641067505,496731212.0,13.425895929336548,,
18,,,,,,,,,,,,,,220555344.0,3.8641321659088135,,,524430542.0,10.553101539611816,,,,,581979284,13.04871416091919,8204.20389347089,8691.57547050673,9099.944144555742,8896.2292268008,7179.422422633239,8005.846934792749,7963.4688328303455,6797.136094902594,7998.54619852968,7401.861890160003,7699.349498130667,0.9848605665293607,461020731.0,8.84694790840149,476961425.0,9.211760520935059,555738385.0,11.752962827682495,503151300.0,9.86156702041626
19,,,,,,,,,,,,,,,,,,389042400.0,10.659442663192749,,,,,446147112,13.002025842666626,8553.224374243766,9132.765726826527,9496.66715068886,9294.94924882682,7524.644017580897,8405.435046722552,8386.321100087152,7119.214615782128,8258.967112577038,7736.288340763397,8058.2768177299195,0.9853581569411538,363577073.0,9.855014085769653,368826632.0,10.004784107208252,456238944.0,13.48317265510559,,
