,sta0_datasz,sta10_datasz,sta1_datasz,sta4_datasz,sta2_datasz,sta5_datasz,sta3_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta1,consumption_sta7,consumption_sta3,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747088320.0,748350720.0,684321792.0,436285440.0,1128383616.0,1135301568.0,1047438528.0,995528640.0,352361088.0,1102428672.0,1026684672.0,184892715.0,4.817684888839722,204626247.0,5.476253509521484,-261796408168.0,10.287778615951538,-261745934848.0,12.368606090545654,-261737828545,12.769642114639282,647.2305124905884,574.8717312895923,645.6136253946017,600.446802819264,633.752684626936,544.7474831025905,470.54088233880236,439.1115169542027,406.9271864131966,420.16504950645754,414.47725008197466,0.4661357666958462,,,,,,,,
1,,,,,,,,,,,,,,,,,,455547601.0,13.345609426498413,454141598,13.292227506637573,1054.0055372724453,976.8700512996639,1084.990044885484,912.2284336697107,1039.1056205894286,903.7870085402743,853.234421734789,684.1125519594874,620.073332130263,773.3958094069928,699.2280015965372,0.5681954920291901,365069195.0,10.262104511260986,382959957.0,10.782369375228882,468781088.0,13.982139348983765,,
2,,,,,,,,,,,,,,,,,,456065117.0,13.416045188903809,452700257,13.295966863632202,1349.988765082127,1396.2067698250148,1429.0113379036077,1191.8011813193552,1463.991110763128,1181.3000106464035,1228.3635401295157,1008.6795464767434,916.7292980340828,1101.2811153804223,1050.9019876079544,0.9180694655938582,351563065.0,9.783586502075195,369875457.0,10.339199542999268,460587993.0,13.609514236450195,,
3,,,,,,,,,,,,,,,,494855056.0,10.827885627746582,,,548268799,13.303959131240845,1636.2300916955924,1796.0863076711569,1894.825360073955,1612.923846371587,1908.6846280242366,1521.2816533096602,1572.669239186297,1359.3510312478195,1272.560186363962,1459.0647344565086,1446.2502708643965,0.9391825957731768,419379480.0,8.810863018035889,441147308.0,9.312333106994629,515148950.0,11.648540019989014,468979513.0,9.992013216018677
4,,,,,,,,,,,,,,,,451816287.0,10.924365520477295,509775184.0,12.920529127120972,515620201,13.151259899139404,1941.9733223412525,2230.9181024799136,2385.545569037655,2015.3817455910903,2238.66169050198,1940.9625007188508,1914.7293701512508,1707.9062133828443,1599.666314797374,1802.2370704059042,1816.6943646538684,0.9529961943626404,419843774.0,10.068907260894775,437342264.0,10.521227836608887,527155389.0,13.716970205307007,,
5,,,,,,,,,,,,,,197957928.0,3.8239831924438477,487589877.0,10.648295164108276,547658449.0,12.68521523475647,551718986,12.848358631134033,2362.280365965274,2665.567764009917,2812.8411143063436,2299.5659908232747,2677.230021270502,2374.628593000299,2319.1990022991886,2030.068720329276,1903.6962199392458,2158.8776465841465,2171.3126620377107,0.9622101187705994,464483308.0,10.042503356933594,488397614.0,10.678078651428223,572090210.0,13.782767534255981,,
6,,,,,,,,,,,,,,,,,,554935224.0,13.44784164428711,673356126,20.640536308288574,2887.2939449103046,3217.1584669681524,3448.797251723875,2981.4598619485223,3296.6576864722642,2792.8919392138873,2885.1235875569973,2588.6792463360666,2407.0611311195808,2585.474028738997,2758.891212555426,0.9672729698094454,414077309.0,8.81113576889038,434302355.0,9.275256156921387,512879974.0,11.756863117218018,451892154.0,9.706668376922607
7,,,,,,,,,,,,,,196021349.0,3.7919812202453613,481699389.0,10.542965412139893,547709170.0,12.736684799194336,553236499,12.95596694946289,3367.0095139319083,3619.572889790271,3863.375561856149,3388.2238034654206,3678.9224809062966,3136.287057824407,3291.2632583296104,2924.3611397809586,2698.30777636429,2923.451682765257,3107.276758583514,0.9715644988146696,462530677.0,10.0494544506073,481164417.0,10.540857315063477,567747448.0,13.670889616012573,,
8,,,,,,,,,,,,,,,,387738875.0,10.595954179763794,,,568458505,20.595627784729004,3843.2202453760865,4185.310036305674,4382.99156998383,3733.7848367971046,4278.747353603434,3768.079046477106,3713.800563436427,3331.018919343504,3081.7213260822928,3430.942451337779,3546.80078751033,0.9711540883237665,359946527.0,9.726929903030396,379403203.0,10.299132823944092,454423093.0,13.41995620727539,,
9,,,,,,,,,,,,,,,,,,556704141.0,13.475962162017822,556096843,13.45754098892212,4115.928908014881,4563.039239341559,4823.693518431883,4135.65776716971,4724.874369797352,4118.9548910749545,4019.154851912381,3669.5420599409167,3426.278266305203,3751.260647943999,3940.7423542965485,0.9757577289234508,411386642.0,8.742920637130737,433929065.0,9.261767148971558,512284821.0,11.734617710113525,452971680.0,9.734655618667603
