,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
11,,,,,,,,,,,,189305179,4.285763263702393,,,668457578,20.583061456680298,8565.784468860811,9075.596504526893,11087.768968042976,11012.590166054131,9196.181601826347,7612.839809426905,11391.787594937632,7452.080269770648,7357.000174693376,9252.471213976463,6393.885126029413,0.9806527170267972,,,435813216.0,10.479886770248413,,,498164252.0,12.335274457931519,502668879.0,12.46887731552124
12,,,,,,,,,,,,190702149,4.273924827575684,,,512189484,12.742030143737793,9057.2190852157,9882.070569996851,11910.271925505598,11773.247300032235,9864.126020846114,8202.080544693279,12074.367025322683,7922.361939920366,7912.388715781814,9851.792081011796,6845.5809690494025,0.9811863411556591,,,439041296.0,10.480772256851196,,,501362914.0,12.322856664657593,504328238.0,12.414678573608398
13,,,,,,,,,,,,188758916,4.2412497997283936,,,510263464,12.78095531463623,9678.181863447337,10424.417551610259,12552.859897090659,12428.98587452542,10427.469860194693,8668.891599220704,12727.744955030605,8412.026918870366,8351.056950174014,10590.722398578826,7274.165089634285,0.981947124004364,,,432470938.0,10.429591178894043,,,500031984.0,12.373740911483765,501332579.0,12.412084102630615
14,,,,,,,,,,,,189768252,4.244419097900391,,,512278534,12.751492500305176,10208.842289140443,11019.47633143659,13436.56855741649,13052.125630406461,11186.271366156147,9161.822930176873,13437.74887459047,8843.907779996533,8808.413117155056,11196.104696742877,7659.031401626997,0.9824985319917853,,,435468124.0,10.429401159286499,,,502277401.0,12.375142812728882,507428511.0,12.537602663040161
15,,,,,,,,,,,,191334288,4.284855365753174,,,514182277,12.83875298500061,10738.195167221793,11604.019418521131,14148.016191008724,13952.844309576081,11783.44289042681,9651.708542961975,14336.945776885043,9375.851139913442,9287.087919443533,11782.201785286166,8069.495802484489,0.9835530844601718,,,439717075.0,10.497877359390259,,,499511905.0,12.266716241836548,504721974.0,12.424419164657593
16,,,,,,,,,,,,189874025,4.266029357910156,,,513368375,12.885270833969116,11615.00504216453,12618.172023981717,15193.367820220144,14973.390744144885,12858.23367327367,10520.680958056331,15388.841783551045,10026.948320889947,10044.635393286128,12814.737432072085,8783.458751935786,0.9839623624628241,,,670173273.0,20.579254150390625,,,502181393.0,12.403929710388184,501637388.0,12.393032312393188
17,,,,,,,,,,,,190830322,4.287068128585815,,,511038365,12.7984459400177,12118.045568339765,13208.81869829476,16026.021473709909,15804.717900450205,13441.18047746492,10951.602438760941,16045.368438894642,10475.679758155606,10455.877782419217,13400.764840580054,9158.186917692434,0.984592773697593,,,434188341.0,10.422110319137573,,,501178038.0,12.429367542266846,503784965.0,12.504627466201782
18,,,,,,,,,,,,190372559,4.281611680984497,,,670706230,20.58451747894287,12997.583513820124,14203.968693906798,17028.291649469746,16869.709132484822,14352.39993353635,11812.994996570073,17161.037674253967,11151.316588849088,11257.74357226382,14382.062848982092,9873.518730202053,0.9852107275616039,,,436734722.0,10.432481050491333,,,500272157.0,12.298393726348877,504988576.0,12.44758915901184
19,,,,,,,,,,,,190405579,4.275189399719238,,,514336513,12.86846661567688,13725.05298048614,15184.940301948061,18300.056748025814,18139.295661770924,15477.820802134176,12566.953040322793,18335.26110790668,11861.789046872735,11926.54653359735,15254.95741222528,10478.814529000867,0.985350635918704,,,438288856.0,10.543898105621338,,,501087035.0,12.360114574432373,670976187.0,20.6193585395813
20,,,,,,,,,,,,190467835,4.31441330909729,,,513456632,12.809805154800415,14252.031632126587,15829.079137278137,18925.582767402313,18809.352972751876,16094.693907015655,13145.108618815326,19044.629018830343,12349.925249114845,12497.616732569868,15828.34634767868,11017.417973559059,0.9858833334662698,,,436122968.0,10.436366558074951,,,500950500.0,12.352043390274048,504353934.0,12.452582359313965
