[2026-07-02 14:20:02] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.69 | freq: [1979671.3333333333, 2089831.6666666667]
[2026-07-02 14:20:03] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.69 | freq: [1755595.6666666667, 2105936.0]
[2026-07-02 14:20:03] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [3529634.3333333335, 2783579.6666666665]
[2026-07-02 14:20:03] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2263515.3333333335, 2267023.0]
[2026-07-02 14:20:04] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3699979.6666666665, 3164908.0]
[2026-07-02 14:20:04] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2387498.3333333335, 2997094.6666666665]
[2026-07-02 14:20:04] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2590029.3333333335, 2705860.6666666665]
[2026-07-02 14:20:05] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1967548.6666666667, 2772152.0]
[2026-07-02 14:20:05] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3558479.6666666665, 3235537.3333333335]
[2026-07-02 14:20:05] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7033333333333333 | freq: [3513338.6666666665, 3233168.6666666665]
[2026-07-02 14:20:06] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7033333333333333 | freq: [3759575.3333333335, 3544029.6666666665]
[2026-07-02 14:20:06] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1951590.3333333333, 2014399.3333333333]
[2026-07-02 14:20:07] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1755593.0, 1960496.3333333333]
