,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta4_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,sta1_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3
0,747088320.0,748350720.0,1128383616.0,1047438528.0,1135301568.0,436285440.0,995528640.0,352361088.0,1102428672.0,1026684672.0,684321792.0,184976150.0,3.9947071075439453,196300217.0,4.267560005187988,417763823.0,10.626898288726807,437009563.0,11.284817934036255,473440316,12.6450936794281,480492727,12.996427059173584,809.0024206457628,557.2008492301023,696.7055472200045,655.5109709848878,750.0420193137827,611.3412271295965,467.3939472376122,580.1845427624144,536.9714224162633,523.8004815679344,434.2309781717883,0.5321195369417017,,,,,,
1,,,,,,,,,,,,,,173072861.0,4.276146173477173,,,,,494921157,13.159056901931763,500060182,13.359453439712524,1315.5059787262187,1150.1401389211494,1364.4614470235033,1316.1583894999224,1266.4296022952515,1043.8313282147935,785.7826068998963,962.5559349258116,896.1643655107855,882.0828875763066,737.607843479606,0.513884495605122,403495365.0,10.25882363319397,413230570.0,10.534528255462646,508485515.0,13.703752994537354
2,,,,,,,,,,,,,,,,468640463.0,10.706296443939209,,,531512738,12.713579893112183,540348592,13.053854703903198,1836.356391820504,1608.6843007381428,1940.9232257226217,1847.218384171003,1914.4059384770255,1458.9451534424452,1195.6455728452388,1355.3481270540137,1344.7044123912156,1261.3454325986766,1123.8836936687662,0.9090919603000988,435294112.0,9.823212623596191,448701244.0,10.183867931365967,548945799.0,13.40688943862915
3,,,,,,,,,,,,,,,,471772413.0,10.722282886505127,,,534641576,12.777427196502686,671603017,20.581913709640503,2723.579821813325,2311.7341274527103,2720.2510839353854,2606.866306159033,2658.4632224711168,2187.9459788237054,1692.6825364024814,2003.3382502958268,1899.361002131646,1896.6347186451949,1573.244489083256,0.9351181929761713,439984531.0,9.932297706604004,452928284.0,10.243163347244263,548758849.0,13.324659824371338
4,,,,,,,,,,,,,,,,467507837.0,10.663441896438599,,,531926190,12.75594425201416,537494778,12.998488664627075,3245.027576477073,2888.0406652488537,3393.773141816902,3263.0246320879132,3160.2017140696435,2606.9849064871464,2098.129463478823,2392.925618153253,2262.946252250365,2283.006806403196,1882.0690343117224,0.9496369741179727,434642809.0,9.837632656097412,447687086.0,10.155840635299683,547588320.0,13.366074800491333
5,,,,,,,,,,,,,,,,464338960.0,10.64698576927185,,,528607412,12.732864141464233,666291324,20.581284284591675,4004.1262551845325,3591.721885203869,4214.700384743404,4075.8554070026867,4030.2580424794223,3240.182664549381,2590.0545009036964,2986.784790451338,2880.395348712423,2821.1612046278237,2415.2399336948497,0.9607283527200873,431522088.0,9.80711841583252,442854579.0,10.093019723892212,543039992.0,13.343332052230835
6,,,,,,,,,,,,,,,,468974080.0,10.687299489974976,,,532343852,12.737645864486694,540567342,13.068477869033813,4655.281864863438,4201.01667105685,4794.092008652555,4599.603877239728,4534.3580761223575,3761.847859064126,2912.0293235540403,3474.1106989683626,3271.651602852678,3257.3788987208272,2712.3963697179133,0.967582805590196,438263649.0,9.89236569404602,450210639.0,10.186965703964233,548372986.0,13.35116171836853
7,,,,,,,,,,,,,,,,467900963.0,10.691129446029663,,,533337380,12.788000345230103,538954064,13.022987127304077,5206.292561490658,4686.242521718123,5495.169900931059,5243.580978860097,5026.349530991638,4189.440526824999,3325.604354001232,3859.9045900114324,3640.9817838509675,3617.5113170469876,3103.2978446435427,0.9713511196049777,433059560.0,9.800854444503784,448720531.0,10.192440032958984,547504214.0,13.363150596618652
8,,,,,,,,,,,,,,,,465296111.0,10.646614074707031,,,531409040,12.78298544883728,666837099,20.585272550582886,5998.944885984106,5368.150131549105,6352.321126291141,6041.38755469401,5896.458411251745,4815.113112559605,3831.3475376798215,4451.3748002595985,4268.110570694706,4145.729327855144,3563.9425251585917,0.9741943695328452,432557669.0,9.820294380187988,446471269.0,10.154852628707886,545323860.0,13.360092163085938
9,,,,,,,,,,,,,,,,466816187.0,10.662010908126831,,,530564133,12.733805894851685,536882292,12.996540546417236,6634.607717467204,5950.5292817204945,6914.632060329276,6571.20155195374,6411.522925694248,5328.348667269442,4159.122525496463,4938.219623657449,4623.349417937778,4571.467593426836,3885.9282463430186,0.976790038022128,435579207.0,9.856653213500977,444433372.0,10.069642782211304,545978583.0,13.3397536277771
