[2026-07-01 15:42:34] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600016.666666667, 4382108.0]
[2026-07-01 15:42:34] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4571423.333333333, 3638133.3333333335]
[2026-07-01 15:42:34] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600019.666666667, 4601632.333333333]
[2026-07-01 15:42:34] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599981.0, 3959324.3333333335]
[2026-07-01 15:42:35] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7966666666666667 | freq: [4588963.666666667, 4286016.666666667]
[2026-07-01 15:42:35] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600021.0, 3753244.0]
[2026-07-01 15:42:35] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599972.666666667, 4599780.0]
[2026-07-01 15:42:35] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4443929.333333333, 3248323.0]
[2026-07-01 15:42:36] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601467.333333333, 3976100.3333333335]
[2026-07-01 15:42:36] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.03 | freq: [4601068.0, 4602470.666666667]
[2026-07-01 15:42:36] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.03 | freq: [4601672.666666667, 4086803.3333333335]
[2026-07-01 15:42:37] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4431075.0, 4380683.666666667]
[2026-07-01 15:42:37] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4598184.0, 4347236.0]
[2026-07-01 15:42:37] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600000.0, 4601558.666666667]
[2026-07-01 15:42:37] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4550899.333333333, 4099740.3333333335]
[2026-07-01 15:42:38] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4583849.333333333, 4265433.333333333]
[2026-07-01 15:42:38] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600021.0, 4196615.0]
[2026-07-01 15:42:38] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7966666666666667 | freq: [4413276.0, 4273640.0]
[2026-07-01 15:42:38] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9133333333333334 | freq: [4459434.0, 3248584.0]
[2026-07-01 15:42:39] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601442.333333333, 4324292.333333333]
[2026-07-01 15:42:39] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600954.333333333, 4602282.333333333]
[2026-07-01 15:42:39] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7966666666666667 | freq: [4602111.666666667, 4051546.6666666665]
[2026-07-01 15:42:40] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4431097.333333333, 4377544.0]
[2026-07-01 15:42:40] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.03 | freq: [4600077.333333333, 3663282.3333333335]
[2026-07-01 15:42:40] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4540092.0, 4388180.333333333]
[2026-07-01 15:42:40] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4544766.666666667, 4276216.333333333]
[2026-07-01 15:42:41] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7966666666666667 | freq: [4594881.666666667, 4261723.666666667]
[2026-07-01 15:42:41] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4584319.333333333, 4001061.6666666665]
[2026-07-01 15:42:41] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4413303.333333333, 3749627.3333333335]
[2026-07-01 15:42:41] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4500357.666666667, 3933528.3333333335]
[2026-07-01 15:42:42] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601260.333333333, 4254071.333333333]
[2026-07-01 15:42:42] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.03 | freq: [4600839.0, 4602253.666666667]
[2026-07-01 15:42:42] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.03 | freq: [4601954.0, 3713288.6666666665]
[2026-07-01 15:42:43] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.03 | freq: [4431063.333333333, 4145829.6666666665]
[2026-07-01 15:42:43] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599979.666666667, 3168039.3333333335]
[2026-07-01 15:42:43] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4540107.333333333, 4382488.0]
[2026-07-01 15:42:43] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7966666666666667 | freq: [4544766.666666667, 4331618.333333333]
[2026-07-01 15:42:44] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4594865.333333333, 4262212.0]
[2026-07-01 15:42:44] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4558993.0, 3312061.3333333335]
[2026-07-01 15:42:44] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4384320.333333333, 3750859.3333333335]
[2026-07-01 15:42:44] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4578511.0, 4384848.666666667]
[2026-07-01 15:42:45] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [4601431.333333333, 4474399.0]
[2026-07-01 15:42:45] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.68 | freq: [4600735.0, 4515004.666666667]
[2026-07-01 15:42:45] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.68 | freq: [4601834.0, 3964490.0]
[2026-07-01 15:42:46] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [4471148.0, 4147101.3333333335]
[2026-07-01 15:42:46] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.68 | freq: [4517917.333333333, 3169897.3333333335]
[2026-07-01 15:42:46] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [4540107.333333333, 4295016.666666667]
[2026-07-01 15:42:46] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [4567571.666666667, 4511382.666666667]
[2026-07-01 15:42:47] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [4600000.0, 4600883.333333333]
[2026-07-01 15:42:47] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [4558967.666666667, 3280519.0]
[2026-07-01 15:42:47] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4557757.666666667, 3115516.0]
[2026-07-01 15:42:47] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4599982.0, 4009885.0]
[2026-07-01 15:42:48] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601588.666666667, 4529970.333333333]
[2026-07-01 15:42:48] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600824.333333333, 4515212.0]
[2026-07-01 15:42:48] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601421.0, 4250050.333333333]
[2026-07-01 15:42:49] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4426873.0, 4146219.3333333335]
[2026-07-01 15:42:49] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9133333333333334 | freq: [4505216.333333333, 4107399.3333333335]
[2026-07-01 15:42:49] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599995.666666667, 3581478.6666666665]
[2026-07-01 15:42:49] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4563865.666666667, 4329746.666666667]
[2026-07-01 15:42:50] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4598853.333333333, 3771534.3333333335]
[2026-07-01 15:42:50] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [4574630.333333333, 3880730.3333333335]
[2026-07-01 15:42:50] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [4557776.333333333, 3197420.3333333335]
[2026-07-01 15:42:50] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [4599982.0, 4217214.333333333]
[2026-07-01 15:42:51] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601599.666666667, 4601730.0]
[2026-07-01 15:42:51] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600898.666666667, 4515515.333333333]
[2026-07-01 15:42:51] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601434.666666667, 4353398.333333333]
[2026-07-01 15:42:51] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666667 | freq: [4426907.333333333, 4301707.333333333]
[2026-07-01 15:42:52] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.68 | freq: [4505198.333333333, 4602234.666666667]
[2026-07-01 15:42:52] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [4571075.0, 3587118.0]
[2026-07-01 15:42:52] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7966666666666667 | freq: [4550206.333333333, 4329726.666666667]
[2026-07-01 15:42:53] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4598853.333333333, 3771181.3333333335]
[2026-07-01 15:42:53] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599941.0, 4524584.333333333]
[2026-07-01 15:42:53] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7966666666666667 | freq: [4586759.333333333, 3197700.6666666665]
[2026-07-01 15:42:53] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [4599982.0, 4226942.0]
[2026-07-01 15:42:54] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [4601622.333333333, 4601610.0]
[2026-07-01 15:42:54] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [3971532.6666666665, 4600799.0]
[2026-07-01 15:42:54] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601459.0, 4352235.0]
[2026-07-01 15:42:54] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.03 | freq: [4555764.333333333, 4301091.333333333]
[2026-07-01 15:42:55] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9133333333333334 | freq: [4587260.666666667, 3936960.6666666665]
[2026-07-01 15:42:55] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4463571.666666667, 3675597.3333333335]
[2026-07-01 15:42:55] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4419249.0, 4420451.666666667]
[2026-07-01 15:42:56] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4599023.333333333, 3660456.3333333335]
[2026-07-01 15:42:56] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599966.333333333, 4557442.666666667]
[2026-07-01 15:42:56] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600018.666666667, 3724959.3333333335]
[2026-07-01 15:42:56] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600017.0, 4601806.333333333]
[2026-07-01 15:42:56] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601537.0, 4601320.666666667]
[2026-07-01 15:42:57] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.68 | freq: [3971500.6666666665, 4600753.666666667]
[2026-07-01 15:42:57] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.68 | freq: [4601293.0, 3924940.6666666665]
[2026-07-01 15:42:57] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600033.0, 4300740.333333333]
[2026-07-01 15:42:58] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4599982.0, 2961435.3333333335]
[2026-07-01 15:42:58] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4346536.0, 4600449.333333333]
[2026-07-01 15:42:58] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4400195.333333333, 4485071.333333333]
[2026-07-01 15:42:58] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4567062.666666667, 4489519.666666667]
[2026-07-01 15:42:59] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4598038.333333333, 4330432.333333333]
[2026-07-01 15:42:59] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600017.0, 4166996.0]
[2026-07-01 15:42:59] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9133333333333334 | freq: [4577286.666666667, 4143797.0]
[2026-07-01 15:42:59] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601331.0, 4601212.0]
[2026-07-01 15:43:00] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.9133333333333334 | freq: [3971511.0, 4600477.666666667]
[2026-07-01 15:43:00] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601294.333333333, 4173512.0]
[2026-07-01 15:43:00] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4591922.666666667, 4450404.666666667]
[2026-07-01 15:43:01] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600000.0, 2209771.6666666665]
[2026-07-01 15:43:01] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [4375441.333333333, 4232762.666666667]
[2026-07-01 15:43:01] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [4387244.0, 4485387.333333333]
[2026-07-01 15:43:01] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7966666666666667 | freq: [4553719.0, 3731408.3333333335]
[2026-07-01 15:43:02] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [4594299.0, 4375933.333333333]
[2026-07-01 15:43:02] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7966666666666667 | freq: [4599810.0, 4167785.3333333335]
[2026-07-01 15:43:02] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [4574198.0, 3558822.3333333335]
[2026-07-01 15:43:02] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [4601185.666666667, 4238701.666666667]
[2026-07-01 15:43:03] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601386.0, 4304008.0]
[2026-07-01 15:43:03] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601320.0, 4174345.0]
[2026-07-01 15:43:03] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4591941.666666667, 4451392.0]
[2026-07-01 15:43:04] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600000.0, 2849534.0]
[2026-07-01 15:43:04] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4482944.666666667, 4231797.0]
[2026-07-01 15:43:04] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4544478.0, 4485544.0]
[2026-07-01 15:43:04] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4553549.0, 3843108.6666666665]
[2026-07-01 15:43:05] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [3923644.3333333335, 3950534.6666666665]
[2026-07-01 15:43:05] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599810.0, 4335914.666666667]
[2026-07-01 15:43:05] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4574181.0, 3558829.3333333335]
[2026-07-01 15:43:05] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601105.333333333, 4238607.333333333]
[2026-07-01 15:43:06] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.03 | freq: [4601426.0, 4303841.666666667]
[2026-07-01 15:43:06] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4603627.666666667, 4601549.333333333]
[2026-07-01 15:43:06] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666667 | freq: [4591925.666666667, 3539480.6666666665]
[2026-07-01 15:43:07] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.68 | freq: [4599982.0, 3193634.0]
[2026-07-01 15:43:07] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600020.333333333, 4233831.333333333]
[2026-07-01 15:43:07] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4573389.333333333, 4601685.666666667]
[2026-07-01 15:43:07] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4546092.666666667, 3849146.6666666665]
[2026-07-01 15:43:08] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [3925590.3333333335, 4177498.0]
[2026-07-01 15:43:08] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [4599733.666666667, 4335592.666666667]
[2026-07-01 15:43:08] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [4596892.666666667, 4016021.6666666665]
[2026-07-01 15:43:08] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601523.0, 4053453.0]
[2026-07-01 15:43:09] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.9133333333333334 | freq: [4602456.333333333, 4304600.666666667]
[2026-07-01 15:43:09] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.03 | freq: [4603634.0, 4221414.0]
[2026-07-01 15:43:09] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600001.0, 3620804.0]
[2026-07-01 15:43:10] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599966.0, 3945867.3333333335]
[2026-07-01 15:43:10] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9133333333333334 | freq: [4563578.333333333, 4363018.666666667]
[2026-07-01 15:43:10] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4600018.333333333, 4352362.666666667]
[2026-07-01 15:43:10] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4559459.666666667, 4606316.333333333]
[2026-07-01 15:43:11] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [3872940.3333333335, 4120966.3333333335]
[2026-07-01 15:43:11] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7966666666666667 | freq: [4599940.666666667, 4334934.333333333]
[2026-07-01 15:43:11] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4599964.666666667, 4601094.333333333]
[2026-07-01 15:43:11] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601725.666666667, 4311831.333333333]
[2026-07-01 15:43:12] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.68 | freq: [4602499.333333333, 3929863.6666666665]
[2026-07-01 15:43:12] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7966666666666667 | freq: [4603683.0, 4222654.333333333]
[2026-07-01 15:43:12] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666667 | freq: [4599982.0, 3390294.0]
[2026-07-01 15:43:13] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7966666666666667 | freq: [4581371.0, 3421306.3333333335]
[2026-07-01 15:43:13] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [4563595.0, 4362947.666666667]
[2026-07-01 15:43:13] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [4600018.333333333, 3836058.0]
