,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta3_datasz,sta4_datasz,sta8_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta3,consumption_sta7,consumption_sta9,consumption_sta6,consumption_sta5,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta9,training_time_sta9
28,,,,,,,,,,,,,,438734167,10.071858644485474,501113158,12.183872938156128,20859.474954137815,12398.211701813785,21240.103762601193,21014.756078360973,18968.639732627053,21018.10419511176,21153.42664137627,20500.462892530584,18235.532934879055,14759.05123475503,13683.448993364169,0.9876401316035878,425936410.0,9.767748832702637,455517084.0,10.589569807052612
29,,,,,,,,,,,,,,440622835,10.070019483566284,503385614,12.181097984313965,21615.58137080772,12817.423292235384,21983.05358441106,21656.825159120697,19563.946276935916,21779.79612503502,21936.823693526934,21123.69489369207,18762.642382262435,15196.279909442492,14187.181898307415,0.9893453554673628,430039609.0,9.830128908157349,458551561.0,10.593322038650513
30,,,,,,,,,,,,,,450117927,10.358478784561157,499531925,12.091488122940063,22256.64609543164,13160.418584793502,22553.887348870925,22439.91740601507,20125.174543567326,22330.365693885647,22545.26152349266,21891.727350559435,19412.616411653544,15737.22700062238,14590.26077028532,0.9896430969238281,429114868.0,9.828654289245605,455793755.0,10.526065349578857
31,,,,,,,,,,,,,,437956459,10.060011148452759,501223815,12.181711435317993,22897.458112385877,13593.615534229186,23301.498684955397,23066.571910432158,20839.98968580999,23150.996919095796,23199.9099600735,22511.1797363291,19969.778751056398,16168.456086618193,15008.110315105536,0.9895808805118907,430683224.0,9.894957542419434,454422176.0,10.537750244140625
32,,,,,,,,,,,,,,438623145,10.058323860168457,500206666,12.165926694869995,23699.708159171776,13932.73614923125,23965.76485980847,23678.987748535863,21391.063169197772,23821.572840336088,24043.39533536031,23120.75133850032,20467.387331394122,16696.382423771298,15506.841113878632,0.9894354126670144,425163158.0,9.736167669296265,456683768.0,10.595139980316162
33,,,,,,,,,,,,,,438203651,10.066691160202026,495924206,12.105796337127686,24304.10689287018,14289.706859067166,24587.218670568498,24453.44701404343,22066.789392572955,24426.416397715595,24672.151022858186,23858.883227607977,21137.2938084414,17153.507785609876,15913.259590298043,0.9893728548830206,424306592.0,9.725192308425903,452508546.0,10.525301456451416
34,,,,,,,,,,,,,,447771559,10.342970371246338,499790164,12.153993129730225,24934.3629361958,14713.318637353332,25388.541010918696,25095.782410533833,22653.117574992946,25281.192957204777,25291.28261661733,24465.775731675054,21675.215668697947,17585.223029324807,16305.553855215248,0.9898871725255792,425444345.0,9.763716697692871,455840630.0,10.576961755752563
35,,,,,,,,,,,,,,439163000,10.020781517028809,501824277,12.12965178489685,25715.99881468289,15073.938205710125,26023.8342117407,25732.252338408478,23214.876777346817,25917.99949857035,26028.591223019634,25240.99696901668,22235.40204893556,18119.832342773527,16804.322487011457,0.9898927970366045,427711795.0,9.737180233001709,456579703.0,10.531278133392334
36,,,,,,,,,,,,,,438131996,10.034268379211426,500169863,12.175254821777344,26363.353071634498,15517.681878111347,26630.845528739414,26474.22315011974,23923.280589460388,26567.253562189406,26643.384130654187,25898.01201728126,22885.31668511551,18542.68741941921,17195.450200667645,0.9901127110828053,426446479.0,9.739574909210205,454848812.0,10.56053376197815
37,,,,,,,,,,,,,,438232643,10.070298433303833,499413151,12.140636444091797,27131.18187353423,15898.100608628154,27370.183572801798,27092.785112021396,24499.729090643224,27389.845745050938,27384.95039661671,26534.383030196364,23438.487923104207,18971.621491194688,17696.733665789758,0.9902227900244973,427766117.0,9.815046548843384,457002736.0,10.610562324523926
