,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta7,consumption_sta1,consumption_sta3,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747088320.0,748350720.0,1128383616.0,684321792.0,436285440.0,1047438528.0,1135301568.0,995528640.0,352361088.0,1102428672.0,1026684672.0,207995439.0,4.068347930908203,210382335.0,4.117172718048096,354209116.0,7.682048082351685,457305226.0,10.75168776512146,467047510.0,11.084418535232544,496373791,12.266518831253052,516028525,13.269156217575073,772.0695886620572,611.0495180874104,687.6948172499131,564.892361410323,640.5935252436204,517.4308261425067,524.7351810490036,435.21415508030634,425.19331665181403,439.71668473321444,465.1152958605941,0.6120205575769598,,,,,,,,
1,,,,,,,,,,,,,,,,,,443042384.0,10.873509168624878,,,408487541,9.995267391204834,507707440,13.07688045501709,1191.4313313905598,1043.4297443041269,1179.142896235251,820.3582379796864,1097.5432913216466,1027.2407595203883,906.0838013893814,711.768903988986,849.6818860067616,724.6222981621801,787.321896723831,0.5305477157235146,439572300.0,10.794243812561035,514744959.0,13.381070375442505,527523735.0,14.024513483047485,,
2,,,,,,,,,,,,,,,,,,,,,,404617190,8.653387546539307,552394948,13.441149473190308,1468.640033673716,1481.3861881143177,1589.690929909199,1226.2995919489742,1532.4165231427583,1375.96862355994,1278.5027617499281,1084.3005012435344,1206.0719555811283,1076.1219285292195,1167.9539509004842,0.9148317087780345,420747213.0,9.034730672836304,554948470.0,13.549275875091553,506565232.0,11.593979120254517,463998935.0,10.13112473487854
3,,,,,,,,,,,,,,,,,,,,,,409705006,8.711376667022705,550432856,13.417670726776123,1741.509202573934,1903.5862507423392,1993.2837991006413,1760.638127625832,1959.7952386594966,1690.6267846119392,1647.7877229085113,1447.8133076286804,1565.9503989031175,1442.5423595613465,1580.6381455948406,0.9348925677212802,423482986.0,9.028679609298706,553072070.0,13.525761365890503,509652443.0,11.70131254196167,473048288.0,10.425580978393555
4,,,,,,,,,,,,,,,,,,444221885.0,10.8929443359375,,,411387558,10.002542972564697,630834079,20.635552167892456,2119.240500749289,2478.8952285839255,2584.135756971179,2243.267316459548,2603.5253483955953,2192.075522657176,2127.584388080143,1948.9963719797026,1998.2247693587778,1917.6451827773487,2042.4809123778166,0.9500040032646873,422815996.0,10.307553052902222,504637807.0,13.012574911117554,519269911.0,13.696311235427856,,
5,,,,,,,,,,,,,,195935045.0,3.781965494155884,,,483613996.0,10.528958559036255,,,467563440,10.0906503200531,549595883,12.792465448379517,2516.3140272958194,2875.506824569469,2978.7794825553897,2564.2343343077932,2999.211961845642,2617.087216418548,2529.042179765734,2276.0871990320547,2338.800381169476,2243.539676456027,2382.0534200055304,0.9604404839602384,480495536.0,10.443238735198975,547647096.0,12.727930068969727,567059156.0,13.597694873809814,,
6,,,,,,,,,,,,,,211206979.0,3.821974754333496,,,,,,,450686102,8.824710845947266,583059054,13.029765129089355,3295.188371943822,3451.7801381316044,3482.7110048931986,3233.6632811166364,3613.2645564317095,3110.671316783312,3100.024366112354,2720.186075516451,2877.734903286206,2662.5554778231726,2941.1896061911607,0.9668987501751293,466496913.0,9.185385704040527,710895580.0,20.639684200286865,554086839.0,11.898051500320435,494856033.0,9.893366813659668
7,,,,,,,,,,,,,,,,,,451950808.0,10.93860149383545,,,419248743,10.034439325332642,511404758,13.025967121124268,3722.176575569087,3874.4469134528313,3899.6328005925884,3622.9214516814786,3920.264155812276,3434.5035990699294,3477.5678896328927,3044.367260237223,3217.69442987645,2958.9065658316163,3285.8965930567692,0.9702617417682301,429726134.0,10.296085119247437,509479165.0,12.96475601196289,522778141.0,13.5905921459198,,
8,,,,,,,,,,,,,,,,,,446719132.0,10.846070766448975,,,414480933,9.962690591812134,513666959,13.177083253860474,4137.295142973465,4385.053434267878,4532.551784465827,4033.868437740056,4522.045138188904,3946.157018471794,4038.4302621973925,3528.191016226122,3637.542306214174,3407.9233151609023,3809.251569442697,0.9738214124332775,426538398.0,10.282710313796997,508608561.0,12.964226245880127,633679530.0,20.631479740142822,,
9,,,,,,,,,,,,,,,,,,387429489.0,10.616044044494629,,,362539233,9.834372520446777,567859019,20.593114852905273,4527.867609868158,4958.856715376219,5088.031198394258,4363.66198669597,5093.456362898895,4564.251935862031,4454.905979941274,3926.6132489608412,4144.495141018489,3773.901979590665,4242.589038925393,0.9756584059108387,372419823.0,10.111682176589966,,,568545663.0,20.614497423171997,,
10,,,,,,,,,,,,,,,,,,,,,,414624183,8.738579750061035,556423136,13.459550380706787,4787.091957209399,5321.871523705933,5424.53077748689,4760.2315755214195,5501.8720088783075,4898.205230703474,4758.814393914179,4269.321075677103,4456.808933413713,4097.410761295089,4637.001438338173,0.978503476489674,426174507.0,9.019182205200195,558347631.0,13.542578935623169,511694857.0,11.687495946884155,454098997.0,9.724847555160522
11,,,,,,,,,,,,,,210568064.0,3.7721476554870605,,,,,,,510289587,10.386061668395996,586745629,13.071786165237427,5452.271538640039,5784.6530109967225,6117.23210652818,5540.895893386762,6007.515167672287,5313.9223488351345,5305.918405383865,4821.349712513669,4960.1485693810355,4645.434478463651,5247.102380097643,0.9797659624706615,467014979.0,9.188276052474976,712981207.0,20.661075115203857,557195778.0,11.947517395019531,493733721.0,9.84627890586853
12,,,,,,,,,,,,,,,,,,442108548.0,10.75005292892456,,,416081943,10.056766033172607,508345806,13.063927173614502,5874.46868965868,6181.656359344605,6525.559002540171,5937.8121169374535,6425.454508138233,5703.794811177208,5677.782371145532,5139.773363748151,5291.888424892923,4936.848520452212,5605.674412137594,0.9808240912177346,426887396.0,10.337954044342041,506651535.0,12.995755910873413,518633010.0,13.57000732421875,,
13,,,,,,,,,,,,,,,,,,450771978.0,10.866377830505371,,,421210591,10.046504735946655,513586148,13.053992986679077,6166.99558337576,6580.503673575475,6927.363435441009,6223.063030859873,6811.30315692694,6017.642153453787,6059.020996346511,5461.454062681601,5547.832645281813,5241.537099001334,5955.696913520996,0.98140441829508,431903984.0,10.33145785331726,512657806.0,13.017903566360474,523961794.0,13.579420328140259,,
