,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta8_datasz,sta5_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta1,training_time_sta1,consumption_sta8,consumption_sta10,consumption_sta4,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta1,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747088320.0,748350720.0,684321792.0,1128383616.0,1047438528.0,436285440.0,995528640.0,352361088.0,1135301568.0,1102428672.0,1026684672.0,175767067.0,4.075662136077881,312186945.0,7.527870178222656,429413574.0,10.957711935043335,486335486.0,13.03408670425415,493790057,13.40010118484497,619460755,21.156545400619507,852.0506103276434,955.6486357761469,791.8067417259568,915.4995879449197,717.9479720299687,694.5891285625643,555.8139015206921,645.3924805653309,563.7589782780955,580.4054694309899,619.4615158361346,0.5370116379450668,,,,,,,,
1,,,,,,,,,,,,,,,,445572224.0,10.854969024658203,503603386.0,12.869169235229492,513000213,13.248093843460083,415445897,10.066040754318237,1242.351958212229,1429.4235969084316,1150.6576952839548,1318.9177225555998,1027.3911358745934,1188.0960371013773,849.0860679908984,1119.3098948432041,838.8526115738106,891.7599982703089,1050.571899099617,0.6337908858602698,446538041.0,10.892417907714844,530135850.0,14.096973180770874,,,,
2,,,,,,,,,,,,,,,,,,,,501686154,14.576362371444702,360317071,8.518665075302124,1737.9199706714605,1813.0002862455328,1414.2245784974461,1756.933118241493,1433.6284844968266,1520.8215336219516,1208.6403041053377,1446.9865679974969,1214.0855047555865,1279.9783406685926,1383.7506521061496,0.9201574217189442,367954685.0,8.730910301208496,437785012.0,11.312793016433716,397339803.0,9.64719820022583,,
3,,,,,,,,,,,,,,,,,,582144140.0,13.024915933609009,587408836,13.266400575637817,451900089,8.881945133209229,2132.8710789160714,2271.0864666388834,1810.6074164456245,2177.8052751448026,1979.6508168223886,1831.3881007444181,1578.837396593603,1782.439862241269,1598.516507592366,1675.092745918655,1740.5515607177826,0.943342306397178,462704870.0,9.129606008529663,551143975.0,11.861712455749512,490343472.0,9.815165042877197,291030444.0,5.484112739562988
4,,,,,,,,,,,,,,,,478151608.0,10.542022943496704,541683794.0,12.692632675170898,547638308,12.924913883209229,459982892,10.08595871925354,2589.201301028588,2717.294430631375,2328.4813772090633,2704.64966561434,2395.3655488512336,2200.536969671396,1906.8939693314042,2186.494950260696,1942.0019200051381,2044.1302438387452,2114.5465865898086,0.9553665735504844,474133430.0,10.44503116607666,563270836.0,13.662221908569336,,,200160132.0,3.927302598953247
5,,,,,,,,,,,,,,,,449712716.0,10.863746166229248,509227883.0,12.924849033355713,636321735,20.61450219154358,420051964,10.050288200378418,3112.2090544405764,3381.538477576064,2894.1449732350848,3234.444047291846,2821.145515081978,2731.3074190977313,2366.7358528354075,2760.191198618666,2423.0371315626826,2572.2876765639967,2552.6317262956163,0.9640013467181813,431144770.0,10.335620880126953,523699953.0,13.581477403640747,,,,
6,,,,,,,,,,,,,,,,444989034.0,10.819933414459229,504249747.0,12.84345555305481,513649747,13.231154441833496,416020176,10.058879613876343,3511.572481245789,3779.747770913961,3180.1514333150667,3621.995184426984,3092.4673882112775,3149.6703063933073,2659.3136876793747,3057.84790382455,2745.037195023862,2925.5705958078506,2897.6320162890324,0.9704605882818048,432616751.0,10.47927713394165,521115366.0,13.619960069656372,,,,
7,,,,,,,,,,,,,,,,,,548704711.0,13.578282117843628,548629393,13.5835542678833,406302976,8.722418308258057,3902.3512799366777,4160.451676279461,3545.116141434684,4062.7461489597094,3551.8293122473715,3534.6852057328106,2999.6633088067956,3443.454789593071,3098.8628336447136,3307.572286839399,3241.981648224364,0.973379525271329,415235997.0,8.935303211212158,502393551.0,11.706308364868164,462305885.0,10.360006332397461,,
8,,,,,,,,,,,,,,,,,,458486375.0,13.463618516921997,459057235,13.499440670013428,351576920,9.785242319107056,4293.339930609726,4553.501328391953,3886.1331025230957,4462.998323353443,3889.589065481823,3815.838841997352,3311.8136372853496,3815.4692563026083,3429.9286302475043,3604.0637416614504,3582.615675143898,0.97597520459782,362915697.0,10.157978534698486,456782583.0,13.389042377471924,,,,
9,,,,,,,,,,,,,,,,450234382.0,10.864208936691284,508895181.0,12.913257122039795,515592430,13.192689418792725,418961940,10.01177167892456,4699.096682882482,4930.238642422575,4193.713803569559,4835.690491812014,4217.978104752979,4170.680930070149,3650.1904979304168,4200.018517649208,3758.6672282096033,3958.4167158316022,3927.097388363708,0.9781100208109076,432822195.0,10.367784261703491,524310731.0,13.60482120513916,,,,
10,,,,,,,,,,,,,,,,588198811.0,10.894010543823242,648107960.0,13.027316093444824,652584267,13.236922264099121,515045129,9.144073963165283,5101.04321571595,5373.833595632873,4635.896343299902,5273.158170025289,4629.934079140968,4597.381425495936,4021.419319595633,4606.916368094654,4129.0073950055685,4336.6392150217525,4287.312149044627,0.9792866815220226,524339417.0,9.356955289840698,625949447.0,12.172667026519775,565100543.0,10.270519256591797,240369746.0,3.969257354736328
11,,,,,,,,,,,,,,,,554121750.0,11.05354905128479,736318611.0,20.656859397888184,735791390,20.628966569900513,468583151,8.984002590179443,5684.824218489431,5932.417924922415,5188.679070405466,5864.960587392473,5392.100144024205,5221.6376206374935,4478.0594127772265,5184.804247400236,4576.402556159097,4918.613137995904,4818.25301488512,0.9805913079868663,484677836.0,9.308840990066528,585511501.0,12.125986576080322,515908347.0,9.962966203689575,,
12,,,,,,,,,,,,,,,,,,483381392.0,12.723501443862915,489459623,12.97861623764038,397559468,9.852691650390625,6079.172071015676,6397.507531063002,5584.265415706284,6275.43572973471,5787.788934228704,5596.648589697835,4775.853517005448,5567.128571365268,4901.899159164008,5275.731985535256,5169.9133361004815,0.9816554676402699,409547108.0,10.202959060668945,498674383.0,13.399948358535767,,,166660279.0,3.6480579376220703
13,,,,,,,,,,,,,,,,,,460505291.0,13.401095867156982,460997844,13.428071975708008,355146735,9.825506448745728,6516.898909469303,6757.324705721432,5993.299265628004,6628.225298302407,6075.959715568407,5877.965224554828,5081.63964211251,5943.29304288807,5229.347668034063,5631.800407301827,5506.643514350033,0.9828510663726113,365839395.0,10.139243602752686,458502611.0,13.320334911346436,,,,
14,,,,,,,,,,,,,,,,386915086.0,10.564112901687622,,,449914009,13.198441505432129,362309314,9.80531358718872,6876.131222566747,7183.867044893535,6298.547816656781,7058.031424524263,6362.343057072225,6222.470018939152,5388.504376072127,6281.460793188207,5558.664738966743,5987.087314785378,5838.860143368865,0.9834275083108381,374277057.0,10.14939022064209,452859253.0,13.335692405700684,,,,
15,,,,,,,,,,,,,,,,388990948.0,10.555071830749512,,,450802130,13.13779592514038,365446085,9.819045782089233,7293.799391596634,7591.41740814339,6591.577711127464,7474.288150339065,6651.032968768441,6533.462755246412,5693.3385160974785,6617.462916081784,5883.231297888613,6338.107781581041,6098.276538892016,0.9844649163159457,380521730.0,10.260682821273804,455157160.0,13.329005718231201,,,,
