,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta3_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta0,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta9,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta2,training_time_sta2
0,747088320.0,684321792.0,1128383616.0,748350720.0,436285440.0,1135301568.0,995528640.0,1026684672.0,352361088.0,1047438528.0,1102428672.0,338747362.0,7.219954967498779,451249394,10.080015897750854,461567971,10.36603593826294,530674606,12.86579966545105,1342.117545714772,1384.788006599295,1363.399047205859,1271.5196746061065,1233.6162123194085,1469.516168552474,1362.8674638785371,1281.4500125748843,1094.7333694528452,1022.4201504318737,1075.3665202211714,0.4075071730396964,,
1,,,,,,,,,,,,329552501.0,6.934995651245117,430848079,9.508447885513306,450065132,10.053001165390015,515378808,12.317890167236328,2134.037945272783,2268.6655452258788,2084.903584578515,2127.2646607993925,2095.5740002522807,2150.0629448466825,2134.1139661289044,2026.0295804992595,1880.6992617653702,1594.1762649144805,1536.2019372644081,0.49844018573110754,,
2,,,,,,,,,,,,,,368661837,9.49175214767456,391016271,10.115698337554932,449664437,12.200898170471191,3166.9987938005033,2965.6962593903136,3036.2310657589155,2744.2286409248745,2728.9191075237363,3116.362990278544,3165.6043325596565,3114.5462627283914,2646.1134388789064,2076.47611932354,1927.9130192744346,0.9191502711989663,,
3,,,,,,,,,,,,412036360.0,7.295820713043213,486797948,8.763513565063477,553868150,10.432289600372314,574459040,11.14781379699707,3965.9478409382264,3698.653173585596,3702.187447714266,3412.422417320152,3576.696752564548,3896.6380723817397,3947.4366507211594,3870.9971306602447,3330.885569836374,2559.2494118572295,2341.1198858924017,0.9434651028026234,528345693.0,9.693004369735718
4,,,,,,,,,,,,,,419746423,8.508631706237793,496721141,10.517635822296143,510517492,10.986742496490479,4746.6595123417055,4461.535391870899,4411.164517498163,4047.1016008511824,4213.031910712594,4731.214350863736,4776.862720804989,4681.874035236778,3909.742335724574,3034.469314632795,2815.6871165959674,0.9555195732550188,490623500.0,10.336496591567993
5,,,,,,,,,,,,,,418744411,8.479907512664795,497919868,10.524523258209229,511787631,10.990573167800903,5568.796276924601,5213.760228845618,5206.122307810215,4688.804718657519,4725.823068300309,5508.836781799096,5620.431488684671,5518.764483536161,4607.678230324307,3536.884320742228,3253.894460489975,0.9648042212833058,453038819.0,9.257747650146484
6,,,,,,,,,,,,411025376.0,7.2321624755859375,488334016,8.761001348495483,553008411,10.452625513076782,577382738,11.270300388336182,6373.447406187594,6114.660332836338,5927.0169814190085,5301.572523918871,5559.822134512629,6257.681372423393,6395.966131903464,6248.739636449166,5269.443406187516,4025.034186569535,3703.770197442309,0.9703372500159524,515983298.0,9.402825355529785
7,,,,,,,,,,,,414657569.0,7.270651578903198,488005404,8.739436149597168,555475384,10.50078272819519,575521659,11.193714618682861,7158.667619672358,6877.624397501437,6629.193971442337,6058.9008778287225,6249.279660545796,6967.552725600602,7084.283119591618,6958.914815192087,5908.670735205762,4493.592236615539,4207.988148849609,0.9732106219638478,517607135.0,9.40876841545105
8,,,,,,,,,,,,,,420424156,8.547430515289307,497094369,10.569336414337158,509638649,11.011728048324585,8003.779664611755,7629.484946332461,7456.6358511441385,6778.7412128169435,6956.851215350981,7815.33041170087,7945.92417310119,7779.700260631699,6577.785769988196,5114.786032782676,4716.976479405187,0.9759379787878557,450481696.0,9.22869873046875
9,,,,,,,,,,,,413737344.0,7.282499074935913,486598852,8.769826412200928,552219290,10.479773759841919,573597714,11.246600151062012,9059.649614145945,8409.366097834982,8216.75569636814,7407.790812821862,7654.514381390378,8607.707935785416,8987.500530235699,8553.876179018394,7227.029127962105,5604.181763897454,5152.081379855822,0.9792081767862494,514742151.0,9.388274669647217
10,,,,,,,,,,,,413479899.0,7.282932758331299,487618198,8.773668050765991,552813465,10.469991207122803,574564081,11.232250452041626,9804.832802076466,9171.521470567886,8899.390870263582,8031.594713304808,8360.692007232628,9625.942444741968,9798.740110557883,9548.73299931244,7894.975310177097,6108.18186519813,5602.388235786648,0.9798763340169733,518061723.0,9.421116352081299
11,,,,,,,,,,,,409879078.0,7.253683567047119,485967018,8.772120237350464,550487117,10.436943769454956,575054925,11.291081428527832,10569.279911895628,9867.552620986413,9798.592571041918,8635.109555610026,8994.85474535495,10325.828659301038,10475.396531925762,10389.409510826996,8677.561797709144,6604.262703910322,6051.705237021025,0.9812174927104603,517604754.0,9.446463108062744
12,,,,,,,,,,,,412765605.0,7.238555908203125,551150261,10.342968940734863,554845015,10.482344388961792,577584214,11.281272411346436,11364.313307953715,10529.1612164462,10533.679224411444,9235.700825860533,9836.763787890884,11076.035400524925,11222.671182817317,11106.672757227274,9344.495927817332,7074.8436395001245,6484.245638833564,0.9826979582959955,518039385.0,9.432506799697876
